NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF19A	RNF19A	null	null	46	0.636158287525177	0.017872168	No	
row_1	SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	96	0.5633335709571838	0.033100378	No	
row_2	NCOA4	NCOA4	NCOA4	nuclear receptor coactivator 4	383	0.42703697085380554	0.026639882	No	
row_3	GCLC	GCLC	GCLC	glutamate-cysteine ligase, catalytic subunit	388	0.4261094331741333	0.04055073	No	
row_4	CA2	CA2	CA2	carbonic anhydrase II	499	0.3959590196609497	0.045787875	No	
row_5	PC	PC	PC	pyruvate carboxylase	536	0.3875030279159546	0.056097005	No	
row_6	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	586	0.3750711679458618	0.06505131	No	
row_7	MFHAS1	MFHAS1	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	610	0.37193021178245544	0.07578199	No	
row_8	CLIC2	CLIC2	CLIC2	chloride intracellular channel 2	653	0.36313727498054504	0.084845036	No	
row_9	SLC6A8	SLC6A8	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	878	0.32545042037963867	0.07948474	No	
row_10	AQP3	AQP3	AQP3	aquaporin 3 (Gill blood group)	949	0.313985139131546	0.08488401	No	
row_11	GDE1	GDE1	null	null	955	0.31292662024497986	0.09495065	No	
row_12	MPP1	MPP1	MPP1	membrane protein, palmitoylated 1, 55kDa	1000	0.30633991956710815	0.10197621	No	
row_13	CTSB	CTSB	CTSB	cathepsin B	1137	0.2886184751987457	0.10175513	No	
row_14	ACP5	ACP5	ACP5	acid phosphatase 5, tartrate resistant	1163	0.2850753366947174	0.10944665	No	
row_15	HEBP1	HEBP1	HEBP1	heme binding protein 1	1315	0.2653307616710663	0.10736428	No	
row_16	ABCB6	ABCB6	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1389	0.25697794556617737	0.110646725	No	
row_17	MKRN1	MKRN1	MKRN1	makorin, ring finger protein, 1	1475	0.24854514002799988	0.11277996	No	
row_18	E2F2	E2F2	E2F2	E2F transcription factor 2	1490	0.24667833745479584	0.11998772	No	
row_19	PRDX2	PRDX2	PRDX2	peroxiredoxin 2	1595	0.23445315659046173	0.12027672	No	
row_20	HTATIP2	HTATIP2	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	1682	0.2248685210943222	0.12154857	No	
row_21	SMOX	SMOX	SMOX	spermine oxidase	1705	0.2221938669681549	0.1273616	No	
row_22	LPIN2	LPIN2	LPIN2	lipin 2	1748	0.21857576072216034	0.13160707	No	
