NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	151	0.526207685470581	0.005127475	No	
row_1	GPC4	GPC4	GPC4	glypican 4	152	0.5259417295455933	0.021176983	No	
row_2	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	198	0.4993257522583008	0.033156954	No	
row_3	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	319	0.4472206234931946	0.03811802	No	
row_4	SLC6A6	SLC6A6	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	510	0.39292383193969727	0.03635522	No	
row_5	ILVBL	ILVBL	ILVBL	ilvB (bacterial acetolactate synthase)-like	539	0.3871472477912903	0.04614253	No	
row_6	UGP2	UGP2	UGP2	UDP-glucose pyrophosphorylase 2	540	0.3868785500526428	0.057948418	No	
row_7	LARGE	LARGE	LARGE	like-glycosyltransferase	554	0.38249364495277405	0.0686795	No	
row_8	FBP1	FBP1	FBP1	fructose-1,6-bisphosphatase 1	577	0.3771738111972809	0.07859676	No	
row_9	PDK3	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	583	0.3761162757873535	0.089712314	No	
row_10	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	586	0.3750711679458618	0.101013124	No	
row_11	SLC37A4	SLC37A4	SLC37A4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	827	0.33399656414985657	0.09383286	No	
row_12	KDELR3	KDELR3	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	865	0.32777372002601624	0.10115687	No	
row_13	TMEM45A	TMEM45A	TMEM45A	transmembrane protein 45A	962	0.31180667877197266	0.10372292	No	
row_14	HK2	HK2	HK2	hexokinase 2	1092	0.29518646001815796	0.10339308	No	
row_15	ALDOC	ALDOC	ALDOC	aldolase C, fructose-bisphosphate	1170	0.2843627333641052	0.106496975	No	
row_16	TPD52	TPD52	TPD52	tumor protein D52	1188	0.28185537457466125	0.113867454	No	
row_17	SLC2A5	SLC2A5	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	1211	0.2778373956680298	0.1207534	No	
row_18	PIM1	PIM1	PIM1	pim-1 oncogene	1215	0.27762138843536377	0.12900807	No	
row_19	TGM2	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	1287	0.26911431550979614	0.13208096	No	
row_20	IDS	IDS	IDS	iduronate 2-sulfatase (Hunter syndrome)	1812	0.2124713808298111	0.100634895	No	
row_21	GALK1	GALK1	GALK1	galactokinase 1	1881	0.20650458335876465	0.10201435	No	
row_22	LXN	LXN	LXN	latexin	1918	0.20350168645381927	0.10561849	No	
row_23	SDC2	SDC2	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1936	0.20182494819164276	0.11054679	No	
row_24	PPP1R3C	PPP1R3C	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	1938	0.20157934725284576	0.11662575	No	
row_25	F3	F3	F3	coagulation factor III (thromboplastin, tissue factor)	1958	0.20017440617084503	0.12135891	No	
row_26	EFNA1	EFNA1	EFNA1	ephrin-A1	1963	0.19984884560108185	0.12716791	No	
row_27	P4HA1	P4HA1	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	2030	0.19416826963424683	0.12831567	No	
row_28	IER3	IER3	IER3	immediate early response 3	2086	0.18932700157165527	0.13011196	No	
row_29	PGF	PGF	PGF	placental growth factor, vascular endothelial growth factor-related protein	2184	0.1810472011566162	0.1286154	No	
row_30	PGK1	PGK1	PGK1	phosphoglycerate kinase 1	2202	0.17956726253032684	0.13286448	No	
row_31	GLRX	GLRX	GLRX	glutaredoxin (thioltransferase)	2316	0.1721360683441162	0.12993783	No	
row_32	ZNF292	ZNF292	ZNF292	zinc finger protein 292	2331	0.17042937874794006	0.13412522	No	
row_33	NAGK	NAGK	NAGK	N-acetylglucosamine kinase	2336	0.16971001029014587	0.1390145	No	
row_34	KDM3A	KDM3A	null	null	2340	0.16900113224983215	0.14395455	No	
row_35	GYS1	GYS1	GYS1	glycogen synthase 1 (muscle)	2341	0.16889359056949615	0.14910845	No	
row_36	GPC1	GPC1	GPC1	glypican 1	2345	0.16857366263866425	0.15403546	No	
row_37	FAM162A	FAM162A	null	null	2409	0.16405917704105377	0.15448159	No	
row_38	NDST1	NDST1	NDST1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	2726	0.14264416694641113	0.13596079	No	
row_39	EFNA3	EFNA3	EFNA3	ephrin-A3	2913	0.13047493994235992	0.1264787	No	
row_40	TES	TES	TES	testis derived transcript (3 LIM domains)	3145	0.11671910434961319	0.11331952	No	
row_41	AK4	AK4	null	null	3419	0.10200919210910797	0.09667128	No	
row_42	BNIP3L	BNIP3L	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	3437	0.10088244825601578	0.098519236	No	
row_43	EXT1	EXT1	EXT1	exostoses (multiple) 1	3464	0.0997529849410057	0.099681266	No	
row_44	PRDX5	PRDX5	PRDX5	peroxiredoxin 5	3579	0.09258532524108887	0.09425467	No	
row_45	SDC3	SDC3	SDC3	syndecan 3 (N-syndecan)	3649	0.0875861793756485	0.09193286	No	
row_46	NR3C1	NR3C1	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3650	0.08751378953456879	0.09460341	No	
row_47	ERO1L	ERO1L	ERO1L	ERO1-like (S. cerevisiae)	3653	0.08722928911447525	0.09712051	No	
row_48	CASP6	CASP6	CASP6	caspase 6, apoptosis-related cysteine peptidase	3691	0.08514131605625153	0.09704041	No	
row_49	CCNG2	CCNG2	CCNG2	cyclin G2	3699	0.08476797491312027	0.099120475	No	
row_50	HEXA	HEXA	HEXA	hexosaminidase A (alpha polypeptide)	3836	0.07662010192871094	0.091614224	No	
row_51	PFKFB3	PFKFB3	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	3847	0.0759582594037056	0.09320829	No	
row_52	HMOX1	HMOX1	HMOX1	heme oxygenase (decycling) 1	3855	0.07564759999513626	0.09501004	No	
row_53	S100A4	S100A4	S100A4	S100 calcium binding protein A4	3963	0.06959870457649231	0.08938869	No	
row_54	ATP7A	ATP7A	ATP7A	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	4026	0.06610412895679474	0.08691803	No	
row_55	VEGFA	VEGFA	null	null	4148	0.05941975116729736	0.07997268	No	
row_56	KLHL24	KLHL24	KLHL24	kelch-like 24 (Drosophila)	4187	0.057304639369249344	0.07897074	No	
row_57	PGM2	PGM2	PGM2	phosphoglucomutase 2	4231	0.054788898676633835	0.07753011	No	
row_58	RRAGD	RRAGD	RRAGD	Ras-related GTP binding D	4414	0.04520747438073158	0.065735556	No	
row_59	TPI1	TPI1	TPI1	triosephosphate isomerase 1	4451	0.04333750903606415	0.06445217	No	
row_60	MT1E	MT1E	MT1E	metallothionein 1E (functional)	4572	0.03702825307846069	0.056895908	No	
row_61	ADM	ADM	ADM	adrenomedullin	4669	0.03203273564577103	0.050924443	No	
row_62	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	5034	0.015324124135077	0.025043895	No	
row_63	ANGPTL4	ANGPTL4	ANGPTL4	angiopoietin-like 4	5131	0.01115648914128542	0.018435376	No	
row_64	CSRP2	CSRP2	CSRP2	cysteine and glycine-rich protein 2	5207	0.007189095951616764	0.013225875	No	
row_65	DDIT3	DDIT3	DDIT3	DNA-damage-inducible transcript 3	5247	0.005827695596963167	0.010580693	No	
row_66	RBPJ	RBPJ	null	null	5355	0.0010880273766815662	0.0028686905	No	
row_67	PFKL	PFKL	PFKL	phosphofructokinase, liver	5515	-0.005457292776554823	-0.008474005	No	
row_68	TPST2	TPST2	TPST2	tyrosylprotein sulfotransferase 2	5664	-0.012512501329183578	-0.01880517	No	
row_69	PAM	PAM	PAM	peptidylglycine alpha-amidating monooxygenase	5685	-0.013226533308625221	-0.019849254	No	
row_70	GCNT2	GCNT2	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	5791	-0.018654797226190567	-0.026880424	No	
row_71	PLIN2	PLIN2	null	null	5991	-0.026792872697114944	-0.040467452	No	
row_72	HSPA5	HSPA5	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	5999	-0.027092473581433296	-0.0401474	No	
row_73	MIF	MIF	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	6003	-0.0271728727966547	-0.039535355	No	
