NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM2	MCM2	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	134	0.5354157090187073	0.0061810757	No	
row_1	MCM4	MCM4	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	195	0.5017417073249817	0.016732609	No	
row_2	PTGES3	PTGES3	PTGES3	prostaglandin E synthase 3 (cytosolic)	196	0.5010783076286316	0.0316192	No	
row_3	CYC1	CYC1	CYC1	cytochrome c-1	228	0.48520973324775696	0.043784387	No	
row_4	SNRPB2	SNRPB2	SNRPB2	small nuclear ribonucleoprotein polypeptide B''	301	0.4546293616294861	0.052065298	No	
row_5	COPS5	COPS5	COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	419	0.4158073365688324	0.055926766	No	
row_6	PSMA6	PSMA6	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	453	0.4067003130912781	0.06561435	No	
row_7	PSMB3	PSMB3	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	522	0.39090031385421753	0.072292246	No	
row_8	CANX	CANX	CANX	calnexin	552	0.3828844428062439	0.0815626	No	
row_9	EIF1AX	EIF1AX	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	887	0.32361510396003723	0.066935375	No	
row_10	PRDX4	PRDX4	PRDX4	peroxiredoxin 4	977	0.30919140577316284	0.0696616	No	
row_11	PCNA	PCNA	PCNA	proliferating cell nuclear antigen	985	0.3081328570842743	0.0783079	No	
row_12	PSMA4	PSMA4	PSMA4	proteasome (prosome, macropain) subunit, alpha type, 4	1226	0.2766589820384979	0.06910812	No	
row_13	PSMB2	PSMB2	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	1367	0.2592168152332306	0.066648096	No	
row_14	SNRPG	SNRPG	SNRPG	small nuclear ribonucleoprotein polypeptide G	1393	0.2563524544239044	0.07244961	No	
row_15	MRPS18B	MRPS18B	MRPS18B	mitochondrial ribosomal protein S18B	1522	0.2427663952112198	0.070371814	No	
row_16	PRPF31	PRPF31	PRPF31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)	1614	0.2328808754682541	0.07068577	No	
row_17	PSMA2	PSMA2	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	1628	0.23126840591430664	0.07661301	No	
row_18	NOP56	NOP56	null	null	1697	0.22345682978630066	0.07831631	No	
row_19	TOMM70A	TOMM70A	TOMM70A	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)	1896	0.2052289992570877	0.070042744	No	
