NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMM8B	TIMM8B	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B (yeast)	95	0.5637260675430298	0.009285076	Yes	
row_1	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	164	0.5165464878082275	0.019175543	Yes	
row_2	SDHD	SDHD	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	220	0.4875686466693878	0.029177774	Yes	
row_3	CYC1	CYC1	CYC1	cytochrome c-1	228	0.48520973324775696	0.042595863	Yes	
row_4	ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	267	0.46649277210235596	0.053226955	Yes	
row_5	COX6C	COX6C	COX6C	cytochrome c oxidase subunit VIc	292	0.4578912854194641	0.064627215	Yes	
row_6	MRPL15	MRPL15	MRPL15	mitochondrial ribosomal protein L15	357	0.4358624517917633	0.07249224	Yes	
row_7	NDUFA2	NDUFA2	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa	366	0.43185731768608093	0.084306486	Yes	
row_8	ATP6V0E1	ATP6V0E1	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	385	0.42669814825057983	0.0952469	Yes	
row_9	NDUFB7	NDUFB7	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	434	0.41158154606819153	0.10357623	Yes	
row_10	ATP6V1C1	ATP6V1C1	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	461	0.40478527545928955	0.11330713	Yes	
row_11	PDP1	PDP1	null	null	477	0.401790976524353	0.12375041	Yes	
row_12	PDHX	PDHX	PDHX	pyruvate dehydrogenase complex, component X	708	0.3519406020641327	0.11715946	Yes	
row_13	COX6A1	COX6A1	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	709	0.35192209482192993	0.12726006	Yes	
row_14	DECR1	DECR1	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	720	0.35055673122406006	0.13659573	Yes	
row_15	NDUFA8	NDUFA8	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	722	0.35016483068466187	0.1465733	Yes	
row_16	SDHB	SDHB	SDHB	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	931	0.3170031011104584	0.14057624	Yes	
row_17	ATP1B1	ATP1B1	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1046	0.2999999523162842	0.14091314	Yes	
row_18	IDH2	IDH2	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1200	0.2799268066883087	0.13784353	Yes	
row_19	ATP5G3	ATP5G3	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	1348	0.2618028223514557	0.13468918	Yes	
row_20	ATP5B	ATP5B	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	1349	0.26175016164779663	0.14220174	Yes	
row_21	COX8A	COX8A	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	1381	0.2577565610408783	0.14734986	Yes	
row_22	ATP5J	ATP5J	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	1408	0.2553209364414215	0.15279095	Yes	
