NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	21	0.702817440032959	0.01785775	Yes	
row_1	TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	245	0.4784848988056183	0.014897553	Yes	
row_2	RAB40C	RAB40C	RAB40C	RAB40C, member RAS oncogene family	247	0.4764042794704437	0.027961116	Yes	
row_3	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	272	0.4638739824295044	0.039013114	Yes	
row_4	ITGB4	ITGB4	ITGB4	integrin, beta 4	297	0.4558393657207489	0.049843572	Yes	
row_5	IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	304	0.4538482427597046	0.061923005	Yes	
row_6	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	319	0.4472206234931946	0.07324019	Yes	
row_7	DRAM1	DRAM1	null	null	411	0.41846513748168945	0.07818681	Yes	
row_8	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	439	0.4110082685947418	0.08756382	Yes	
row_9	RXRA	RXRA	RXRA	retinoid X receptor, alpha	440	0.41009384393692017	0.098871425	Yes	
row_10	STOM	STOM	STOM	stomatin	458	0.40549999475479126	0.10882093	Yes	
row_11	VWA5A	VWA5A	null	null	482	0.4003230631351471	0.11819306	Yes	
row_12	TRAFD1	TRAFD1	TRAFD1	TRAF-type zinc finger domain containing 1	496	0.396859735250473	0.12819408	Yes	
row_13	VAMP8	VAMP8	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	506	0.39430737495422363	0.13841446	Yes	
row_14	PLK2	PLK2	PLK2	polo-like kinase 2 (Drosophila)	559	0.38172292709350586	0.14517304	Yes	
row_15	GM2A	GM2A	GM2A	GM2 ganglioside activator	602	0.3731462359428406	0.15241951	Yes	
row_16	NINJ1	NINJ1	NINJ1	ninjurin 1	604	0.3730285167694092	0.16263266	Yes	
row_17	TCN2	TCN2	TCN2	transcobalamin II; macrocytic anemia	711	0.3517920672893524	0.16465433	Yes	
row_18	JAG2	JAG2	JAG2	jagged 2	724	0.35015299916267395	0.17343992	Yes	
row_19	CCNG1	CCNG1	CCNG1	cyclin G1	859	0.3289598822593689	0.17280377	Yes	
row_20	MXD1	MXD1	MXD1	MAX dimerization protein 1	875	0.3259612023830414	0.18070501	Yes	
row_21	PERP	PERP	PERP	PERP, TP53 apoptosis effector	903	0.32054442167282104	0.18758763	Yes	
row_22	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	981	0.3087084889411926	0.19052204	Yes	
row_23	PCNA	PCNA	PCNA	proliferating cell nuclear antigen	985	0.3081328570842743	0.19880094	Yes	
row_24	SP1	SP1	SP1	Sp1 transcription factor	1089	0.2955716848373413	0.19948974	Yes	
row_25	KIF13B	KIF13B	KIF13B	kinesin family member 13B	1093	0.29481470584869385	0.20740142	Yes	
