NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	205	0.49479129910469055	0.018304775	Yes	
row_1	EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	333	0.44382262229919434	0.038818024	Yes	
row_2	SOD1	SOD1	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	358	0.4353806972503662	0.0661805	Yes	
row_3	PEX2	PEX2	null	null	361	0.43355730175971985	0.09500456	Yes	
row_4	CADM1	CADM1	null	null	735	0.34861138463020325	0.09145081	Yes	
row_5	TOP2A	TOP2A	TOP2A	topoisomerase (DNA) II alpha 170kDa	785	0.3401084542274475	0.110648364	Yes	
row_6	ATXN1	ATXN1	ATXN1	ataxin 1	901	0.3210296034812927	0.123820916	Yes	
row_7	PRDX1	PRDX1	PRDX1	peroxiredoxin 1	902	0.3206574618816376	0.14524555	Yes	
row_8	ACSL5	ACSL5	ACSL5	acyl-CoA synthetase long-chain family member 5	1003	0.30563512444496155	0.15846913	Yes	
row_9	DHRS3	DHRS3	DHRS3	dehydrogenase/reductase (SDR family) member 3	1111	0.2916341722011566	0.17025341	Yes	
row_10	IDH2	IDH2	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	1200	0.2799268066883087	0.18262298	Yes	
row_11	CLN6	CLN6	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	1449	0.2513512670993805	0.1815675	Yes	
row_12	SIAH1	SIAH1	SIAH1	seven in absentia homolog 1 (Drosophila)	1525	0.24265603721141815	0.1923825	Yes	
row_13	ABCD3	ABCD3	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	1725	0.22054149210453033	0.19279519	Yes	
row_14	HSD17B4	HSD17B4	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	1750	0.21849045157432556	0.2056662	Yes	
row_15	PEX13	PEX13	PEX13	peroxisome biogenesis factor 13	1754	0.21823039650917053	0.22003128	Yes	
