NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK4	PCSK4	PCSK4	proprotein convertase subtilisin/kexin type 4	456	0.40592291951179504	0.0080748405	No	
row_1	TALDO1	TALDO1	TALDO1	transaldolase 1	1034	0.30157607793807983	-0.0030506	No	
row_2	MAP7	MAP7	MAP7	microtubule-associated protein 7	1175	0.2832905948162079	0.015397583	No	
row_3	SLC2A5	SLC2A5	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	1211	0.2778373956680298	0.040844906	No	
row_4	STAM2	STAM2	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	1392	0.2565426230430603	0.053725578	No	
row_5	TLE4	TLE4	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	1420	0.254311740398407	0.07738022	No	
row_6	VDAC3	VDAC3	VDAC3	voltage-dependent anion channel 3	2152	0.18247239291667938	0.043197047	No	
row_7	AGFG1	AGFG1	null	null	2293	0.1732195019721985	0.05056698	No	
row_8	RPL39L	RPL39L	RPL39L	ribosomal protein L39-like	2338	0.169347882270813	0.06444826	No	
row_9	CDK1	CDK1	null	null	2481	0.15890055894851685	0.07023327	No	
row_10	BRAF	BRAF	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2573	0.15296350419521332	0.0790869	No	
row_11	IDE	IDE	IDE	insulin-degrading enzyme	2718	0.14304596185684204	0.08313243	No	
row_12	EZH2	EZH2	EZH2	enhancer of zeste homolog 2 (Drosophila)	2730	0.14252857863903046	0.09668667	No	
row_13	JAM3	JAM3	JAM3	junctional adhesion molecule 3	3045	0.12193513661623001	0.08638693	No	
row_14	CLPB	CLPB	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	3173	0.11505670100450516	0.0888375	No	
row_15	NEK2	NEK2	NEK2	NIMA (never in mitosis gene a)-related kinase 2	3177	0.11489856988191605	0.10018596	No	
