NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	158	-0.39681524	-1.7723523	0.0	0.010797937	0.021	3950	tags=47%, list=28%, signal=65%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	127	-0.36066797	-1.5753198	0.0011862396	0.056384116	0.212	4421	tags=47%, list=32%, signal=68%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	51	-0.38789177	-1.4498315	0.045205478	0.1372823	0.574	4314	tags=45%, list=31%, signal=65%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	-0.40851417	-1.3541898	0.09452055	0.25338274	0.889	2601	tags=34%, list=19%, signal=42%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	-0.2862084	-1.3049836	0.04107981	0.30284134	0.966	4546	tags=37%, list=33%, signal=54%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.31662312	-1.2014375	0.18867925	0.5496738	1.0	1473	tags=17%, list=11%, signal=19%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	118	-0.27771893	-1.1965976	0.14760147	0.48593011	1.0	4763	tags=47%, list=34%, signal=71%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	67	-0.28920686	-1.1320132	0.26013073	0.63814265	1.0	3626	tags=36%, list=26%, signal=48%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	35	-0.3173167	-1.0999078	0.32056737	0.6792987	1.0	4526	tags=40%, list=32%, signal=59%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.255494	-1.0912701	0.29120198	0.6401087	1.0	3478	tags=31%, list=25%, signal=41%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	136	-0.23508836	-1.0364743	0.39781022	0.7650713	1.0	4702	tags=38%, list=34%, signal=56%	
CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	Details ...	2	-0.6718826	-1.0339798	0.45648313	0.709371	1.0	1559	tags=50%, list=11%, signal=56%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	160	-0.21922357	-0.9756326	0.5210773	0.833566	1.0	2829	tags=24%, list=20%, signal=30%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	-0.287793	-0.92890525	0.5822222	0.9146398	1.0	3841	tags=40%, list=27%, signal=55%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	-0.18440802	-0.85070854	0.8088737	1.0	1.0	5282	tags=39%, list=38%, signal=61%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	153	-0.18994534	-0.84858286	0.780117	1.0	1.0	2887	tags=22%, list=21%, signal=27%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	-0.2491143	-0.8171584	0.7365439	1.0	1.0	2131	tags=24%, list=15%, signal=28%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	24	-0.23906295	-0.7590415	0.833581	1.0	1.0	4963	tags=46%, list=36%, signal=71%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	136	-0.16548413	-0.736622	0.9513382	1.0	1.0	3218	tags=21%, list=23%, signal=27%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	86	-0.16211426	-0.6629587	0.96851385	1.0	1.0	2088	tags=13%, list=15%, signal=15%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	64	-0.15223031	-0.5934812	0.987984	0.99225515	1.0	2805	tags=17%, list=20%, signal=21%	
