NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRAF2	TRAF2	TRAF2	TNF receptor-associated factor 2	6	1.4053500890731812	0.018706411	Yes	
row_1	C2	C2	C2	complement component 2	23	1.1706780195236206	0.033494085	Yes	
row_2	PSMB10	PSMB10	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	35	1.1085048913955688	0.047796324	Yes	
row_3	TAPBP	TAPBP	TAPBP	TAP binding protein (tapasin)	51	1.0701848268508911	0.061287608	Yes	
row_4	CD40	CD40	CD40	CD40 molecule, TNF receptor superfamily member 5	56	1.0591644048690796	0.07542371	Yes	
row_5	HLA-DRA	HLA-DRA	HLA-DRA	major histocompatibility complex, class II, DR alpha	58	1.05092191696167	0.089664355	Yes	
row_6	HLA-DQA1	HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	63	1.0410168170928955	0.1035533	Yes	
row_7	HLA-DMB	HLA-DMB	HLA-DMB	major histocompatibility complex, class II, DM beta	69	1.0340855121612549	0.11727558	Yes	
row_8	CD3E	CD3E	CD3E	CD3e molecule, epsilon (CD3-TCR complex)	72	1.0286487340927124	0.1311406	Yes	
row_9	HLA-A	HLA-A	HLA-A	major histocompatibility complex, class I, A	77	1.0111942291259766	0.14462338	Yes	
row_10	HLA-E	HLA-E	HLA-E	major histocompatibility complex, class I, E	85	1.0025856494903564	0.15777214	Yes	
row_11	TAP2	TAP2	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	86	1.0022943019866943	0.17142276	Yes	
row_12	CD74	CD74	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	94	0.9935290217399597	0.18444815	Yes	
row_13	GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	107	0.9811959266662598	0.19694427	Yes	
row_14	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	113	0.9760602712631226	0.20987628	Yes	
row_15	LTB	LTB	LTB	lymphotoxin beta (TNF superfamily, member 3)	118	0.972102165222168	0.22282664	Yes	
row_16	HLA-G	HLA-G	HLA-G	HLA-G histocompatibility antigen, class I, G	125	0.9674651026725769	0.23556934	Yes	
row_17	HLA-DMA	HLA-DMA	HLA-DMA	major histocompatibility complex, class II, DM alpha	148	0.944550633430481	0.24684371	Yes	
row_18	CD2	CD2	CD2	CD2 molecule	171	0.9238318204879761	0.2578359	Yes	
row_19	IGSF6	IGSF6	IGSF6	immunoglobulin superfamily, member 6	175	0.9180038571357727	0.27012175	Yes	
row_20	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	190	0.9043713808059692	0.28142703	Yes	
