NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C2	C2	C2	complement component 2	23	1.1706780195236206	0.019244825	Yes	
row_1	APOBEC3G	APOBEC3G	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	195	0.9001336693763733	0.022959663	Yes	
row_2	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	221	0.8862340450286865	0.03697997	Yes	
row_3	GNGT2	GNGT2	GNGT2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	233	0.88078773021698	0.05191501	Yes	
row_4	PRSS36	PRSS36	PRSS36	protease, serine, 36	242	0.8708884716033936	0.06689011	Yes	
row_5	IRF1	IRF1	IRF1	interferon regulatory factor 1	285	0.8438798785209656	0.07892515	Yes	
row_6	CTSS	CTSS	CTSS	cathepsin S	300	0.8356210589408875	0.09283669	Yes	
row_7	CTSD	CTSD	CTSD	cathepsin D (lysosomal aspartyl peptidase)	329	0.8214990496635437	0.10548402	Yes	
row_8	CFB	CFB	CFB	complement factor B	344	0.8138008117675781	0.119005874	Yes	
row_9	PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	351	0.8101762533187866	0.13304128	Yes	
row_10	FCER1G	FCER1G	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	372	0.7983475923538208	0.14585343	Yes	
row_11	GZMB	GZMB	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	379	0.7956380844116211	0.15962918	Yes	
row_12	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	406	0.7846959233283997	0.17176382	Yes	
row_13	WAS	WAS	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	419	0.7824732065200806	0.18487075	Yes	
row_14	PLA2G7	PLA2G7	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	425	0.7801176309585571	0.19844161	Yes	
row_15	LTA4H	LTA4H	LTA4H	leukotriene A4 hydrolase	438	0.7718329429626465	0.21135852	Yes	
row_16	C1QA	C1QA	C1QA	complement component 1, q subcomponent, A chain	440	0.7717620134353638	0.2250693	Yes	
row_17	SERPING1	SERPING1	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	515	0.7401705384254456	0.23293903	Yes	
row_18	SRC	SRC	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	520	0.7388169169425964	0.24584459	Yes	
row_19	C1QC	C1QC	C1QC	complement component 1, q subcomponent, C chain	544	0.7291945219039917	0.25720486	Yes	
row_20	C1S	C1S	C1S	complement component 1, s subcomponent	564	0.7232983708381653	0.26874897	Yes	
row_21	LAP3	LAP3	LAP3	leucine aminopeptidase 3	565	0.7231016755104065	0.281663	Yes	
row_22	VCPIP1	VCPIP1	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	580	0.7158969044685364	0.29343638	Yes	
row_23	GRB2	GRB2	GRB2	growth factor receptor-bound protein 2	583	0.7152750492095947	0.30606604	Yes	
row_24	GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	587	0.7149725556373596	0.31861803	Yes	
row_25	APOC1	APOC1	APOC1	apolipoprotein C-I	604	0.7098402380943298	0.33013865	Yes	
row_26	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	615	0.704718291759491	0.34200153	Yes	
