NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	44	1.091494083404541	0.023060864	Yes	
row_1	PTPN6	PTPN6	PTPN6	protein tyrosine phosphatase, non-receptor type 6	253	0.8654161691665649	0.028838798	Yes	
row_2	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	349	0.81173175573349	0.041489717	Yes	
row_3	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	406	0.7846959233283997	0.056308202	Yes	
row_4	BLVRB	BLVRB	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	459	0.7615689635276794	0.070859686	Yes	
row_5	SERPINA3	SERPINA3	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	728	0.6627489328384399	0.067430854	Yes	
row_6	LARGE	LARGE	LARGE	like-glycosyltransferase	735	0.6595249176025391	0.082852416	Yes	
row_7	AFF1	AFF1	AFF1	AF4/FMR2 family, member 1	766	0.6492325663566589	0.0962927	Yes	
row_8	ANXA9	ANXA9	ANXA9	annexin A9	836	0.6216524243354797	0.10625244	Yes	
row_9	PLA2G16	PLA2G16	null	null	838	0.6213181018829346	0.12111672	Yes	
row_10	DUSP2	DUSP2	DUSP2	dual specificity phosphatase 2	902	0.6066479086875916	0.13114922	Yes	
row_11	CISH	CISH	CISH	cytokine inducible SH2-containing protein	965	0.5895847678184509	0.14084375	Yes	
row_12	FAM102A	FAM102A	FAM102A	family with sequence similarity 102, member A	1248	0.5173883438110352	0.13290903	Yes	
row_13	ALDH3B1	ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	1278	0.5106503963470459	0.14309002	Yes	
row_14	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	1280	0.5103834867477417	0.15528743	Yes	
row_15	JAK2	JAK2	JAK2	Janus kinase 2 (a protein tyrosine kinase)	1621	0.4539317786693573	0.14163706	Yes	
row_16	SNX10	SNX10	SNX10	sorting nexin 10	1706	0.4419853985309601	0.14619394	Yes	
row_17	CXCL12	CXCL12	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1725	0.43894097208976746	0.15544571	Yes	
row_18	KCNK5	KCNK5	KCNK5	potassium channel, subfamily K, member 5	1727	0.4388362169265747	0.16592312	Yes	
row_19	GLA	GLA	GLA	galactosidase, alpha	1771	0.4318740665912628	0.17319892	Yes	
row_20	CHPT1	CHPT1	CHPT1	choline phosphotransferase 1	1828	0.4229685962200165	0.17932145	Yes	
