NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOC4L	NOC4L	NOC4L	nucleolar complex associated 4 homolog (S. cerevisiae)	796	0.6377973556518555	-0.011817067	No	
row_1	DUSP2	DUSP2	DUSP2	dual specificity phosphatase 2	902	0.6066479086875916	0.023801094	No	
row_2	MCM4	MCM4	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	1332	0.5026018619537354	0.028735517	No	
row_3	MAP3K6	MAP3K6	MAP3K6	mitogen-activated protein kinase kinase kinase 6	1475	0.47768375277519226	0.05251928	No	
row_4	EXOSC5	EXOSC5	EXOSC5	exosome component 5	1949	0.4040147066116333	0.047277644	No	
row_5	TCOF1	TCOF1	TCOF1	Treacher Collins-Franceschetti syndrome 1	2466	0.3314930200576782	0.033786356	No	
row_6	BYSL	BYSL	BYSL	bystin-like	2960	0.2750767171382904	0.017933717	No	
row_7	FARSA	FARSA	null	null	3098	0.25948208570480347	0.026551744	No	
row_8	MPHOSPH10	MPHOSPH10	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	3219	0.24643519520759583	0.035463016	No	
row_9	UTP20	UTP20	UTP20	UTP20, small subunit (SSU) processome component, homolog (yeast)	3336	0.23615571856498718	0.043930322	No	
row_10	HK2	HK2	HK2	hexokinase 2	3348	0.23460033535957336	0.059831694	No	
row_11	NOP56	NOP56	null	null	3619	0.2096603810787201	0.05534826	No	
row_12	PPAN	PPAN	PPAN	peter pan homolog (Drosophila)	3640	0.2082056701183319	0.06872496	No	
row_13	MCM5	MCM5	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	3804	0.19424653053283691	0.07083327	No	
row_14	SLC19A1	SLC19A1	SLC19A1	solute carrier family 19 (folate transporter), member 1	3814	0.19269363582134247	0.083896704	No	
