NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB17	ZBTB17	ZBTB17	zinc finger and BTB domain containing 17	338	0.8168973326683044	0.0056886165	No	
row_1	DCP2	DCP2	DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)	360	0.8041983246803284	0.033768296	No	
row_2	TUBB2A	TUBB2A	TUBB2A	tubulin, beta 2A	903	0.6066066026687622	0.01700823	No	
row_3	EXOSC4	EXOSC4	EXOSC4	exosome component 4	1144	0.5427693724632263	0.01967575	No	
row_4	ATP6V0D1	ATP6V0D1	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	1696	0.4436621069908142	-0.003729539	No	
row_5	IFIT1	IFIT1	IFIT1	interferon-induced protein with tetratricopeptide repeats 1	1848	0.41919493675231934	8.0817676E-4	No	
row_6	CHAC1	CHAC1	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	1850	0.41852042078971863	0.01613734	No	
row_7	GOSR2	GOSR2	GOSR2	golgi SNAP receptor complex member 2	1875	0.41446006298065186	0.029658588	No	
row_8	EXOSC5	EXOSC5	EXOSC5	exosome component 5	1949	0.4040147066116333	0.03926214	No	
row_9	DCP1A	DCP1A	DCP1A	DCP1 decapping enzyme homolog A (S. cerevisiae)	2179	0.3737866282463074	0.036504403	No	
row_10	CNOT6	CNOT6	CNOT6	CCR4-NOT transcription complex, subunit 6	2212	0.368020236492157	0.047739826	No	
row_11	EDC4	EDC4	EDC4	enhancer of mRNA decapping 4	2546	0.32171568274497986	0.035566635	No	
row_12	HSP90B1	HSP90B1	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	2730	0.29990047216415405	0.033406924	No	
row_13	NHP2	NHP2	null	null	2843	0.2872766852378845	0.035902366	No	
row_14	ARFGAP1	ARFGAP1	ARFGAP1	ADP-ribosylation factor GTPase activating protein 1	2921	0.27900266647338867	0.040617123	No	
row_15	KDELR3	KDELR3	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	3278	0.24158340692520142	0.023836624	No	
row_16	EIF4EBP1	EIF4EBP1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	3469	0.22309699654579163	0.018345837	No	
row_17	NFYA	NFYA	NFYA	nuclear transcription factor Y, alpha	3565	0.21466509997844696	0.019395065	No	
row_18	NOP56	NOP56	null	null	3619	0.2096603810787201	0.023288678	No	
row_19	CALR	CALR	CALR	calreticulin	3652	0.20740284025669098	0.028613493	No	
row_20	FKBP14	FKBP14	FKBP14	FK506 binding protein 14, 22 kDa	4000	0.174765944480896	0.01002313	No	
row_21	KHSRP	KHSRP	KHSRP	KH-type splicing regulatory protein (FUSE binding protein 2)	4176	0.15878377854824066	0.003247287	No	
row_22	CCL2	CCL2	CCL2	chemokine (C-C motif) ligand 2	4365	0.14546789228916168	-0.0049559814	No	
row_23	SKIV2L2	SKIV2L2	SKIV2L2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	4375	0.14464901387691498	-2.8197095E-4	No	
row_24	POP4	POP4	POP4	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	4594	0.12941981852054596	-0.011239051	No	
row_25	BANF1	BANF1	BANF1	barrier to autointegration factor 1	4629	0.126627579331398	-0.009030929	No	
row_26	LSM1	LSM1	LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	4878	0.10595408827066422	-0.023014786	No	
row_27	EDEM1	EDEM1	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	4902	0.10424554347991943	-0.020837113	No	
row_28	EXOSC10	EXOSC10	EXOSC10	exosome component 10	5188	0.08321473747491837	-0.038325775	No	
row_29	EXOSC1	EXOSC1	EXOSC1	exosome component 1	5344	0.07127907127141953	-0.046879563	No	
row_30	TTC37	TTC37	null	null	5416	0.06577999889850616	-0.049578603	No	
row_31	YWHAZ	YWHAZ	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	5653	0.04923493042588234	-0.064784385	No	
row_32	DNAJC3	DNAJC3	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	5763	0.03975186124444008	-0.071181364	No	
row_33	CNOT4	CNOT4	CNOT4	CCR4-NOT transcription complex, subunit 4	5949	0.026947088539600372	-0.08352979	No	
row_34	EXOC2	EXOC2	EXOC2	exocyst complex component 2	5979	0.025380242615938187	-0.084686965	No	
row_35	HYOU1	HYOU1	HYOU1	hypoxia up-regulated 1	5983	0.02507375180721283	-0.08398059	No	
row_36	SRPR	SRPR	SRPR	signal recognition particle receptor ('docking protein')	6090	0.017489338293671608	-0.09098049	No	
row_37	RRP9	RRP9	null	null	6094	0.01721370592713356	-0.090563364	No	
row_38	DDX10	DDX10	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	6268	0.006068166811019182	-0.10281482	No	
row_39	NFYB	NFYB	NFYB	nuclear transcription factor Y, beta	6542	-0.013639124110341072	-0.12199852	No	
row_40	PREB	PREB	PREB	prolactin regulatory element binding	6701	-0.02366151288151741	-0.13252093	No	
row_41	SERP1	SERP1	SERP1	-	6920	-0.03824197128415108	-0.14683329	No	
