NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-F	HLA-F	HLA-F	major histocompatibility complex, class I, F	54	1.0654467344284058	0.022674926	Yes	
row_1	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	113	0.9760602712631226	0.042831566	Yes	
row_2	MGAT1	MGAT1	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	147	0.944741427898407	0.06401224	Yes	
row_3	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	230	0.8812959790229797	0.08007231	Yes	
row_4	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	274	0.854397177696228	0.09827757	Yes	
row_5	IRF1	IRF1	IRF1	interferon regulatory factor 1	285	0.8438798785209656	0.11860335	Yes	
row_6	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	292	0.8412038087844849	0.13915122	Yes	
row_7	SQSTM1	SQSTM1	SQSTM1	sequestosome 1	346	0.8125942945480347	0.15559176	Yes	
row_8	SULT1A1	SULT1A1	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	373	0.7982230186462402	0.17362346	Yes	
row_9	CREG1	CREG1	CREG1	cellular repressor of E1A-stimulated genes 1	465	0.7589511275291443	0.18598217	Yes	
row_10	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	615	0.704718291759491	0.1928002	Yes	
row_11	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	982	0.5862672328948975	0.18099482	Yes	
row_12	ARRB2	ARRB2	ARRB2	arrestin, beta 2	996	0.5832249522209167	0.1946028	Yes	
row_13	AQP3	AQP3	AQP3	aquaporin 3 (Gill blood group)	1230	0.5205744504928589	0.19076252	Yes	
row_14	GRINA	GRINA	GRINA	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	1327	0.5037227869033813	0.19639435	Yes	
row_15	KLHDC3	KLHDC3	KLHDC3	kelch domain containing 3	1337	0.5013580918312073	0.20824924	Yes	
row_16	TMBIM6	TMBIM6	null	null	1359	0.49846091866493225	0.21916538	Yes	
row_17	GGH	GGH	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	1418	0.48794665932655334	0.22714761	Yes	
