NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	158	-0.37791717	-1.8479627	0.0	0.016010957	0.014	3690	tags=46%, list=26%, signal=62%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	127	-0.39049947	-1.8304697	0.0	0.00902272	0.016	3507	tags=46%, list=25%, signal=60%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	51	-0.43824905	-1.7669953	0.0021097045	0.011269859	0.03	2748	tags=35%, list=20%, signal=44%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	-0.3087857	-1.5625833	0.0	0.05934251	0.184	4234	tags=39%, list=30%, signal=55%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	160	-0.30551046	-1.4943994	0.0020408162	0.08267267	0.296	3450	tags=34%, list=25%, signal=44%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	86	-0.33369273	-1.4649632	0.02053388	0.08884563	0.368	3164	tags=37%, list=23%, signal=48%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	170	-0.2460186	-1.2084178	0.094339624	0.5620671	0.97	2310	tags=24%, list=17%, signal=29%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	64	-0.28561103	-1.1734681	0.17547569	0.6289024	0.986	3791	tags=33%, list=27%, signal=45%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	-0.33233422	-1.1657879	0.2299578	0.58570343	0.988	3383	tags=41%, list=24%, signal=54%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	175	-0.23082742	-1.131983	0.16348195	0.6516061	0.997	3597	tags=39%, list=26%, signal=52%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	128	-0.22895004	-1.0782182	0.2769231	0.8215448	1.0	4801	tags=43%, list=34%, signal=65%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	24	-0.31989878	-1.0700018	0.34653464	0.7847622	1.0	3488	tags=29%, list=25%, signal=39%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	-0.20943537	-1.051332	0.3304904	0.8034976	1.0	2512	tags=23%, list=18%, signal=28%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.22890712	-1.0432162	0.3395445	0.7800706	1.0	2698	tags=22%, list=19%, signal=28%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	-0.20347482	-1.0175267	0.41703057	0.8342772	1.0	4912	tags=44%, list=35%, signal=67%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	140	-0.2046998	-0.9690465	0.54966885	0.98317295	1.0	3658	tags=31%, list=26%, signal=42%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	-0.28604305	-0.9623362	0.4759036	0.9537814	1.0	2577	tags=28%, list=18%, signal=34%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	153	-0.19171068	-0.9370427	0.63213533	1.0	1.0	2118	tags=18%, list=15%, signal=21%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	67	-0.22433974	-0.936163	0.5681818	0.95173407	1.0	4847	tags=45%, list=35%, signal=68%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	68	-0.2197022	-0.9105629	0.6040404	0.9947149	1.0	2817	tags=25%, list=20%, signal=31%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	136	-0.18830968	-0.8909253	0.71734476	1.0	1.0	2458	tags=18%, list=18%, signal=21%	
CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	Details ...	2	-0.56036645	-0.85594785	0.7068273	1.0	1.0	6146	tags=100%, list=44%, signal=178%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.20952104	-0.8419541	0.74380165	1.0	1.0	2697	tags=21%, list=19%, signal=26%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	118	-0.16212453	-0.745969	0.9638298	1.0	1.0	4466	tags=37%, list=32%, signal=54%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	166	-0.15013361	-0.7282925	0.9872068	1.0	1.0	2856	tags=19%, list=20%, signal=23%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.15972973	-0.70614153	0.9716599	1.0	1.0	3095	tags=20%, list=22%, signal=26%	
CANCER_IMMUNITY_DIFFERENTIATION_ANTIGENS	CANCER_IMMUNITY_DIFFERENTIATION_ANTIGENS	Details ...	1	-0.52132535	-0.6889032	0.96590906	1.0	1.0	6691	tags=100%, list=48%, signal=192%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	196	-0.13726372	-0.6851711	1.0	1.0	1.0	4245	tags=30%, list=30%, signal=42%	
