NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJB9	DNAJB9	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	1	2.1437199115753174	0.054411493	Yes	
row_1	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	32	1.5333553552627563	0.09122234	Yes	
row_2	SORD	SORD	SORD	sorbitol dehydrogenase	106	1.2377362251281738	0.11742394	Yes	
row_3	ZBTB10	ZBTB10	ZBTB10	zinc finger and BTB domain containing 10	172	1.121802568435669	0.14125504	Yes	
row_4	SEC24D	SEC24D	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	181	1.1107196807861328	0.16890842	Yes	
row_5	ACTN1	ACTN1	ACTN1	actinin, alpha 1	402	0.9274290204048157	0.17663953	Yes	
row_6	PGM3	PGM3	PGM3	phosphoglucomutase 3	444	0.8933014273643494	0.19639115	Yes	
row_7	LMAN1	LMAN1	LMAN1	lectin, mannose-binding, 1	445	0.8931037783622742	0.21908975	Yes	
row_8	HERC3	HERC3	HERC3	hect domain and RLD 3	684	0.7758145928382874	0.2216715	Yes	
row_9	CDC14B	CDC14B	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	706	0.7672764658927917	0.23966016	Yes	
row_10	ABHD2	ABHD2	ABHD2	abhydrolase domain containing 2	737	0.755348265171051	0.25669765	Yes	
row_11	MAP7	MAP7	MAP7	microtubule-associated protein 7	761	0.747616171836853	0.27404264	Yes	
row_12	CDK6	CDK6	CDK6	cyclin-dependent kinase 6	773	0.7430436015129089	0.2921354	Yes	
row_13	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	907	0.7029988765716553	0.30042645	Yes	
row_14	ARID5B	ARID5B	ARID5B	AT rich interactive domain 5B (MRF1-like)	987	0.6742451190948486	0.31187472	Yes	
row_15	TPD52	TPD52	TPD52	tumor protein D52	1042	0.6593230962753296	0.3247437	Yes	
row_16	UAP1	UAP1	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	1087	0.6477609872817993	0.33803883	Yes	
row_17	ABCC4	ABCC4	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	1180	0.6231676340103149	0.34725294	Yes	
row_18	ELL2	ELL2	ELL2	elongation factor, RNA polymerase II, 2	1271	0.605171263217926	0.35615364	Yes	
row_19	SLC38A2	SLC38A2	SLC38A2	solute carrier family 38, member 2	1300	0.5969353914260864	0.369309	Yes	
row_20	SMS	SMS	SMS	spermine synthase	1389	0.5819557309150696	0.3777637	Yes	
row_21	ITGAV	ITGAV	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	1395	0.5811914205551147	0.3921749	Yes	
row_22	RAB4A	RAB4A	RAB4A	RAB4A, member RAS oncogene family	1431	0.576919436454773	0.40431756	Yes	
row_23	MAF	MAF	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	1486	0.564635694026947	0.41478005	Yes	
row_24	IQGAP2	IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	1756	0.519118070602417	0.40860578	Yes	
row_25	TMEM50A	TMEM50A	TMEM50A	transmembrane protein 50A	1888	0.49610283970832825	0.4117825	Yes	
row_26	STK39	STK39	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	1934	0.4890856444835663	0.42097285	Yes	
row_27	DHCR24	DHCR24	DHCR24	24-dehydrocholesterol reductase	2101	0.4682793617248535	0.42092246	Yes	
row_28	HMGCR	HMGCR	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	2109	0.467229962348938	0.4322933	Yes	
row_29	XRCC5	XRCC5	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	2228	0.45175570249557495	0.4352789	Yes	
row_30	GNAI3	GNAI3	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	2495	0.414840430021286	0.42667037	Yes	
row_31	SRP19	SRP19	SRP19	signal recognition particle 19kDa	2578	0.4055599570274353	0.4310739	Yes	
row_32	H1F0	H1F0	H1F0	H1 histone family, member 0	2600	0.4036751091480255	0.43982148	Yes	
row_33	CENPN	CENPN	CENPN	centromere protein N	2726	0.3882122039794922	0.4406881	Yes	
row_34	ALDH1A3	ALDH1A3	ALDH1A3	aldehyde dehydrogenase 1 family, member A3	2744	0.38670554757118225	0.4492924	Yes	
row_35	SGK1	SGK1	null	null	2924	0.36541813611984253	0.44569176	Yes	
row_36	SEPP1	SEPP1	SEPP1	selenoprotein P, plasma, 1	3070	0.3486373722553253	0.4441126	Yes	
row_37	NCOA4	NCOA4	NCOA4	nuclear receptor coactivator 4	3105	0.3446335792541504	0.4504236	Yes	
