NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAM23	ADAM23	ADAM23	ADAM metallopeptidase domain 23	19	1.6098958253860474	0.022898499	No	
row_1	MPZL2	MPZL2	null	null	101	1.2476197481155396	0.035855085	No	
row_2	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	219	1.0712958574295044	0.043552	No	
row_3	PTK2	PTK2	PTK2	PTK2 protein tyrosine kinase 2	244	1.0480821132659912	0.057619072	No	
row_4	CTNNA1	CTNNA1	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	303	0.993057131767273	0.06839974	No	
row_5	SIRPA	SIRPA	SIRPA	signal-regulatory protein alpha	401	0.9284254312515259	0.07538788	No	
row_6	ACTN1	ACTN1	ACTN1	actinin, alpha 1	402	0.9274290204048157	0.08937017	No	
row_7	ADAM9	ADAM9	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	428	0.9046453237533569	0.101202466	No	
row_8	ITGA3	ITGA3	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	439	0.897754430770874	0.114014775	No	
row_9	PARVA	PARVA	PARVA	parvin, alpha	470	0.8785452842712402	0.12509228	No	
row_10	LAMB3	LAMB3	LAMB3	laminin, beta 3	575	0.8224915266036987	0.12997751	No	
row_11	MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	685	0.7754236459732056	0.1337918	No	
row_12	ITGA2	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	713	0.7654139399528503	0.14338048	No	
row_13	CD276	CD276	CD276	CD276 molecule	844	0.7184549570083618	0.14481845	No	
row_14	LIMA1	LIMA1	LIMA1	LIM domain and actin binding 1	848	0.7179563641548157	0.15542588	No	
row_15	GAMT	GAMT	GAMT	guanidinoacetate N-methyltransferase	1094	0.6461601853370667	0.14746405	No	
row_16	GNAI1	GNAI1	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	1105	0.6433195471763611	0.15644039	No	
row_17	DLG1	DLG1	DLG1	discs, large homolog 1 (Drosophila)	1221	0.6130335330963135	0.15737288	No	
row_18	MDK	MDK	MDK	midkine (neurite growth-promoting factor 2)	1372	0.5840351581573486	0.15533909	No	
row_19	PCDH1	PCDH1	PCDH1	protocadherin 1 (cadherin-like 1)	1415	0.579014778137207	0.16103365	No	
row_20	MPP5	MPP5	MPP5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	1510	0.5601636171340942	0.1626865	No	
row_21	PTEN	PTEN	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1584	0.5462014079093933	0.1656463	No	
row_22	JUP	JUP	JUP	junction plakoglobin	1660	0.5340569019317627	0.16827849	No	
row_23	PVRL1	PVRL1	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)	1935	0.48907986283302307	0.15585293	No	
row_24	PIK3CB	PIK3CB	PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide	2075	0.47177720069885254	0.15292156	No	
row_25	VCL	VCL	VCL	vinculin	2241	0.4497843086719513	0.14777985	No	
row_26	NF1	NF1	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	2452	0.42011576890945435	0.13893919	No	
row_27	WASL	WASL	WASL	Wiskott-Aldrich syndrome-like	2671	0.39569538831710815	0.12915225	No	
row_28	ITGB4	ITGB4	ITGB4	integrin, beta 4	2786	0.3821561634540558	0.1266762	No	
row_29	MYL12B	MYL12B	null	null	2887	0.3701860308647156	0.12503132	No	
row_30	EXOC4	EXOC4	EXOC4	exocyst complex component 4	2998	0.35723060369491577	0.12246852	No	
row_31	SRC	SRC	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	3627	0.28552737832069397	0.08139424	No	
row_32	SKAP2	SKAP2	SKAP2	src kinase associated phosphoprotein 2	3688	0.2787155210971832	0.081260696	No	
row_33	PARD6G	PARD6G	PARD6G	par-6 partitioning defective 6 homolog gamma (C. elegans)	4031	0.23985546827316284	0.060164083	No	
row_34	ACTG1	ACTG1	ACTG1	actin, gamma 1	4070	0.2356456220149994	0.060970906	No	
row_35	CLDN15	CLDN15	CLDN15	claudin 15	4122	0.23058217763900757	0.060762018	No	
row_36	RASA1	RASA1	RASA1	RAS p21 protein activator (GTPase activating protein) 1	4156	0.22820758819580078	0.061818	No	
row_37	SGCE	SGCE	SGCE	sarcoglycan, epsilon	4183	0.22557535767555237	0.06334012	No	
row_38	TRO	TRO	TRO	trophinin	4328	0.21154014766216278	0.056124005	No	
row_39	ITGB1	ITGB1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	4575	0.18620020151138306	0.04115538	No	
row_40	HRAS	HRAS	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	4665	0.17825259268283844	0.037411686	No	
