NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	18	1.6122421026229858	0.026617793	Yes	
row_1	POLR2K	POLR2K	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	119	1.2126598358154297	0.04039092	Yes	
row_2	DCTN4	DCTN4	DCTN4	dynactin 4 (p62)	224	1.0670599937438965	0.05135372	Yes	
row_3	TMED2	TMED2	TMED2	transmembrane emp24 domain trafficking protein 2	252	1.0415832996368408	0.06743934	Yes	
row_4	ARL6IP1	ARL6IP1	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	288	1.0078924894332886	0.08236347	Yes	
row_5	POLB	POLB	POLB	polymerase (DNA directed), beta	413	0.9178513884544373	0.0892973	Yes	
row_6	GTF2A2	GTF2A2	GTF2A2	general transcription factor IIA, 2, 12kDa	417	0.9149419069290161	0.10492416	Yes	
row_7	RAD51	RAD51	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	647	0.7935464382171631	0.1021182	Yes	
row_8	TAF13	TAF13	TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	730	0.756980299949646	0.1093012	Yes	
row_9	TAF9	TAF9	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	833	0.7217519283294678	0.11442898	Yes	
row_10	PCNA	PCNA	PCNA	proliferating cell nuclear antigen	837	0.7203561663627625	0.12668628	Yes	
row_11	HPRT1	HPRT1	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	927	0.696133553981781	0.13230981	Yes	
row_12	RRM2B	RRM2B	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)	981	0.6755101084709167	0.14017756	Yes	
row_13	RALA	RALA	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	1109	0.643040120601654	0.14213583	Yes	
row_14	NUDT9	NUDT9	NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	1120	0.6404137015342712	0.15250298	Yes	
row_15	ERCC4	ERCC4	ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4	1143	0.6335309147834778	0.16188385	Yes	
row_16	GTF2H1	GTF2H1	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	1196	0.6187376379966736	0.16884075	Yes	
row_17	CDA	CDA	CDA	cytidine deaminase	1242	0.6104615926742554	0.17616016	Yes	
row_18	GTF2B	GTF2B	GTF2B	general transcription factor IIB	1394	0.5812877416610718	0.17531486	Yes	
row_19	DUT	DUT	DUT	dUTP pyrophosphatase	1534	0.5546680688858032	0.1748757	Yes	
row_20	VPS37D	VPS37D	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	1558	0.5506119132041931	0.18274844	Yes	
row_21	DFNA5	DFNA5	DFNA5	deafness, autosomal dominant 5	1559	0.5505185723304749	0.19228151	Yes	
