NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBR1	CBR1	CBR1	carbonyl reductase 1	37	1.5229742527008057	0.027533868	Yes	
row_1	NBN	NBN	NBN	nibrin	43	1.4931986331939697	0.056788154	Yes	
row_2	HIBCH	HIBCH	HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolase	128	1.192892074584961	0.0743811	Yes	
row_3	ALDH3A2	ALDH3A2	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	178	1.1154592037200928	0.09296589	Yes	
row_4	RDH11	RDH11	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	240	1.0510376691818237	0.109406374	Yes	
row_5	PTS	PTS	PTS	6-pyruvoyltetrahydropterin synthase	294	1.0008153915405273	0.12542851	Yes	
row_6	LDHA	LDHA	LDHA	lactate dehydrogenase A	317	0.9801933765411377	0.1432804	Yes	
row_7	SUCLG2	SUCLG2	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	418	0.9147224426269531	0.15420078	Yes	
row_8	PTPRG	PTPRG	PTPRG	protein tyrosine phosphatase, receptor type, G	498	0.8645887970924377	0.16564341	Yes	
row_9	REEP6	REEP6	REEP6	receptor accessory protein 6	522	0.8521604537963867	0.18088374	Yes	
row_10	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	541	0.8385370373725891	0.19621494	Yes	
row_11	HSDL2	HSDL2	HSDL2	hydroxysteroid dehydrogenase like 2	546	0.8368776440620422	0.2125243	Yes	
row_12	ACSL4	ACSL4	ACSL4	acyl-CoA synthetase long-chain family member 4	557	0.8292022347450256	0.2282481	Yes	
row_13	HSD17B11	HSD17B11	null	null	627	0.8010879158973694	0.23915346	Yes	
row_14	ECI1	ECI1	null	null	633	0.7998619675636292	0.25465643	Yes	
row_15	CRYZ	CRYZ	CRYZ	crystallin, zeta (quinone reductase)	720	0.7636341452598572	0.26359126	Yes	
row_16	MCEE	MCEE	MCEE	methylmalonyl CoA epimerase	991	0.6729604601860046	0.2574396	Yes	
row_17	HSPH1	HSPH1	HSPH1	heat shock 105kDa/110kDa protein 1	1069	0.6525276899337769	0.26482075	Yes	
row_18	BCKDHB	BCKDHB	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	1071	0.6523577570915222	0.2776871	Yes	
row_19	ALAD	ALAD	ALAD	aminolevulinate, delta-, dehydratase	1084	0.6489289402961731	0.28969103	Yes	
row_20	CA2	CA2	CA2	carbonic anhydrase II	1103	0.6436219215393066	0.30115637	Yes	
row_21	SMS	SMS	SMS	spermine synthase	1389	0.5819557309150696	0.29211652	Yes	
row_22	HCCS	HCCS	HCCS	holocytochrome c synthase (cytochrome c heme-lyase)	1419	0.5784056186676025	0.30149403	Yes	
row_23	HSP90AA1	HSP90AA1	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	1487	0.5645160675048828	0.30785176	Yes	
row_24	DECR1	DECR1	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	1561	0.5498272180557251	0.31348488	Yes	
row_25	SLC22A5	SLC22A5	SLC22A5	solute carrier family 22 (organic cation transporter), member 5	1579	0.5470452308654785	0.323107	Yes	
row_26	AADAT	AADAT	AADAT	aminoadipate aminotransferase	1606	0.5425665974617004	0.33199033	Yes	
row_27	SUCLA2	SUCLA2	SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit	1706	0.5270506739616394	0.33529404	Yes	
row_28	VNN1	VNN1	VNN1	vanin 1	1956	0.48610201478004456	0.3269529	Yes	
row_29	ADIPOR2	ADIPOR2	ADIPOR2	adiponectin receptor 2	1966	0.4852389693260193	0.33592695	Yes	
row_30	HADHB	HADHB	HADHB	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	2074	0.4718700349330902	0.33755848	Yes	
row_31	SDHD	SDHD	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	2093	0.46916911005973816	0.34556383	Yes	
row_32	DHCR24	DHCR24	DHCR24	24-dehydrocholesterol reductase	2101	0.4682793617248535	0.35434592	Yes	
row_33	EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	2358	0.4328919053077698	0.34444395	Yes	
row_34	DLD	DLD	DLD	dihydrolipoamide dehydrogenase	2483	0.4163571298122406	0.34374675	Yes	
row_35	OSTC	OSTC	null	null	2518	0.41254040598869324	0.34947348	Yes	
row_36	H2AFZ	H2AFZ	H2AFZ	H2A histone family, member Z	2573	0.40626606345176697	0.3536314	Yes	
row_37	MDH2	MDH2	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	2593	0.40428975224494934	0.36027774	Yes	
row_38	CPT1A	CPT1A	CPT1A	carnitine palmitoyltransferase 1A (liver)	2787	0.3821432292461395	0.35391894	No	
row_39	GPD2	GPD2	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2935	0.36428868770599365	0.35052806	No	
row_40	SERINC1	SERINC1	SERINC1	serine incorporator 1	2979	0.35974815487861633	0.35455775	No	
row_41	S100A10	S100A10	S100A10	S100 calcium binding protein A10	3240	0.3303777575492859	0.34233367	No	
row_42	CBR3	CBR3	CBR3	carbonyl reductase 3	3261	0.32820039987564087	0.3473987	No	
row_43	ECHS1	ECHS1	ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	3551	0.2949133515357971	0.3323769	No	
row_44	ACSL5	ACSL5	ACSL5	acyl-CoA synthetase long-chain family member 5	3585	0.2899194061756134	0.33574384	No	
row_45	TP53INP2	TP53INP2	TP53INP2	tumor protein p53 inducible nuclear protein 2	3593	0.28916287422180176	0.34097344	No	
row_46	IDI1	IDI1	IDI1	isopentenyl-diphosphate delta isomerase 1	3695	0.2780390679836273	0.3391939	No	
row_47	SUCLG1	SUCLG1	SUCLG1	succinate-CoA ligase, GDP-forming, alpha subunit	3831	0.2615283727645874	0.33463153	No	
row_48	MDH1	MDH1	MDH1	malate dehydrogenase 1, NAD (soluble)	3913	0.25318387150764465	0.33380342	No	
row_49	ACOX1	ACOX1	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	3915	0.25304165482521057	0.33874992	No	
row_50	ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	4000	0.24306462705135345	0.33750445	No	
row_51	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	4078	0.23494108021259308	0.33660337	No	
row_52	BPHL	BPHL	BPHL	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	4279	0.21578995883464813	0.32643968	No	
row_53	NSDHL	NSDHL	NSDHL	NAD(P) dependent steroid dehydrogenase-like	4297	0.2141859233379364	0.32946005	No	
row_54	UROS	UROS	UROS	uroporphyrinogen III synthase (congenital erythropoietic porphyria)	4380	0.2067853957414627	0.32763946	No	
row_55	PPARA	PPARA	PPARA	peroxisome proliferative activated receptor, alpha	4416	0.20352374017238617	0.32914844	No	
row_56	FH	FH	FH	fumarate hydratase	4423	0.2030782252550125	0.33274287	No	
row_57	MIF	MIF	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	4592	0.18490354716777802	0.32427758	No	
row_58	CCDC58	CCDC58	CCDC58	coiled-coil domain containing 58	4595	0.18472415208816528	0.32779688	No	
row_59	HSD17B4	HSD17B4	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	4612	0.18257704377174377	0.33026254	No	
row_60	ALDH1A1	ALDH1A1	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	4669	0.17763906717300415	0.32974154	No	
row_61	CPOX	CPOX	CPOX	coproporphyrinogen oxidase	4863	0.16075991094112396	0.31899193	No	
row_62	BLVRA	BLVRA	BLVRA	biliverdin reductase A	5088	0.14219938218593597	0.30563545	No	
row_63	ACSL1	ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	5090	0.14209304749965668	0.30838144	No	
row_64	HADH	HADH	HADH	hydroxyacyl-Coenzyme A dehydrogenase	5182	0.13311320543289185	0.30444974	No	
row_65	ECI2	ECI2	null	null	5367	0.11546875536441803	0.2934518	No	
row_66	EPHX1	EPHX1	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	5449	0.10767977684736252	0.28973782	No	
row_67	METAP1	METAP1	METAP1	methionyl aminopeptidase 1	5534	0.09978455305099487	0.2856506	No	
row_68	IDH1	IDH1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	5659	0.08752557635307312	0.27843153	No	
row_69	AUH	AUH	AUH	AU RNA binding protein/enoyl-Coenzyme A hydratase	5676	0.08655240386724472	0.27899268	No	
row_70	ETFDH	ETFDH	ETFDH	electron-transferring-flavoprotein dehydrogenase	5737	0.08099596202373505	0.27626607	No	
row_71	PDHB	PDHB	PDHB	pyruvate dehydrogenase (lipoamide) beta	5946	0.062074486166238785	0.2624759	No	
row_72	GABARAPL1	GABARAPL1	GABARAPL1	GABA(A) receptor-associated protein like 1	5962	0.05963614210486412	0.26257545	No	
row_73	GRHPR	GRHPR	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	6003	0.05480596050620079	0.26077372	No	
row_74	MGLL	MGLL	MGLL	monoglyceride lipase	6010	0.05428537726402283	0.2614171	No	
row_75	IDH3B	IDH3B	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta	6130	0.043853942304849625	0.25369292	No	
row_76	MAOA	MAOA	MAOA	monoamine oxidase A	6220	0.03562770038843155	0.24797218	No	
row_77	PDHA1	PDHA1	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	6282	0.028829477727413177	0.24413867	No	
row_78	ACOT8	ACOT8	ACOT8	acyl-CoA thioesterase 8	6459	0.0128704234957695	0.23168361	No	
row_79	ACADM	ACADM	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	6597	0.0011956726666539907	0.22181349	No	
