NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CKAP5	CKAP5	CKAP5	cytoskeleton associated protein 5	79	1.3151935338974	0.008562185	No	
row_1	CCNB2	CCNB2	CCNB2	cyclin B2	136	1.1772981882095337	0.017294718	No	
row_2	NUSAP1	NUSAP1	NUSAP1	nucleolar and spindle associated protein 1	167	1.1257768869400024	0.027354168	No	
row_3	KIF23	KIF23	KIF23	kinesin family member 23	188	1.101957082748413	0.03788045	No	
row_4	PRC1	PRC1	PRC1	protein regulator of cytokinesis 1	254	1.040571928024292	0.044473663	No	
row_5	ARHGEF12	ARHGEF12	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	280	1.0171366930007935	0.053715114	No	
row_6	CLIP1	CLIP1	null	null	302	0.9932801127433777	0.06298755	No	
row_7	ABR	ABR	ABR	active BCR-related gene	603	0.8120028972625732	0.05004139	No	
row_8	ECT2	ECT2	ECT2	epithelial cell transforming sequence 2 oncogene	751	0.7515446543693542	0.047541924	No	
row_9	PPP4R2	PPP4R2	PPP4R2	protein phosphatase 4, regulatory subunit 2	836	0.7204103469848633	0.04927622	No	
row_10	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	907	0.7029988765716553	0.0518373	No	
row_11	ANLN	ANLN	ANLN	anillin, actin binding protein	1133	0.6374086141586304	0.04243644	No	
row_12	SMC4	SMC4	SMC4	structural maintenance of chromosomes 4	1186	0.621910035610199	0.045422457	No	
row_13	CD2AP	CD2AP	CD2AP	CD2-associated protein	1193	0.6195115447044373	0.051720817	No	
row_14	AURKA	AURKA	AURKA	aurora kinase A	1207	0.6167289614677429	0.057480913	No	
row_15	DLG1	DLG1	DLG1	discs, large homolog 1 (Drosophila)	1221	0.6130335330963135	0.06320084	No	
row_16	MAPRE1	MAPRE1	MAPRE1	microtubule-associated protein, RP/EB family, member 1	1277	0.6037635207176208	0.065771885	No	
row_17	LRPPRC	LRPPRC	LRPPRC	leucine-rich PPR-motif containing	1322	0.5923663377761841	0.06901737	No	
row_18	DLGAP5	DLGAP5	null	null	1352	0.5879535675048828	0.073303506	No	
row_19	FGD4	FGD4	FGD4	FYVE, RhoGEF and PH domain containing 4	1402	0.5804034471511841	0.076056086	No	
row_20	TTK	TTK	TTK	TTK protein kinase	1573	0.5483413934707642	0.06967869	No	
row_21	YWHAE	YWHAE	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	1574	0.5481488108634949	0.07563681	No	
row_22	BCAR1	BCAR1	BCAR1	breast cancer anti-estrogen resistance 1	1629	0.5384018421173096	0.07756999	No	
