NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AK4	AK4	null	null	8	1.7729425430297852	0.02120834	Yes	
row_1	SYTL2	SYTL2	SYTL2	synaptotagmin-like 2	12	1.6820814609527588	0.041662898	Yes	
row_2	PSAT1	PSAT1	PSAT1	phosphoserine aminotransferase 1	50	1.4546802043914795	0.056855235	Yes	
row_3	CANX	CANX	CANX	calnexin	80	1.3067463636398315	0.07081011	Yes	
row_4	VLDLR	VLDLR	VLDLR	very low density lipoprotein receptor	95	1.2636961936950684	0.08532452	Yes	
row_5	SORD	SORD	SORD	sorbitol dehydrogenase	106	1.2377362251281738	0.09981018	Yes	
row_6	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	149	1.151888370513916	0.11091843	Yes	
row_7	SEC11A	SEC11A	null	null	152	1.148515224456787	0.12488819	Yes	
row_8	SLC1A5	SLC1A5	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	210	1.0815088748931885	0.13404289	Yes	
row_9	TCEA1	TCEA1	TCEA1	transcription elongation factor A (SII), 1	232	1.0599150657653809	0.14554487	Yes	
row_10	RDH11	RDH11	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	240	1.0510376691818237	0.15795378	Yes	
row_11	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	295	0.9990924000740051	0.16631332	Yes	
row_12	EIF2S2	EIF2S2	EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	301	0.9935895800590515	0.17816137	Yes	
row_13	NAMPT	NAMPT	null	null	309	0.9848976135253906	0.18975745	Yes	
row_14	LDHA	LDHA	LDHA	lactate dehydrogenase A	317	0.9801933765411377	0.20129572	Yes	
row_15	LDLR	LDLR	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	332	0.97028648853302	0.2122042	Yes	
row_16	POLR3G	POLR3G	POLR3G	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	382	0.9397769570350647	0.22019765	Yes	
