NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRNP	PRNP	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	7	1.7923451662063599	0.032217894	No	
row_1	CRYAB	CRYAB	CRYAB	crystallin, alpha B	138	1.1725661754608154	0.044244032	No	
row_2	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	149	1.151888370513916	0.06455253	No	
row_3	SGCD	SGCD	SGCD	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	348	0.9579324126243591	0.06775281	No	
row_4	EPHB3	EPHB3	EPHB3	EPH receptor B3	365	0.9476268887519836	0.083899096	No	
row_5	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	384	0.9389885663986206	0.09974334	No	
row_6	MRAS	MRAS	MRAS	muscle RAS oncogene homolog	504	0.8595759868621826	0.106849	No	
row_7	STC2	STC2	STC2	stanniocalcin 2	630	0.8001409769058228	0.112436555	No	
row_8	SLC6A8	SLC6A8	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	643	0.7966475486755371	0.12611505	No	
row_9	IFRD1	IFRD1	IFRD1	interferon-related developmental regulator 1	651	0.7932546734809875	0.14009243	No	
row_10	ST5	ST5	ST5	suppression of tumorigenicity 5	1167	0.6265523433685303	0.114366144	No	
row_11	PLXNB2	PLXNB2	PLXNB2	plexin B2	1577	0.5471522808074951	0.0948398	No	
row_12	BDKRB2	BDKRB2	BDKRB2	bradykinin receptor B2	1690	0.5290889739990234	0.096416876	No	
row_13	CNN3	CNN3	CNN3	calponin 3, acidic	2057	0.47458750009536743	0.07866883	No	
row_14	EFS	EFS	EFS	embryonal Fyn-associated substrate	2389	0.4286052882671356	0.06260709	No	
row_15	MYO1C	MYO1C	MYO1C	myosin IC	2710	0.39044690132141113	0.0466425	No	
row_16	ITGB4	ITGB4	ITGB4	integrin, beta 4	2786	0.3821561634540558	0.048207145	No	
row_17	GABARAPL2	GABARAPL2	GABARAPL2	GABA(A) receptor-associated protein-like 2	2959	0.3623490333557129	0.042410094	No	
row_18	MEF2A	MEF2A	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	3131	0.3416575789451599	0.036307443	No	
row_19	PPP1R3C	PPP1R3C	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	3351	0.3192485570907593	0.026331713	No	
row_20	DAPK2	DAPK2	DAPK2	death-associated protein kinase 2	3399	0.313936322927475	0.028671497	No	
row_21	NAV2	NAV2	NAV2	neuron navigator 2	3552	0.2947976291179657	0.023084467	No	
row_22	HSPB2	HSPB2	HSPB2	heat shock 27kDa protein 2	3576	0.29116982221603394	0.026740579	No	
row_23	PFKM	PFKM	PFKM	phosphofructokinase, muscle	3911	0.25326046347618103	0.007261043	No	
row_24	RIT1	RIT1	RIT1	Ras-like without CAAX 1	4247	0.21881599724292755	-0.012919514	No	
row_25	BHLHE40	BHLHE40	null	null	4345	0.20998930931091309	-0.016085787	No	
row_26	FOXO4	FOXO4	null	null	4385	0.20651042461395264	-0.015129964	No	
row_27	WWTR1	WWTR1	WWTR1	WW domain containing transcription regulator 1	4393	0.20564988255500793	-0.01188055	No	
row_28	ITGB1	ITGB1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	4575	0.18620020151138306	-0.021543061	No	
row_29	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	4596	0.18464016914367676	-0.019615378	No	
row_30	SORBS1	SORBS1	SORBS1	sorbin and SH3 domain containing 1	4649	0.1792791485786438	-0.020094873	No	
row_31	RB1	RB1	RB1	retinoblastoma 1 (including osteosarcoma)	4710	0.1735953688621521	-0.021255465	No	
row_32	AGL	AGL	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	4725	0.17228342592716217	-0.019120386	No	
