NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VLDLR	VLDLR	VLDLR	very low density lipoprotein receptor	95	1.2636961936950684	0.015244445	No	
row_1	CDON	CDON	CDON	Cdon homolog (mouse)	200	1.0887655019760132	0.02677908	No	
row_2	ATP2C1	ATP2C1	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	237	1.055137038230896	0.04263594	No	
row_3	MET	MET	MET	met proto-oncogene (hepatocyte growth factor receptor)	258	1.0360140800476074	0.0593137	No	
row_4	LDLR	LDLR	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	332	0.97028648853302	0.071014486	No	
row_5	SNAI2	SNAI2	SNAI2	snail homolog 2 (Drosophila)	459	0.8838034868240356	0.07737524	No	
row_6	PMP22	PMP22	PMP22	peripheral myelin protein 22	635	0.7990631461143494	0.07871529	No	
row_7	MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	685	0.7754236459732056	0.088740624	No	
row_8	FHL2	FHL2	FHL2	four and a half LIM domains 2	727	0.7585079073905945	0.09904777	No	
row_9	MT1E	MT1E	MT1E	metallothionein 1E (functional)	888	0.7090831995010376	0.09989708	No	
row_10	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	907	0.7029988765716553	0.11089414	No	
row_11	ANXA2	ANXA2	ANXA2	annexin A2	957	0.6840961575508118	0.11932197	No	
row_12	ERBB2	ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	960	0.6834808588027954	0.13113303	No	
row_13	ANXA4	ANXA4	ANXA4	annexin A4	1002	0.6694875955581665	0.13988303	No	
row_14	BCKDHB	BCKDHB	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	1071	0.6523577570915222	0.14638364	No	
