NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBR1	CBR1	CBR1	carbonyl reductase 1	37	1.5229742527008057	0.025539944	Yes	
row_1	RAP1GAP	RAP1GAP	RAP1GAP	RAP1 GTPase activating protein	38	1.5080695152282715	0.053476613	Yes	
row_2	ARPP19	ARPP19	null	null	57	1.4275529384613037	0.07862143	Yes	
row_3	NINJ1	NINJ1	NINJ1	ninjurin 1	114	1.2233561277389526	0.09723848	Yes	
row_4	EPHA2	EPHA2	EPHA2	EPH receptor A2	195	1.098404884338379	0.1118071	Yes	
row_5	SLC1A5	SLC1A5	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	210	1.0815088748931885	0.13083048	Yes	
row_6	CROT	CROT	CROT	carnitine O-octanoyltransferase	246	1.0448588132858276	0.14765792	Yes	
row_7	PTS	PTS	PTS	6-pyruvoyltetrahydropterin synthase	294	1.0008153915405273	0.16280259	Yes	
row_8	SAR1B	SAR1B	SAR1B	SAR1 gene homolog B (S. cerevisiae)	387	0.9378955364227295	0.17353095	Yes	
row_9	PTGR1	PTGR1	null	null	456	0.8866409063339233	0.18504356	Yes	
row_10	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	541	0.8385370373725891	0.19450922	Yes	
row_11	PTGES3	PTGES3	PTGES3	prostaglandin E synthase 3 (cytosolic)	569	0.8245038390159607	0.20783255	Yes	
row_12	SSR3	SSR3	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)	612	0.8071798086166382	0.21975136	Yes	
row_13	ADH5	ADH5	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	629	0.8007634282112122	0.2334295	Yes	
row_14	ARG2	ARG2	ARG2	arginase, type II	721	0.7623162865638733	0.24097754	Yes	
row_15	PGRMC1	PGRMC1	PGRMC1	progesterone receptor membrane component 1	819	0.7269349694252014	0.2474367	Yes	
