NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	35	-0.47683078	-1.6636778	0.009146341	0.041549023	0.08	2245	tags=29%, list=16%, signal=34%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	65	-0.3549241	-1.3966545	0.05381166	0.32132947	0.725	2745	tags=32%, list=20%, signal=40%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	137	-0.31962293	-1.3958585	0.029451137	0.21683234	0.733	3600	tags=38%, list=26%, signal=51%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	118	-0.30267388	-1.3047411	0.055629138	0.33906856	0.95	3154	tags=33%, list=23%, signal=42%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	-0.26646286	-1.214512	0.08739076	0.5331482	0.998	2300	tags=21%, list=16%, signal=25%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	54	-0.3065037	-1.1530775	0.24592593	0.6641739	1.0	2271	tags=26%, list=16%, signal=31%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	136	-0.25842437	-1.1363477	0.21438451	0.6309702	1.0	3330	tags=35%, list=24%, signal=45%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	158	-0.2462265	-1.1087185	0.24773023	0.6545189	1.0	3319	tags=33%, list=24%, signal=43%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	127	-0.23711064	-1.0296806	0.4223684	0.85868394	1.0	2774	tags=28%, list=20%, signal=34%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	-0.31313053	-0.9958419	0.4656	0.89688843	1.0	342	tags=12%, list=2%, signal=12%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	141	-0.22096695	-0.9672952	0.54182756	0.91100585	1.0	3303	tags=26%, list=24%, signal=34%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	-0.2823906	-0.93820566	0.53895074	0.9327543	1.0	3658	tags=38%, list=26%, signal=51%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	51	-0.2376937	-0.8848247	0.66615856	1.0	1.0	1227	tags=12%, list=9%, signal=13%	
CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	Details ...	2	-0.56204385	-0.86343646	0.7067669	1.0	1.0	2460	tags=50%, list=18%, signal=61%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	86	-0.20603882	-0.8400811	0.7713068	0.99231666	1.0	2910	tags=23%, list=21%, signal=29%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.2066201	-0.78501177	0.82397574	1.0	1.0	679	tags=10%, list=5%, signal=11%	
CANCER_IMMUNITY_ANTIGENS_OVEREXPRESSED_IN_TUMORS	CANCER_IMMUNITY_ANTIGENS_OVEREXPRESSED_IN_TUMORS	Details ...	27	-0.2319876	-0.76128113	0.7980614	1.0	1.0	2101	tags=26%, list=15%, signal=30%	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	Details ...	44	-0.20329133	-0.72381324	0.8980892	0.9943016	1.0	2519	tags=23%, list=18%, signal=28%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	-0.18973732	-0.62578326	0.9507936	0.98740286	1.0	3426	tags=28%, list=25%, signal=36%	
