NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC27A1	SLC27A1	SLC27A1	solute carrier family 27 (fatty acid transporter), member 1	6	1.0199792385101318	0.022798037	Yes	
row_1	ABCA1	ABCA1	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	86	0.7525791525840759	0.034214668	Yes	
row_2	UCP2	UCP2	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	172	0.6842377185821533	0.043639783	Yes	
row_3	LPCAT3	LPCAT3	null	null	194	0.6736819744110107	0.057462815	Yes	
row_4	CD302	CD302	CD302	CD302 molecule	439	0.560746967792511	0.052551676	Yes	
row_5	SQRDL	SQRDL	SQRDL	sulfide quinone reductase-like (yeast)	587	0.5134045481681824	0.053592183	Yes	
row_6	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	595	0.5098254680633545	0.06469756	Yes	
row_7	BCKDHA	BCKDHA	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	631	0.4993278980255127	0.073534556	Yes	
row_8	COX8A	COX8A	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	636	0.49758297204971313	0.08457851	Yes	
row_9	APOE	APOE	APOE	apolipoprotein E	701	0.4798281192779541	0.09086958	Yes	
row_10	SULT1A1	SULT1A1	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	767	0.4586593508720398	0.096606	Yes	
row_11	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	771	0.45797428488731384	0.106820226	Yes	
row_12	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	846	0.4441813826560974	0.111574605	Yes	
row_13	UBC	UBC	UBC	ubiquitin C	858	0.44117167592048645	0.12082631	Yes	
row_14	BAZ2A	BAZ2A	BAZ2A	bromodomain adjacent to zinc finger domain, 2A	957	0.4205460548400879	0.123302944	Yes	
row_15	GPD2	GPD2	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	968	0.41829434037208557	0.13210602	Yes	
row_16	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	973	0.41716593503952026	0.14131825	Yes	
row_17	SOD1	SOD1	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	1012	0.4103841483592987	0.14791188	Yes	
row_18	STOM	STOM	STOM	stomatin	1131	0.38618603348731995	0.14815637	Yes	
row_19	PEX14	PEX14	PEX14	peroxisomal biogenesis factor 14	1141	0.38397714495658875	0.15625027	Yes	
row_20	ME1	ME1	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	1144	0.38364699482917786	0.16484395	Yes	
row_21	ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	1175	0.3773850202560425	0.17126572	Yes	
row_22	NDUFB7	NDUFB7	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	1256	0.36152392625808716	0.17370251	Yes	
row_23	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	1272	0.3588894009590149	0.1807901	Yes	
row_24	LPL	LPL	LPL	lipoprotein lipase	1367	0.34180817008018494	0.18176316	Yes	
row_25	APLP2	APLP2	APLP2	amyloid beta (A4) precursor-like protein 2	1459	0.3272324800491333	0.18262163	Yes	
row_26	UQCR11	UQCR11	null	null	1485	0.3220510482788086	0.18814538	Yes	
row_27	CPT2	CPT2	CPT2	carnitine palmitoyltransferase II	1567	0.3106934428215027	0.18935189	Yes	
row_28	COL15A1	COL15A1	COL15A1	collagen, type XV, alpha 1	1588	0.30810976028442383	0.19492047	Yes	
row_29	ETFB	ETFB	ETFB	electron-transfer-flavoprotein, beta polypeptide	1727	0.2892347574234009	0.19150715	Yes	
row_30	IDH1	IDH1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1739	0.2874079942703247	0.19725645	Yes	
row_31	NMT1	NMT1	NMT1	N-myristoyltransferase 1	1862	0.27344951033592224	0.19464317	Yes	
row_32	RREB1	RREB1	RREB1	ras responsive element binding protein 1	1914	0.2666110396385193	0.19701979	Yes	
row_33	MRPL15	MRPL15	MRPL15	mitochondrial ribosomal protein L15	1928	0.265013188123703	0.20211405	Yes	
row_34	STAT5A	STAT5A	STAT5A	signal transducer and activator of transcription 5A	2062	0.24945063889026642	0.19815691	Yes	
