NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB10	PSMB10	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	22	0.8874456286430359	0.013934755	Yes	
row_1	HLA-DQA1	HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	35	0.83737713098526	0.02771628	Yes	
row_2	HLA-DMB	HLA-DMB	HLA-DMB	major histocompatibility complex, class II, DM beta	37	0.8318488001823425	0.04219601	Yes	
row_3	IGSF6	IGSF6	IGSF6	immunoglobulin superfamily, member 6	38	0.8294500112533569	0.05670604	Yes	
row_4	PRF1	PRF1	PRF1	perforin 1 (pore forming protein)	47	0.8111080527305603	0.07031709	Yes	
row_5	CD40	CD40	CD40	CD40 molecule, TNF receptor superfamily member 5	50	0.8038784861564636	0.08423525	Yes	
row_6	HLA-G	HLA-G	HLA-G	HLA-G histocompatibility antigen, class I, G	51	0.8037936687469482	0.09829646	Yes	
row_7	HLA-A	HLA-A	HLA-A	major histocompatibility complex, class I, A	54	0.7997906804084778	0.112143114	Yes	
row_8	TRAF2	TRAF2	TRAF2	TNF receptor-associated factor 2	63	0.7811159491539001	0.1252295	Yes	
row_9	HLA-DMA	HLA-DMA	HLA-DMA	major histocompatibility complex, class II, DM alpha	67	0.7773478031158447	0.13861127	Yes	
row_10	CCR5	CCR5	CCR5	chemokine (C-C motif) receptor 5	84	0.7538477778434753	0.15064251	Yes	
row_11	GZMB	GZMB	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	85	0.7533114552497864	0.16382061	Yes	
row_12	HLA-DOA	HLA-DOA	HLA-DOA	major histocompatibility complex, class II, DO alpha	96	0.7457305788993835	0.17614344	Yes	
row_13	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	102	0.7372415065765381	0.1886791	Yes	
row_14	GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	103	0.7368179559707642	0.20156866	Yes	
row_15	CD3E	CD3E	CD3E	CD3e molecule, epsilon (CD3-TCR complex)	107	0.7323351502418518	0.21416302	Yes	
