NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNRD1	ZNRD1	ZNRD1	zinc ribbon domain containing 1	131	0.7069284319877625	0.0120243225	No	
row_1	ADA	ADA	ADA	adenosine deaminase	366	0.5908122062683105	0.013076026	No	
row_2	HCLS1	HCLS1	HCLS1	hematopoietic cell-specific Lyn substrate 1	706	0.47782841324806213	0.0031058174	No	
row_3	BOLA2	BOLA2	BOLA2	bolA homolog 2 (E. coli)	790	0.4548490047454834	0.010935491	No	
row_4	VPS28	VPS28	VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)	800	0.453777939081192	0.02407981	No	
row_5	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	846	0.4441813826560974	0.034331057	No	
row_6	APRT	APRT	APRT	adenine phosphoribosyltransferase	848	0.4432811141014099	0.047734354	No	
row_7	BCAM	BCAM	BCAM	basal cell adhesion molecule (Lutheran blood group)	862	0.4405762255191803	0.060188312	No	
row_8	POLA1	POLA1	POLA1	polymerase (DNA directed), alpha 1	1009	0.41080349683761597	0.06212667	No	
row_9	BRF2	BRF2	BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	1378	0.34056344628334045	0.045888137	No	
row_10	MPG	MPG	MPG	N-methylpurine-DNA glycosylase	1520	0.31678757071495056	0.045329746	No	
row_11	POLD4	POLD4	POLD4	polymerase (DNA-directed), delta 4	1651	0.2977758049964905	0.044988263	No	
row_12	NUDT21	NUDT21	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	1785	0.2822970747947693	0.043959454	No	
row_13	SUPT5H	SUPT5H	SUPT5H	suppressor of Ty 5 homolog (S. cerevisiae)	1839	0.2760373055934906	0.048521113	No	
row_14	BCAP31	BCAP31	BCAP31	B-cell receptor-associated protein 31	1947	0.2625126540660858	0.048769616	No	
row_15	SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	2099	0.24497313797473907	0.0453055	No	
row_16	NME4	NME4	NME4	non-metastatic cells 4, protein expressed in	2469	0.20992586016654968	0.025023382	No	
row_17	ELL	ELL	ELL	elongation factor RNA polymerase II	2599	0.1976492553949356	0.021710353	No	
row_18	RPA3	RPA3	RPA3	replication protein A3, 14kDa	2600	0.19742409884929657	0.027711961	No	
row_19	RRM2B	RRM2B	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)	2613	0.19617494940757751	0.032808483	No	
row_20	GTF2B	GTF2B	GTF2B	general transcription factor IIB	2707	0.18814875185489655	0.031807985	No	
row_21	POLR2K	POLR2K	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	2748	0.18524287641048431	0.03454891	No	
row_22	POLR2G	POLR2G	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G	2839	0.1765126883983612	0.033411458	No	
