NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	42	0.8223224878311157	0.018022498	No	
row_1	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	202	0.6698607206344604	0.023670841	No	
row_2	PIM1	PIM1	PIM1	pim-1 oncogene	261	0.6357674598693848	0.035756823	No	
row_3	SLC6A6	SLC6A6	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	295	0.6201720833778381	0.04925298	No	
row_4	GPC4	GPC4	GPC4	glypican 4	327	0.6072767376899719	0.06256361	No	
row_5	NAGK	NAGK	NAGK	N-acetylglucosamine kinase	338	0.6027262210845947	0.07727777	No	
row_6	GALK1	GALK1	GALK1	galactokinase 1	390	0.5820947289466858	0.088495694	No	
row_7	SLC37A4	SLC37A4	SLC37A4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	464	0.5540332794189453	0.097402394	No	
row_8	PDK3	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	609	0.5065371990203857	0.099953204	No	
row_9	FBP1	FBP1	FBP1	fructose-1,6-bisphosphatase 1	624	0.5017306208610535	0.111790955	No	
row_10	SDC4	SDC4	SDC4	syndecan 4 (amphiglycan, ryudocan)	823	0.44919517636299133	0.108964235	No	
row_11	TGM2	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	1034	0.4060993194580078	0.10416505	No	
row_12	SDC3	SDC3	SDC3	syndecan 3 (N-syndecan)	1110	0.3903844952583313	0.10873533	No	
row_13	SLC2A5	SLC2A5	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	1226	0.3689747750759125	0.109861836	No	
row_14	IDS	IDS	IDS	iduronate 2-sulfatase (Hunter syndrome)	1269	0.35927826166152954	0.116024084	No	
row_15	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	1272	0.3588894009590149	0.12507178	No	
row_16	LXN	LXN	LXN	latexin	1424	0.33166950941085815	0.12263689	No	
row_17	NDST2	NDST2	NDST2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	1469	0.32629165053367615	0.12780946	No	
row_18	TPD52	TPD52	TPD52	tumor protein D52	1665	0.2962249517440796	0.12128177	No	
row_19	GAA	GAA	GAA	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)	1713	0.2905183434486389	0.12532091	No	
row_20	LARGE	LARGE	LARGE	like-glycosyltransferase	1822	0.2785927653312683	0.124639094	No	
row_21	ILVBL	ILVBL	ILVBL	ilvB (bacterial acetolactate synthase)-like	2024	0.25393572449684143	0.116593905	No	
row_22	IER3	IER3	IER3	immediate early response 3	2250	0.2288741022348404	0.10616956	No	
row_23	NR3C1	NR3C1	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2312	0.2243081033229828	0.10749941	No	
row_24	GLRX	GLRX	GLRX	glutaredoxin (thioltransferase)	2667	0.1918872445821762	0.086790025	No	
row_25	PDGFB	PDGFB	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	2680	0.1904115378856659	0.090798534	No	
row_26	PRDX5	PRDX5	PRDX5	peroxiredoxin 5	2759	0.183609738945961	0.08985541	No	
row_27	GPI	GPI	GPI	glucose phosphate isomerase	2764	0.183217391371727	0.09425873	No	
row_28	HK2	HK2	HK2	hexokinase 2	2821	0.17820757627487183	0.094769716	No	
row_29	P4HA1	P4HA1	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	2884	0.17174150049686432	0.094680764	No	
row_30	ENO1	ENO1	ENO1	enolase 1, (alpha)	3089	0.1562858521938324	0.08391726	No	
row_31	PFKL	PFKL	PFKL	phosphofructokinase, liver	3096	0.15519863367080688	0.08745815	No	
row_32	PGK1	PGK1	PGK1	phosphoglycerate kinase 1	3222	0.1453305333852768	0.08213246	No	
row_33	S100A4	S100A4	S100A4	S100 calcium binding protein A4	3301	0.13736504316329956	0.08000483	No	
row_34	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	3317	0.1358998864889145	0.08239995	No	
row_35	FAM162A	FAM162A	null	null	3358	0.1333419531583786	0.08291992	No	
row_36	UGP2	UGP2	UGP2	UDP-glucose pyrophosphorylase 2	3428	0.12807998061180115	0.08120594	No	
row_37	AK4	AK4	null	null	3546	0.11771474778652191	0.07575199	No	
row_38	PLIN2	PLIN2	null	null	3628	0.1109999269247055	0.07273191	No	
row_39	GYS1	GYS1	GYS1	glycogen synthase 1 (muscle)	3813	0.10050447285175323	0.06198734	No	
row_40	MAP3K1	MAP3K1	MAP3K1	mitogen-activated protein kinase kinase kinase 1	3860	0.09769605100154877	0.061159976	No	
row_41	HDLBP	HDLBP	HDLBP	high density lipoprotein binding protein (vigilin)	3960	0.09128712862730026	0.056332048	No	
row_42	HK1	HK1	HK1	hexokinase 1	4062	0.08448198437690735	0.051185045	No	
row_43	ALDOC	ALDOC	ALDOC	aldolase C, fructose-bisphosphate	4256	0.07164143025875092	0.039049722	No	
row_44	STC1	STC1	STC1	stanniocalcin 1	4280	0.07046210765838623	0.039189655	No	
row_45	B3GALT6	B3GALT6	B3GALT6	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	4519	0.05551152676343918	0.023383858	No	
row_46	KDM3A	KDM3A	null	null	4556	0.05367087945342064	0.0221527	No	
row_47	HEXA	HEXA	HEXA	hexosaminidase A (alpha polypeptide)	4619	0.05045544356107712	0.018957172	No	
row_48	HSPA5	HSPA5	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	4631	0.04971596226096153	0.019434342	No	
row_49	NDST1	NDST1	NDST1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	4681	0.04708582162857056	0.017093513	No	
row_50	GAPDH	GAPDH	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	4738	0.04385853186249733	0.014163325	No	
row_51	KLF7	KLF7	KLF7	Kruppel-like factor 7 (ubiquitous)	4796	0.04061827063560486	0.011077756	No	
row_52	RBPJ	RBPJ	null	null	4911	0.033507589250802994	0.0036841072	No	
