NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	5	1.0355387926101685	0.04876173	Yes	
row_1	TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	185	0.6782954335212708	0.0680685	Yes	
row_2	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	243	0.6430257558822632	0.0944729	Yes	
row_3	PIM1	PIM1	PIM1	pim-1 oncogene	261	0.6357674598693848	0.12340863	Yes	
row_4	IRF1	IRF1	IRF1	interferon regulatory factor 1	324	0.6082785129547119	0.14780533	Yes	
row_5	TNFRSF1B	TNFRSF1B	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	359	0.5925886034965515	0.17347072	Yes	
row_6	CCR1	CCR1	CCR1	chemokine (C-C motif) receptor 1	422	0.5683457851409912	0.19597319	Yes	
row_7	CD38	CD38	CD38	CD38 molecule	443	0.5592842102050781	0.22106524	Yes	
row_8	CXCL9	CXCL9	CXCL9	chemokine (C-X-C motif) ligand 9	444	0.5592765808105469	0.24759474	Yes	
row_9	IL17RA	IL17RA	IL17RA	interleukin 17 receptor A	494	0.545319139957428	0.2699395	Yes	
row_10	IL15RA	IL15RA	IL15RA	interleukin 15 receptor, alpha	519	0.5366884469985962	0.29367217	Yes	
row_11	CSF2RB	CSF2RB	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	520	0.5363658666610718	0.3191149	Yes	
row_12	PIK3R5	PIK3R5	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5, p101	533	0.5323857069015503	0.34350613	Yes	
row_13	IL3RA	IL3RA	IL3RA	interleukin 3 receptor, alpha (low affinity)	535	0.5317360162734985	0.36865732	Yes	
row_14	STAT1	STAT1	STAT1	signal transducer and activator of transcription 1, 91kDa	540	0.5282178521156311	0.39342597	Yes	
row_15	ITGB3	ITGB3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	626	0.5009199976921082	0.4110766	Yes	
row_16	STAT3	STAT3	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	640	0.49642443656921387	0.4336901	Yes	
row_17	CSF3R	CSF3R	CSF3R	colony stimulating factor 3 receptor (granulocyte)	644	0.4954788088798523	0.45697767	Yes	
row_18	CSF1	CSF1	CSF1	colony stimulating factor 1 (macrophage)	661	0.4902417063713074	0.47908223	Yes	
row_19	CD14	CD14	CD14	CD14 molecule	720	0.47248750925064087	0.49732518	Yes	
row_20	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	771	0.45797428488731384	0.5154548	Yes	
row_21	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	841	0.4456799328327179	0.5316354	Yes	
row_22	A2M	A2M	A2M	alpha-2-macroglobulin	1023	0.40839293599128723	0.53799546	Yes	
row_23	IL10RB	IL10RB	IL10RB	interleukin 10 receptor, beta	1058	0.4018264412879944	0.5546119	Yes	
row_24	ACVR1B	ACVR1B	ACVR1B	activin A receptor, type IB	1171	0.3776760697364807	0.5644754	Yes	
row_25	SOCS1	SOCS1	SOCS1	suppressor of cytokine signaling 1	1305	0.35357585549354553	0.5716859	Yes	
row_26	ACVRL1	ACVRL1	ACVRL1	activin A receptor type II-like 1	1348	0.34526076912879944	0.5850441	Yes	
row_27	EBI3	EBI3	EBI3	Epstein-Barr virus induced gene 3	1351	0.34422004222869873	0.60122854	Yes	
row_28	MYD88	MYD88	MYD88	myeloid differentiation primary response gene (88)	1560	0.3113192021846771	0.6010428	Yes	
row_29	GRB2	GRB2	GRB2	growth factor receptor-bound protein 2	1666	0.29613468050956726	0.60754156	Yes	
row_30	CXCL13	CXCL13	CXCL13	chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	1859	0.2739356458187103	0.6067328	No	
row_31	CSF2RA	CSF2RA	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	2353	0.22091248631477356	0.5817697	No	
