NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	41	0.8255655169487	0.029511888	Yes	
row_1	GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	103	0.7368179559707642	0.05409395	Yes	
row_2	CD74	CD74	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	125	0.7111964821815491	0.08054847	Yes	
row_3	CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	139	0.7012380361557007	0.1071874	Yes	
row_4	BATF2	BATF2	BATF2	basic leucine zipper transcription factor, ATF-like 2	142	0.6980450749397278	0.13449275	Yes	
row_5	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	186	0.6774830222129822	0.15803756	Yes	
row_6	GBP4	GBP4	GBP4	guanylate binding protein 4	250	0.6393494009971619	0.17864285	Yes	
row_7	IRF1	IRF1	IRF1	interferon regulatory factor 1	324	0.6082785129547119	0.19730635	Yes	
row_8	LAP3	LAP3	LAP3	leucine aminopeptidase 3	383	0.5849112868309021	0.21613096	Yes	
row_9	TRIM26	TRIM26	TRIM26	tripartite motif-containing 26	418	0.5695860981941223	0.23608091	Yes	
row_10	TRAFD1	TRAFD1	TRAFD1	TRAF-type zinc finger domain containing 1	537	0.5300142168998718	0.24842682	Yes	
row_11	PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	551	0.5254076719284058	0.26815152	Yes	
row_12	PSMB8	PSMB8	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	612	0.5045185685157776	0.28367084	Yes	
row_13	CSF1	CSF1	CSF1	colony stimulating factor 1 (macrophage)	661	0.4902417063713074	0.29949275	Yes	
row_14	B2M	B2M	B2M	beta-2-microglobulin	662	0.4900320768356323	0.31876236	Yes	
row_15	WARS	WARS	WARS	tryptophanyl-tRNA synthetase	664	0.48991286754608154	0.3379553	Yes	
row_16	UBE2L6	UBE2L6	UBE2L6	ubiquitin-conjugating enzyme E2L 6	688	0.4841531217098236	0.35533774	Yes	
row_17	HLA-C	HLA-C	HLA-C	major histocompatibility complex, class I, C	695	0.48241662979125977	0.37387592	Yes	
row_18	TRIM21	TRIM21	TRIM21	tripartite motif-containing 21	697	0.4814797341823578	0.39273724	Yes	
row_19	IFI35	IFI35	IFI35	interferon-induced protein 35	719	0.47278910875320435	0.40981683	Yes	
row_20	PARP14	PARP14	PARP14	poly (ADP-ribose) polymerase family, member 14	795	0.45420071482658386	0.42227748	Yes	
row_21	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	841	0.4456799328327179	0.43656307	Yes	
row_22	IRF2	IRF2	IRF2	interferon regulatory factor 2	865	0.4390362501144409	0.4521714	Yes	
row_23	IFI27	IFI27	IFI27	interferon, alpha-inducible protein 27	895	0.43248555064201355	0.4670901	Yes	
