NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	41	0.8255655169487	0.013791565	No	
row_1	LGMN	LGMN	LGMN	legumain	165	0.6875094175338745	0.018828146	No	
row_2	FGL2	FGL2	FGL2	fibrinogen-like 2	174	0.6831082701683044	0.032121375	No	
row_3	ITGB2	ITGB2	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	245	0.6420380473136902	0.040080875	No	
row_4	SLC6A6	SLC6A6	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	295	0.6201720833778381	0.049120337	No	
row_5	LTA4H	LTA4H	LTA4H	leukotriene A4 hydrolase	319	0.6089195013046265	0.05981819	No	
row_6	SCD	SCD	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	332	0.6048407554626465	0.07123152	No	
row_7	CORO1A	CORO1A	CORO1A	coronin, actin binding protein, 1A	429	0.5659886002540588	0.07575954	No	
row_8	SLC37A4	SLC37A4	SLC37A4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	464	0.5540332794189453	0.084544346	No	
row_9	PRDX1	PRDX1	PRDX1	peroxiredoxin 1	496	0.5448904633522034	0.093361184	No	
row_10	SLA	SLA	SLA	Src-like-adaptor	503	0.5421434044837952	0.10393659	No	
row_11	CTSC	CTSC	CTSC	cathepsin C	578	0.5178918242454529	0.1090844	No	
row_12	WARS	WARS	WARS	tryptophanyl-tRNA synthetase	664	0.48991286754608154	0.11286565	No	
row_13	SQSTM1	SQSTM1	SQSTM1	sequestosome 1	814	0.450751930475235	0.11120679	No	
row_14	CANX	CANX	CANX	calnexin	939	0.42625975608825684	0.110864855	No	
row_15	DHFR	DHFR	DHFR	dihydrofolate reductase	999	0.4131491780281067	0.11497398	No	
row_16	COPS5	COPS5	COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	1020	0.40895745158195496	0.121828355	No	
row_17	NUPR1	NUPR1	NUPR1	-	1025	0.40766867995262146	0.12981774	No	
row_18	CFP	CFP	CFP	complement factor properdin	1035	0.4059625267982483	0.13740961	No	
row_19	SKAP2	SKAP2	SKAP2	src kinase associated phosphoprotein 2	1116	0.3884192705154419	0.1394924	No	
row_20	ME1	ME1	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	1144	0.38364699482917786	0.14532472	No	
row_21	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	1272	0.3588894009590149	0.14339678	No	
row_22	STARD4	STARD4	STARD4	START domain containing 4, sterol regulated	1349	0.34519311785697937	0.14489196	No	
row_23	FKBP2	FKBP2	FKBP2	FK506 binding protein 2, 13kDa	1392	0.3383736312389374	0.14871617	No	
row_24	GLA	GLA	GLA	galactosidase, alpha	1501	0.32047808170318604	0.14738701	No	
row_25	ELOVL5	ELOVL5	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	1507	0.31903523206710815	0.15350369	No	
row_26	CCNG1	CCNG1	CCNG1	cyclin G1	1575	0.3096412718296051	0.15492998	No	
row_27	IDH1	IDH1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1739	0.2874079942703247	0.1489376	No	
row_28	DDX39A	DDX39A	null	null	1775	0.283648282289505	0.15215836	No	
row_29	NMT1	NMT1	NMT1	N-myristoyltransferase 1	1862	0.27344951033592224	0.15147069	No	
row_30	GSR	GSR	GSR	glutathione reductase	1865	0.2732505202293396	0.15687522	No	
row_31	GCLC	GCLC	GCLC	glutamate-cysteine ligase, catalytic subunit	2105	0.24428217113018036	0.14449131	No	
row_32	ACLY	ACLY	ACLY	ATP citrate lyase	2158	0.23868119716644287	0.14556503	No	
row_33	ATP2A2	ATP2A2	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	2286	0.22626367211341858	0.1409435	No	
row_34	TXNRD1	TXNRD1	TXNRD1	thioredoxin reductase 1	2358	0.22039328515529633	0.14026688	No	
row_35	USO1	USO1	null	null	2393	0.21655680239200592	0.1421976	No	
row_36	CALR	CALR	CALR	calreticulin	2572	0.2003030776977539	0.13334751	No	
row_37	RAB1A	RAB1A	RAB1A	RAB1A, member RAS oncogene family	2578	0.19968286156654358	0.13704017	No	
row_38	PSMA3	PSMA3	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	2598	0.19769661128520966	0.13967644	No	
row_39	BCAT1	BCAT1	BCAT1	branched chain aminotransferase 1, cytosolic	2658	0.19267089664936066	0.13930768	No	
row_40	GLRX	GLRX	GLRX	glutaredoxin (thioltransferase)	2667	0.1918872445821762	0.14262429	No	
row_41	SORD	SORD	SORD	sorbitol dehydrogenase	2728	0.18639661371707916	0.14205553	No	
row_42	GPI	GPI	GPI	glucose phosphate isomerase	2764	0.183217391371727	0.14323653	No	
row_43	HK2	HK2	HK2	hexokinase 2	2821	0.17820757627487183	0.14279175	No	
row_44	TBK1	TBK1	TBK1	TANK-binding kinase 1	2847	0.17567208409309387	0.14454527	No	
row_45	P4HA1	P4HA1	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	2884	0.17174150049686432	0.14542064	No	
row_46	MLLT11	MLLT11	MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	2965	0.16536402702331543	0.14297323	No	
row_47	RPN1	RPN1	RPN1	ribophorin I	3026	0.1608092039823532	0.14188477	No	
row_48	ACTR3	ACTR3	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	3036	0.16019506752490997	0.14448515	No	
row_49	ENO1	ENO1	ENO1	enolase 1, (alpha)	3089	0.1562858521938324	0.14388543	No	
row_50	PFKL	PFKL	PFKL	phosphofructokinase, liver	3096	0.15519863367080688	0.14660205	No	
row_51	ACSL3	ACSL3	ACSL3	acyl-CoA synthetase long-chain family member 3	3159	0.15045566856861115	0.14515817	No	
row_52	NFYC	NFYC	NFYC	nuclear transcription factor Y, gamma	3160	0.1504306197166443	0.1482134	No	
row_53	PGK1	PGK1	PGK1	phosphoglycerate kinase 1	3222	0.1453305333852768	0.14673801	No	
row_54	SLC1A5	SLC1A5	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	3297	0.1375599205493927	0.14416134	No	
row_55	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	3317	0.1358998864889145	0.14554253	No	
row_56	EDEM1	EDEM1	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	3441	0.12719009816646576	0.13919912	No	
row_57	PSMC4	PSMC4	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	3472	0.12408711016178131	0.13954209	No	
row_58	CCNF	CCNF	CCNF	cyclin F	3475	0.12356182932853699	0.14190646	No	
row_59	AK4	AK4	null	null	3546	0.11771474778652191	0.13921703	No	
row_60	GGA2	GGA2	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	3677	0.10798157751560211	0.13197547	No	
row_61	RRM2	RRM2	RRM2	ribonucleotide reductase M2 polypeptide	3866	0.09738939255475998	0.12030949	No	
row_62	HPRT1	HPRT1	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	3874	0.09684637933969498	0.1217684	No	
row_63	RIT1	RIT1	RIT1	Ras-like without CAAX 1	3915	0.09358163177967072	0.120766066	No	
row_64	ACTR2	ACTR2	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	4012	0.0878908783197403	0.115583986	No	
row_65	HSP90B1	HSP90B1	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	4087	0.08337482810020447	0.11190683	No	
row_66	TUBG1	TUBG1	TUBG1	tubulin, gamma 1	4179	0.07624758034944534	0.10685115	No	
row_67	STC1	STC1	STC1	stanniocalcin 1	4280	0.07046210765838623	0.10102481	No	
row_68	GSK3B	GSK3B	GSK3B	glycogen synthase kinase 3 beta	4361	0.06522968411445618	0.09654368	No	
row_69	UCHL5	UCHL5	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	4559	0.053527701646089554	0.08333369	No	
row_70	SQLE	SQLE	SQLE	squalene epoxidase	4612	0.050988711416721344	0.08059541	No	
row_71	HSPA5	HSPA5	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	4631	0.04971596226096153	0.0802988	No	
row_72	GAPDH	GAPDH	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	4738	0.04385853186249733	0.07349669	No	
row_73	M6PR	M6PR	M6PR	mannose-6-phosphate receptor (cation dependent)	4804	0.0402655154466629	0.069597155	No	
row_74	G6PD	G6PD	G6PD	glucose-6-phosphate dehydrogenase	4921	0.03259918466210365	0.06184063	No	
row_75	EGLN3	EGLN3	EGLN3	egl nine homolog 3 (C. elegans)	4946	0.03128868341445923	0.060734317	No	
row_76	NFKBIB	NFKBIB	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	5116	0.021351534873247147	0.04890292	No	
row_77	FADS1	FADS1	FADS1	fatty acid desaturase 1	5148	0.019241206347942352	0.04704391	No	
row_78	ATP5G1	ATP5G1	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	5343	0.008944667875766754	0.033146176	No	
row_79	SERP1	SERP1	SERP1	-	5359	0.008021870627999306	0.032220487	No	
row_80	CD9	CD9	CD9	CD9 molecule	5428	0.0033536027185618877	0.027353551	No	
row_81	DDIT3	DDIT3	DDIT3	DNA-damage-inducible transcript 3	5444	0.002413130598142743	0.02631395	No	
row_82	ARPC5L	ARPC5L	ARPC5L	actin related protein 2/3 complex, subunit 5-like	5488	-9.8802347201854E-4	0.023213325	No	
row_83	MCM4	MCM4	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	5594	-0.007088797632604837	0.015737005	No	
row_84	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	5597	-0.007246181834489107	0.015739026	No	
row_85	UBE2D3	UBE2D3	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	5626	-0.008284728974103928	0.01387521	No	
row_86	PHGDH	PHGDH	PHGDH	phosphoglycerate dehydrogenase	5663	-0.009488150477409363	0.011455241	No	
row_87	MAP2K3	MAP2K3	MAP2K3	mitogen-activated protein kinase kinase 3	5799	-0.01765592209994793	0.002016312	No	
row_88	CACYBP	CACYBP	CACYBP	calcyclin binding protein	5810	-0.01840388961136341	0.0016643499	No	
row_89	PSMC2	PSMC2	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	5813	-0.018563175573945045	0.0018962168	No	
row_90	TPI1	TPI1	TPI1	triosephosphate isomerase 1	5815	-0.018650641664862633	0.0022024342	No	
row_91	TUBA4A	TUBA4A	null	null	5825	-0.019030150026082993	0.0019357657	No	
row_92	ACACA	ACACA	ACACA	acetyl-Coenzyme A carboxylase alpha	5940	-0.025027159601449966	-0.005829396	No	
row_93	ELOVL6	ELOVL6	ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	5960	-0.02600264549255371	-0.006680196	No	
row_94	ERO1L	ERO1L	ERO1L	ERO1-like (S. cerevisiae)	6030	-0.028992826119065285	-0.011098977	No	
row_95	TCEA1	TCEA1	TCEA1	transcription elongation factor A (SII), 1	6066	-0.03137565776705742	-0.01300184	No	
row_96	CXCR4	CXCR4	CXCR4	chemokine (C-X-C motif) receptor 4	6348	-0.04494563117623329	-0.032482352	No	
row_97	FADS2	FADS2	FADS2	fatty acid desaturase 2	6355	-0.04549529775977135	-0.031993795	No	
row_98	LDHA	LDHA	LDHA	lactate dehydrogenase A	6356	-0.04553483426570892	-0.03106899	No	
row_99	TMEM97	TMEM97	TMEM97	transmembrane protein 97	6386	-0.04697408154606819	-0.032219607	No	
row_100	PPA1	PPA1	PPA1	pyrophosphatase (inorganic) 1	6502	-0.05453511327505112	-0.03945804	No	
row_101	QDPR	QDPR	QDPR	quinoid dihydropteridine reductase	6517	-0.055551495403051376	-0.039345838	No	
row_102	SLC2A3	SLC2A3	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	6518	-0.055552300065755844	-0.038217578	No	
row_103	RRP9	RRP9	null	null	6736	-0.0674535259604454	-0.05259621	No	
row_104	SLC1A4	SLC1A4	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	6793	-0.07031182199716568	-0.055232342	No	
row_105	HMGCR	HMGCR	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	6857	-0.07386498153209686	-0.058304332	No	
row_106	HMBS	HMBS	HMBS	hydroxymethylbilane synthase	6991	-0.08099749684333801	-0.06631166	No	
