NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA1	ABCA1	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	86	0.7525791525840759	0.0284229	Yes	
row_1	ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	505	0.5416946411132812	0.02323498	Yes	
row_2	CTSC	CTSC	CTSC	cathepsin C	578	0.5178918242454529	0.04187117	Yes	
row_3	RPS6KA3	RPS6KA3	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	742	0.46684572100639343	0.05160554	Yes	
row_4	RAB9A	RAB9A	null	null	826	0.44871506094932556	0.066267565	Yes	
row_5	COPE	COPE	COPE	coatomer protein complex, subunit epsilon	960	0.42010995745658875	0.07601282	Yes	
row_6	AP1G1	AP1G1	AP1G1	adaptor-related protein complex 1, gamma 1 subunit	1001	0.4129233956336975	0.09212539	Yes	
row_7	SOD1	SOD1	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	1012	0.4103841483592987	0.110281765	Yes	
row_8	ADAM10	ADAM10	ADAM10	ADAM metallopeptidase domain 10	1286	0.3569103479385376	0.10703719	Yes	
row_9	STX12	STX12	STX12	syntaxin 12	1434	0.33050957322120667	0.11165278	Yes	
row_10	AP3B1	AP3B1	AP3B1	adaptor-related protein complex 3, beta 1 subunit	1496	0.3212144672870636	0.12203456	Yes	
row_11	GLA	GLA	GLA	galactosidase, alpha	1501	0.32047808170318604	0.13648762	Yes	
row_12	RAB14	RAB14	RAB14	RAB14, member RAS oncogene family	1545	0.31349924206733704	0.14781088	Yes	
row_13	PPT1	PPT1	PPT1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	1548	0.31305351853370667	0.16206646	Yes	
row_14	ARFGEF1	ARFGEF1	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	1583	0.30855777859687805	0.17381062	Yes	
row_15	TPD52	TPD52	TPD52	tumor protein D52	1665	0.2962249517440796	0.18160254	Yes	
row_16	NAPA	NAPA	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	1754	0.2859322428703308	0.18841688	Yes	
row_17	ARF1	ARF1	ARF1	ADP-ribosylation factor 1	2060	0.2495141625404358	0.17792772	Yes	
row_18	AP2S1	AP2S1	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	2109	0.24382372200489044	0.18568599	Yes	
row_19	KIF1B	KIF1B	KIF1B	kinesin family member 1B	2174	0.23709255456924438	0.19198233	Yes	
row_20	GOSR2	GOSR2	GOSR2	golgi SNAP receptor complex member 2	2203	0.23412641882896423	0.20073496	Yes	
row_21	ATP1A1	ATP1A1	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	2237	0.22979241609573364	0.20892812	Yes	
row_22	SCRN1	SCRN1	SCRN1	secernin 1	2297	0.22511059045791626	0.21503343	Yes	
row_23	COG2	COG2	COG2	component of oligomeric golgi complex 2	2355	0.2206002026796341	0.2210753	Yes	
row_24	USO1	USO1	null	null	2393	0.21655680239200592	0.22837159	Yes	
row_25	RAB2A	RAB2A	null	null	2451	0.21124178171157837	0.233983	Yes	
row_26	SCAMP3	SCAMP3	SCAMP3	secretory carrier membrane protein 3	2485	0.20818421244621277	0.24118225	Yes	
row_27	SNAP23	SNAP23	SNAP23	synaptosomal-associated protein, 23kDa	2744	0.18545159697532654	0.23113133	No	
row_28	RER1	RER1	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	2768	0.1828201860189438	0.2378841	No	
row_29	AP2B1	AP2B1	AP2B1	adaptor-related protein complex 2, beta 1 subunit	2941	0.1670389324426651	0.23317997	No	
row_30	SCAMP1	SCAMP1	SCAMP1	secretory carrier membrane protein 1	3195	0.14775921404361725	0.2217554	No	
row_31	VAMP7	VAMP7	null	null	3730	0.10526915639638901	0.18813874	No	
row_32	IGF2R	IGF2R	IGF2R	insulin-like growth factor 2 receptor	3979	0.09003701061010361	0.1744192	No	
row_33	SEC24D	SEC24D	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	4225	0.07359176874160767	0.16015929	No	
row_34	VAMP4	VAMP4	VAMP4	vesicle-associated membrane protein 4	4346	0.06672779470682144	0.15458617	No	
row_35	M6PR	M6PR	M6PR	mannose-6-phosphate receptor (cation dependent)	4804	0.0402655154466629	0.12352506	No	
row_36	CLTC	CLTC	CLTC	clathrin, heavy chain (Hc)	5001	0.02830980159342289	0.110711284	No	
row_37	COPB2	COPB2	COPB2	coatomer protein complex, subunit beta 2 (beta prime)	5019	0.02714904025197029	0.11073572	No	
row_38	ARCN1	ARCN1	ARCN1	archain 1	5121	0.020864566788077354	0.1044214	No	
row_39	LMAN1	LMAN1	LMAN1	lectin, mannose-binding, 1	5339	0.009036747738718987	0.08920869	No	
row_40	DOPEY1	DOPEY1	DOPEY1	dopey family member 1	5615	-0.007890832610428333	0.069766104	No	
row_41	ANP32E	ANP32E	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	5709	-0.011903170496225357	0.06361574	No	
