NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	44	0.8192944526672363	0.012560733	Yes	
row_1	TNFAIP2	TNFAIP2	TNFAIP2	tumor necrosis factor, alpha-induced protein 2	75	0.7640988230705261	0.025074942	Yes	
row_2	ABCA1	ABCA1	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	86	0.7525791525840759	0.03881699	Yes	
row_3	CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	139	0.7012380361557007	0.048528634	Yes	
row_4	CCL4	CCL4	CCL4	chemokine (C-C motif) ligand 4	148	0.6955007314682007	0.0613184	Yes	
row_5	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	186	0.6774830222129822	0.07166037	Yes	
row_6	IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	212	0.66066974401474	0.0825487	Yes	
row_7	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	215	0.6570410132408142	0.09503394	Yes	
row_8	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	246	0.6404169797897339	0.10517064	Yes	
row_9	KYNU	KYNU	KYNU	kynureninase (L-kynurenine hydrolase)	274	0.6283565163612366	0.11529289	Yes	
row_10	PLEK	PLEK	PLEK	pleckstrin	321	0.6086018681526184	0.1236586	Yes	
row_11	IRF1	IRF1	IRF1	interferon regulatory factor 1	324	0.6082785129547119	0.13520649	Yes	
row_12	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	356	0.5938213467597961	0.14437503	Yes	
row_13	TUBB2A	TUBB2A	TUBB2A	tubulin, beta 2A	456	0.55697101354599	0.14790766	Yes	
row_14	DUSP2	DUSP2	DUSP2	dual specificity phosphatase 2	481	0.5497387647628784	0.15673605	Yes	
row_15	TNFAIP8	TNFAIP8	TNFAIP8	tumor necrosis factor, alpha-induced protein 8	512	0.538773775100708	0.16491888	Yes	
row_16	IL15RA	IL15RA	IL15RA	interleukin 15 receptor, alpha	519	0.5366884469985962	0.17480075	Yes	
row_17	EGR2	EGR2	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)	530	0.5334024429321289	0.18432961	Yes	
row_18	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	601	0.5085266828536987	0.18903245	Yes	
row_19	NFAT5	NFAT5	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	658	0.4904651343822479	0.1944026	Yes	
row_20	CSF1	CSF1	CSF1	colony stimulating factor 1 (macrophage)	661	0.4902417063713074	0.2036815	Yes	
row_21	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	709	0.47617098689079285	0.20942904	Yes	
row_22	NFKB2	NFKB2	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	803	0.4523792564868927	0.2113859	Yes	
row_23	SQSTM1	SQSTM1	SQSTM1	sequestosome 1	814	0.450751930475235	0.21932599	Yes	
row_24	SDC4	SDC4	SDC4	syndecan 4 (amphiglycan, ryudocan)	823	0.44919517636299133	0.22738107	Yes	
row_25	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	841	0.4456799328327179	0.2347164	Yes	
row_26	DRAM1	DRAM1	null	null	881	0.43529313802719116	0.24025787	Yes	
row_27	CFLAR	CFLAR	CFLAR	CASP8 and FADD-like apoptosis regulator	915	0.429473340511322	0.24612226	Yes	
row_28	RNF19B	RNF19B	null	null	977	0.4160648584365845	0.24969989	Yes	
row_29	TNIP1	TNIP1	TNIP1	TNFAIP3 interacting protein 1	1018	0.4094522297382355	0.25467217	Yes	
row_30	PLAU	PLAU	PLAU	plasminogen activator, urokinase	1174	0.37741801142692566	0.25069532	Yes	
row_31	TRIB1	TRIB1	TRIB1	tribbles homolog 1 (Drosophila)	1254	0.36385616660118103	0.25196502	Yes	
row_32	BIRC3	BIRC3	BIRC3	baculoviral IAP repeat-containing 3	1258	0.361133337020874	0.2586896	Yes	
row_33	SLC2A6	SLC2A6	SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6	1274	0.35877594351768494	0.26449934	Yes	
row_34	LITAF	LITAF	LITAF	lipopolysaccharide-induced TNF factor	1372	0.34146854281425476	0.26403433	Yes	
row_35	LAMB3	LAMB3	LAMB3	laminin, beta 3	1402	0.3360704183578491	0.2683931	Yes	
row_36	NINJ1	NINJ1	NINJ1	ninjurin 1	1587	0.3081667423248291	0.26098362	No	
row_37	PTPRE	PTPRE	PTPRE	protein tyrosine phosphatase, receptor type, E	1640	0.2995825409889221	0.2629743	No	
row_38	RELB	RELB	RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	1689	0.2929154336452484	0.2651267	No	
row_39	ZBTB10	ZBTB10	ZBTB10	zinc finger and BTB domain containing 10	1731	0.2886689305305481	0.26770473	No	
row_40	IER5	IER5	IER5	immediate early response 5	1957	0.26131027936935425	0.25642347	No	
row_41	STAT5A	STAT5A	STAT5A	signal transducer and activator of transcription 5A	2062	0.24945063889026642	0.2536824	No	
row_42	REL	REL	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2066	0.2491704672574997	0.25825477	No	
row_43	RIPK2	RIPK2	RIPK2	receptor-interacting serine-threonine kinase 2	2087	0.2462911605834961	0.26153988	No	
row_44	NFKB1	NFKB1	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	2185	0.23575527966022491	0.25904277	No	
row_45	IER3	IER3	IER3	immediate early response 3	2250	0.2288741022348404	0.2588047	No	
row_46	ICOSLG	ICOSLG	ICOSLG	inducible T-cell co-stimulator ligand	2342	0.2217225283384323	0.25647262	No	
row_47	CCL2	CCL2	CCL2	chemokine (C-C motif) ligand 2	2545	0.20281748473644257	0.24573368	No	
row_48	TLR2	TLR2	TLR2	toll-like receptor 2	2611	0.1963927000761032	0.24479875	No	
row_49	PLK2	PLK2	PLK2	polo-like kinase 2 (Drosophila)	2988	0.1634598970413208	0.22069453	No	
row_50	IFIH1	IFIH1	IFIH1	interferon induced with helicase C domain 1	3069	0.1574677973985672	0.2179244	No	
row_51	B4GALT1	B4GALT1	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	3094	0.15539862215518951	0.21917246	No	
row_52	CD44	CD44	CD44	CD44 molecule (Indian blood group)	3106	0.15448732674121857	0.22134505	No	
