NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBB2A	TUBB2A	TUBB2A	tubulin, beta 2A	456	0.55697101354599	-0.008296009	No	
row_1	CHAC1	CHAC1	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	855	0.44165346026420593	-0.0175	No	
row_2	ATP6V0D1	ATP6V0D1	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	896	0.4322573244571686	-0.0013039226	No	
row_3	DCP2	DCP2	DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)	1039	0.40548452734947205	0.0063553057	No	
row_4	EXOSC5	EXOSC5	EXOSC5	exosome component 5	1197	0.3736693561077118	0.011528544	No	
row_5	DCP1A	DCP1A	DCP1A	DCP1 decapping enzyme homolog A (S. cerevisiae)	1572	0.30989933013916016	-0.0017606464	No	
row_6	EXOSC4	EXOSC4	EXOSC4	exosome component 4	1602	0.30654096603393555	0.009679335	No	
row_7	EIF4EBP1	EIF4EBP1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	1805	0.280547559261322	0.007497173	No	
row_8	NHP2	NHP2	null	null	2107	0.24414090812206268	-0.003430765	No	
row_9	GOSR2	GOSR2	GOSR2	golgi SNAP receptor complex member 2	2203	0.23412641882896423	5.358507E-5	No	
row_10	YWHAZ	YWHAZ	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	2407	0.21511362493038177	-0.005089028	No	
row_11	FKBP14	FKBP14	FKBP14	FK506 binding protein 14, 22 kDa	2484	0.2083897888660431	-0.0013706668	No	
row_12	CCL2	CCL2	CCL2	chemokine (C-C motif) ligand 2	2545	0.20281748473644257	0.0032554606	No	
row_13	CALR	CALR	CALR	calreticulin	2572	0.2003030776977539	0.010222286	No	
row_14	PREB	PREB	PREB	prolactin regulatory element binding	2767	0.1829071342945099	0.004307011	No	
row_15	ZBTB17	ZBTB17	ZBTB17	zinc finger and BTB domain containing 17	2920	0.16856728494167328	7.873117E-4	No	
row_16	CNOT6	CNOT6	CNOT6	CCR4-NOT transcription complex, subunit 6	2943	0.16688357293605804	0.0065673892	No	
row_17	NFYA	NFYA	NFYA	nuclear transcription factor Y, alpha	3145	0.15167078375816345	-0.0012314582	No	
row_18	EXOSC1	EXOSC1	EXOSC1	exosome component 1	3344	0.13429473340511322	-0.009580983	No	
row_19	EDEM1	EDEM1	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	3441	0.12719009816646576	-0.010889053	No	
row_20	KHSRP	KHSRP	KHSRP	KH-type splicing regulatory protein (FUSE binding protein 2)	4002	0.08868715167045593	-0.047355015	No	
row_21	BAG3	BAG3	BAG3	BCL2-associated athanogene 3	4058	0.08471496403217316	-0.04758155	No	
row_22	HSP90B1	HSP90B1	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	4087	0.08337482810020447	-0.04592031	No	
row_23	TTC37	TTC37	null	null	4237	0.07308266311883926	-0.053438503	No	
