NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	5	1.0355387926101685	0.030545937	Yes	
row_1	HLA-F	HLA-F	HLA-F	major histocompatibility complex, class I, F	13	0.93995201587677	0.05809455	Yes	
row_2	MGAT1	MGAT1	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	23	0.8858076333999634	0.08388274	Yes	
row_3	CREG1	CREG1	CREG1	cellular repressor of E1A-stimulated genes 1	52	0.8009937405586243	0.105767615	Yes	
row_4	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	186	0.6774830222129822	0.11638437	Yes	
row_5	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	215	0.6570410132408142	0.1339728	Yes	
row_6	IRF1	IRF1	IRF1	interferon regulatory factor 1	324	0.6082785129547119	0.14432925	Yes	
row_7	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	341	0.6011450886726379	0.16111587	Yes	
row_8	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	356	0.5938213467597961	0.17782831	Yes	
row_9	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	601	0.5085266828536987	0.17538734	Yes	
row_10	SULT1A1	SULT1A1	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	767	0.4586593508720398	0.1771624	Yes	
row_11	SQSTM1	SQSTM1	SQSTM1	sequestosome 1	814	0.450751930475235	0.18729413	Yes	
row_12	ARRB2	ARRB2	ARRB2	arrestin, beta 2	845	0.44480812549591064	0.19840376	Yes	
row_13	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	973	0.41716593503952026	0.20168428	Yes	
row_14	GRINA	GRINA	GRINA	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	978	0.41588184237480164	0.21380797	Yes	
row_15	EIF2S3	EIF2S3	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	1185	0.37515226006507874	0.21013014	Yes	
row_16	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	1272	0.3588894009590149	0.21463183	Yes	
row_17	NPTXR	NPTXR	NPTXR	neuronal pentraxin receptor	1389	0.3384675979614258	0.21635777	Yes	
row_18	GGH	GGH	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	1390	0.3384336829185486	0.22645874	Yes	
row_19	STARD3	STARD3	STARD3	START domain containing 3	1476	0.32384011149406433	0.22998653	Yes	
