NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	171	0.65733343	3.4295802	0.0	0.0	0.0	1586	tags=50%, list=11%, signal=56%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	137	0.6574093	3.3168428	0.0	0.0	0.0	1416	tags=52%, list=10%, signal=57%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	86	0.64112884	2.997854	0.0	0.0	0.0	3152	tags=66%, list=23%, signal=85%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	65	0.60754156	2.6854966	0.0	0.0	0.0	1666	tags=46%, list=12%, signal=52%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	141	0.49975604	2.4865155	0.0	0.0	0.0	1240	tags=33%, list=9%, signal=35%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.4794252	2.4213293	0.0	0.0	0.0	1640	tags=38%, list=12%, signal=43%	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	Details ...	44	0.5185783	2.116025	0.0	2.1428573E-4	0.001	2358	tags=45%, list=17%, signal=55%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	158	0.33877814	1.7745807	0.0	0.0069977106	0.026	1655	tags=27%, list=12%, signal=30%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	141	0.30452207	1.5333769	0.0	0.033100095	0.133	1258	tags=21%, list=9%, signal=23%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	142	0.30605292	1.5289487	0.004237288	0.030270854	0.135	1585	tags=20%, list=11%, signal=23%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	54	0.35546863	1.5178674	0.016286645	0.029920384	0.145	2119	tags=28%, list=15%, signal=33%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	84	0.3216554	1.4794366	0.007936508	0.035449665	0.185	1600	tags=26%, list=11%, signal=29%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	175	0.2683931	1.3803165	0.015151516	0.07509364	0.378	1402	tags=21%, list=10%, signal=23%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	132	0.2682137	1.3611518	0.01980198	0.08089304	0.414	1865	tags=20%, list=13%, signal=23%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	86	0.25839928	1.2146852	0.11627907	0.23876406	0.813	2596	tags=26%, list=19%, signal=31%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	126	0.2473358	1.2123306	0.093333334	0.2288103	0.822	1619	tags=18%, list=12%, signal=20%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	170	0.22948675	1.1875598	0.078341015	0.25528148	0.875	1661	tags=19%, list=12%, signal=22%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	177	0.22430192	1.1856277	0.06315789	0.24514739	0.879	3297	tags=35%, list=24%, signal=45%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	0.24118225	1.1320271	0.2074074	0.32705915	0.955	2485	tags=30%, list=18%, signal=36%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	153	0.20974302	1.0907216	0.19680852	0.40432668	0.985	2108	tags=19%, list=15%, signal=22%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	10	0.38980603	1.0493846	0.39618137	0.4939995	0.991	1307	tags=30%, list=9%, signal=33%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	136	0.20410934	1.0315311	0.37777779	0.52210224	0.995	2590	tags=29%, list=19%, signal=35%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	67	0.22135317	1.0081613	0.4351145	0.5700056	0.995	726	tags=10%, list=5%, signal=11%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	0.26427796	0.9777777	0.46827793	0.64060473	0.996	1752	tags=24%, list=13%, signal=28%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	68	0.21664892	0.97710854	0.5090253	0.61779594	0.996	2885	tags=35%, list=21%, signal=44%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	0.20964482	0.9655149	0.55018586	0.6253262	0.998	3216	tags=33%, list=23%, signal=43%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	133	0.18613704	0.93473107	0.65822786	0.6854722	1.0	2252	tags=21%, list=16%, signal=25%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	196	0.17809409	0.93336076	0.6923077	0.6638828	1.0	2925	tags=24%, list=21%, signal=30%	
CANCER_IMMUNITY_DIFFERENTIATION_ANTIGENS	CANCER_IMMUNITY_DIFFERENTIATION_ANTIGENS	Details ...	1	0.6598683	0.866519	0.68812877	0.7974987	1.0	4753	tags=100%, list=34%, signal=152%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	166	0.16683516	0.8653446	0.85714287	0.7730454	1.0	3472	tags=31%, list=25%, signal=40%	
