NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
MTHFR	MTHFR	MTHFR	5,10-methylenetetrahydrofolate reductase (NADPH)	1.1704772	
LAT	LAT	LAT	linker for activation of T cells	1.155854	
PADI2	PADI2	PADI2	peptidyl arginine deiminase, type II	1.1353123	
FAM63A	FAM63A	FAM63A	family with sequence similarity 63, member A	1.0693777	
RP11-486O12.2	RP11-486O12.2	null	null	1.055622	
BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	1.0355388	
SLC27A1	SLC27A1	SLC27A1	solute carrier family 27 (fatty acid transporter), member 1	1.0199792	
SLC36A1	SLC36A1	SLC36A1	solute carrier family 36 (proton/amino acid symporter), member 1	1.0127308	
ARHGEF10L	ARHGEF10L	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	0.9959912	
ADAMTSL4	ADAMTSL4	ADAMTSL4	ADAMTS-like 4	0.9817986	
LENG9	LENG9	LENG9	leukocyte receptor cluster (LRC) member 9	0.9674729	
ZNF101	ZNF101	ZNF101	zinc finger protein 101	0.9552023	
ZNF672	ZNF672	ZNF672	zinc finger protein 672	0.94088095	
HLA-F	HLA-F	HLA-F	major histocompatibility complex, class I, F	0.939952	
SH2D2A	SH2D2A	SH2D2A	SH2 domain protein 2A	0.92689985	
TMEM91	TMEM91	TMEM91	transmembrane protein 91	0.9199707	
CLDN23	CLDN23	CLDN23	claudin 23	0.91138774	
BTN2A2	BTN2A2	BTN2A2	butyrophilin, subfamily 2, member A2	0.90362984	
HTRA4	HTRA4	HTRA4	HtrA serine peptidase 4	0.8963538	
PLCB2	PLCB2	PLCB2	phospholipase C, beta 2	0.8959589	
HLA-J	HLA-J	HLA-J	major histocompatibility complex, class I, J (pseudogene)	0.8949137	
RNF130	RNF130	RNF130	ring finger protein 130	0.89358395	
PSMB10	PSMB10	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	0.8874456	
MGAT1	MGAT1	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.88580763	
C19orf60	C19orf60	null	null	0.8764287	
BLVRB	BLVRB	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	0.8739316	
AC008738.1	AC008738.1	null	null	0.86718476	
GHDC	GHDC	GHDC	GH3 domain containing	0.8647996	
LDLRAD4	LDLRAD4	null	null	0.852542	
FBXO6	FBXO6	FBXO6	F-box protein 6	0.8487461	
PPP1R26	PPP1R26	null	null	0.8486851	
SLC29A3	SLC29A3	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3	0.8433759	
VAMP8	VAMP8	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	0.8398789	
PARVG	PARVG	PARVG	parvin, gamma	0.8385979	
PHYKPL	PHYKPL	null	null	0.83751225	
HLA-DQA1	HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	0.83737713	
CAPN5	CAPN5	CAPN5	calpain 5	0.8357366	
HLA-DMB	HLA-DMB	HLA-DMB	major histocompatibility complex, class II, DM beta	0.8318488	
IGSF6	IGSF6	IGSF6	immunoglobulin superfamily, member 6	0.82945	
SH3KBP1	SH3KBP1	SH3KBP1	SH3-domain kinase binding protein 1	0.8276588	
NADK	NADK	NADK	NAD kinase	0.82739747	
IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	0.8255655	
IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	0.8223225	
GCHFR	GCHFR	GCHFR	GTP cyclohydrolase I feedback regulator	0.82059914	
TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	0.81929445	
AKR1A1	AKR1A1	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	0.8136807	
HLA-L	HLA-L	HLA-L	major histocompatibility complex, class I, L	0.8116384	
PRF1	PRF1	PRF1	perforin 1 (pore forming protein)	0.81110805	
PLEKHF1	PLEKHF1	PLEKHF1	pleckstrin homology domain containing, family F (with FYVE domain) member 1	0.8070902	
KCNE3	KCNE3	KCNE3	potassium voltage-gated channel, Isk-related family, member 3	0.8041686	
CD40	CD40	CD40	CD40 molecule, TNF receptor superfamily member 5	0.8038785	
HLA-G	HLA-G	HLA-G	HLA-G histocompatibility antigen, class I, G	0.80379367	
CREG1	CREG1	CREG1	cellular repressor of E1A-stimulated genes 1	0.80099374	
HLA-H	HLA-H	HLA-H	major histocompatibility complex, class I, H (pseudogene)	0.8009701	
HLA-A	HLA-A	HLA-A	major histocompatibility complex, class I, A	0.7997907	
PYHIN1	PYHIN1	PYHIN1	pyrin and HIN domain family, member 1	0.7990763	
ARRB1	ARRB1	ARRB1	arrestin, beta 1	0.7989234	
CTSD	CTSD	CTSD	cathepsin D (lysosomal aspartyl peptidase)	0.7956745	
SOWAHD	SOWAHD	null	null	0.79407287	
GM2A	GM2A	GM2A	GM2 ganglioside activator	0.791414	
PSMB3	PSMB3	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	0.7876625	
EIF4E3	EIF4E3	EIF4E3	eukaryotic translation initiation factor 4E member 3	0.78445417	
SLC15A3	SLC15A3	SLC15A3	solute carrier family 15, member 3	0.7811798	
TRAF2	TRAF2	TRAF2	TNF receptor-associated factor 2	0.78111595	
RAB42	RAB42	RAB42	RAB42, member RAS oncogene family	0.78055763	
SUCNR1	SUCNR1	SUCNR1	succinate receptor 1	0.78007394	
LIMD2	LIMD2	LIMD2	LIM domain containing 2	0.7778533	
HLA-DMA	HLA-DMA	HLA-DMA	major histocompatibility complex, class II, DM alpha	0.7773478	
ITGAX	ITGAX	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	0.7770061	
SPN	SPN	SPN	sialophorin (leukosialin, CD43)	0.7761524	
NPL	NPL	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	0.7747463	
EMILIN2	EMILIN2	EMILIN2	elastin microfibril interfacer 2	0.77358806	
CECR1	CECR1	CECR1	cat eye syndrome chromosome region, candidate 1	0.7688419	
RP1-313I6.12	RP1-313I6.12	null	null	0.7647821	
ZFPM1	ZFPM1	ZFPM1	zinc finger protein, multitype 1	0.7644493	
TNFAIP2	TNFAIP2	TNFAIP2	tumor necrosis factor, alpha-induced protein 2	0.7640988	
