NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGAV	ITGAV	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	30	1.302500605583191	0.036560837	Yes	
row_1	STK39	STK39	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	93	1.02843177318573	0.06267016	Yes	
row_2	UBE2J1	UBE2J1	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	221	0.8323957920074463	0.07827175	Yes	
row_3	MAP7	MAP7	MAP7	microtubule-associated protein 7	250	0.8119462728500366	0.100393355	Yes	
row_4	ELL2	ELL2	ELL2	elongation factor, RNA polymerase II, 2	332	0.7441297769546509	0.11668294	Yes	
row_5	ACTN1	ACTN1	ACTN1	actinin, alpha 1	356	0.735705554485321	0.13689806	Yes	
row_6	MAF	MAF	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	440	0.6888979077339172	0.1514017	Yes	
row_7	PMEPA1	PMEPA1	null	null	515	0.6557907462120056	0.16556913	Yes	
row_8	SEPP1	SEPP1	SEPP1	selenoprotein P, plasma, 1	671	0.5968687534332275	0.17215298	Yes	
row_9	XRCC5	XRCC5	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)	689	0.5915346741676331	0.18851417	Yes	
row_10	ARID5B	ARID5B	ARID5B	AT rich interactive domain 5B (MRF1-like)	728	0.5814979076385498	0.203065	Yes	
row_11	SPCS3	SPCS3	SPCS3	signal peptidase complex subunit 3 homolog (S. cerevisiae)	936	0.5250648856163025	0.20377028	Yes	
row_12	PPAP2A	PPAP2A	PPAP2A	phosphatidic acid phosphatase type 2A	941	0.5243698954582214	0.21907078	Yes	
row_13	DNAJB9	DNAJB9	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	987	0.5137816071510315	0.23110454	Yes	
row_14	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	1035	0.5035597681999207	0.24269043	Yes	
row_15	TSC22D1	TSC22D1	TSC22D1	TSC22 domain family, member 1	1144	0.48279571533203125	0.24926707	Yes	
row_16	PTPN21	PTPN21	PTPN21	protein tyrosine phosphatase, non-receptor type 21	1157	0.48093968629837036	0.26270047	Yes	
row_17	ABCC4	ABCC4	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	1207	0.4707825183868408	0.27316797	Yes	
row_18	AKT1	AKT1	AKT1	v-akt murine thymoma viral oncogene homolog 1	1216	0.4689646363258362	0.2865334	Yes	
row_19	HSD17B14	HSD17B14	null	null	1459	0.4288378059864044	0.28185803	Yes	
row_20	TPD52	TPD52	TPD52	tumor protein D52	1464	0.4275244176387787	0.29427952	Yes	
row_21	HERC3	HERC3	HERC3	hect domain and RLD 3	1923	0.3664586544036865	0.27219787	No	
row_22	MYL12A	MYL12A	null	null	2126	0.3395196795463562	0.26774725	No	
row_23	SLC38A2	SLC38A2	SLC38A2	solute carrier family 38, member 2	2157	0.33534616231918335	0.27555647	No	
row_24	SGK1	SGK1	null	null	2234	0.32483673095703125	0.2797413	No	
row_25	ADAMTS1	ADAMTS1	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	2774	0.264005184173584	0.24878196	No	
row_26	INPP4B	INPP4B	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa	2781	0.262858122587204	0.25616422	No	
row_27	PGM3	PGM3	PGM3	phosphoglucomutase 3	2957	0.2442290037870407	0.25082478	No	
row_28	APPBP2	APPBP2	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	2965	0.24316677451133728	0.25754967	No	
row_29	IQGAP2	IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2	3501	0.19279637932777405	0.22476144	No	
row_30	CDK6	CDK6	CDK6	cyclin-dependent kinase 6	3737	0.1710699498653412	0.21292715	No	
row_31	SRP19	SRP19	SRP19	signal recognition particle 19kDa	3781	0.16682766377925873	0.21479064	No	
row_32	DHCR24	DHCR24	DHCR24	24-dehydrocholesterol reductase	3844	0.16095659136772156	0.21511161	No	
row_33	CCND1	CCND1	CCND1	cyclin D1	4498	0.10639423131942749	0.17125888	No	
row_34	SEC24D	SEC24D	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	4597	0.0987534150481224	0.16713868	No	
row_35	PTK2B	PTK2B	PTK2B	PTK2B protein tyrosine kinase 2 beta	4702	0.09077512472867966	0.16234931	No	
row_36	CAMKK2	CAMKK2	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	4736	0.08785334974527359	0.16258503	No	
row_37	PIAS1	PIAS1	PIAS1	protein inhibitor of activated STAT, 1	4738	0.08770565688610077	0.16512036	No	
row_38	NGLY1	NGLY1	NGLY1	N-glycanase 1	4809	0.08188903331756592	0.1625148	No	
