NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	DDB2	DDB2	damage-specific DNA binding protein 2, 48kDa	266	0.7994896173477173	-3.2202428E-5	No	
row_1	GTF2H5	GTF2H5	GTF2H5	general transcription factor IIH, polypeptide 5	395	0.7099830508232117	0.0077591343	No	
row_2	NUDT9	NUDT9	NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	608	0.6172774434089661	0.007255607	No	
row_3	DUT	DUT	DUT	dUTP pyrophosphatase	724	0.581990122795105	0.012914313	No	
row_4	DFNA5	DFNA5	DFNA5	deafness, autosomal dominant 5	726	0.5817415118217468	0.026804643	No	
row_5	AK3	AK3	AK3	adenylate kinase 3	773	0.5686941146850586	0.037130136	No	
row_6	CDA	CDA	CDA	cytidine deaminase	870	0.5393816232681274	0.04313911	No	
row_7	ARL6IP1	ARL6IP1	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	980	0.5154170989990234	0.047633532	No	
row_8	TMED2	TMED2	TMED2	transmembrane emp24 domain trafficking protein 2	1389	0.43893173336982727	0.02868659	No	
row_9	SRSF6	SRSF6	null	null	1677	0.3986623287200928	0.017516537	No	
row_10	TAF10	TAF10	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	1766	0.3871449828147888	0.020449702	No	
row_11	TAF13	TAF13	TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	2101	0.3426235616207123	0.0045384415	No	
row_12	PNP	PNP	null	null	2267	0.31962698698043823	2.870973E-4	No	
row_13	ERCC4	ERCC4	ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4	2301	0.3152102828025818	0.005468008	No	
row_14	ITPA	ITPA	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	2356	0.30911684036254883	0.008985217	No	
row_15	RRM2B	RRM2B	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)	2632	0.27953463792800903	-0.004176949	No	
row_16	SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	2676	0.2739851474761963	-7.080938E-4	No	
row_17	POLB	POLB	POLB	polymerase (DNA directed), beta	2729	0.26928794384002686	0.0019976865	No	
row_18	DAD1	DAD1	DAD1	defender against cell death 1	2823	0.25771838426589966	0.0014631397	No	
row_19	ERCC5	ERCC5	ERCC5	me))	2854	0.2536661624908447	0.005383686	No	
row_20	RALA	RALA	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	2871	0.2525624930858612	0.010289377	No	
row_21	TAF1C	TAF1C	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	2929	0.24755001068115234	0.012112119	No	
row_22	GTF2H1	GTF2H1	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	3026	0.23540617525577545	0.01082527	No	
row_23	GTF2A2	GTF2A2	GTF2A2	general transcription factor IIA, 2, 12kDa	3046	0.23361670970916748	0.015059458	No	
row_24	CSTF3	CSTF3	CSTF3	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa	3341	0.20739829540252686	-0.0012070106	No	
row_25	TSG101	TSG101	TSG101	tumor susceptibility gene 101	3450	0.19719812273979187	-0.0042780195	No	
row_26	ERCC3	ERCC3	ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	3473	0.19548335671424866	-0.0011758632	No	
row_27	NPR2	NPR2	NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	3486	0.19437971711158752	0.0026224002	No	
row_28	POLR2A	POLR2A	POLR2A	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	3719	0.1733061969280243	-0.009982233	No	
row_29	POLR1D	POLR1D	POLR1D	polymerase (RNA) I polypeptide D, 16kDa	3910	0.15580075979232788	-0.019972118	No	
row_30	POLE4	POLE4	POLE4	polymerase (DNA-directed), epsilon 4 (p12 subunit)	3956	0.15214388072490692	-0.019572139	No	
row_31	GTF2B	GTF2B	GTF2B	general transcription factor IIB	4032	0.14578543603420258	-0.021492556	No	
row_32	NCBP2	NCBP2	NCBP2	nuclear cap binding protein subunit 2, 20kDa	4108	0.13913464546203613	-0.023572601	No	
row_33	DDB1	DDB1	DDB1	damage-specific DNA binding protein 1, 127kDa	4204	0.13083098828792572	-0.027297137	No	
row_34	VPS37D	VPS37D	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	4210	0.13044679164886475	-0.024527535	No	
row_35	POLR2D	POLR2D	POLR2D	polymerase (RNA) II (DNA directed) polypeptide D	4356	0.11735984683036804	-0.032188375	No	
row_36	RAD52	RAD52	RAD52	RAD52 homolog (S. cerevisiae)	4463	0.10930593311786652	-0.037224397	No	
row_37	ZWINT	ZWINT	ZWINT	ZW10 interactor	4507	0.10575269907712936	-0.03779335	No	
row_38	GMPR2	GMPR2	GMPR2	guanosine monophosphate reductase 2	4514	0.10527659207582474	-0.035700124	No	
row_39	RFC5	RFC5	RFC5	replication factor C (activator 1) 5, 36.5kDa	4555	0.10151907801628113	-0.03615391	No	
row_40	POLR2K	POLR2K	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	4654	0.09481248259544373	-0.04095972	No	
row_41	TYMS	TYMS	TYMS	thymidylate synthetase	4672	0.09355241805315018	-0.039942745	No	
row_42	SAC3D1	SAC3D1	SAC3D1	SAC3 domain containing 1	4765	0.08548873662948608	-0.044538777	No	
row_43	NME3	NME3	NME3	non-metastatic cells 3, protein expressed in	5001	0.0650601014494896	-0.059958246	No	
row_44	PCNA	PCNA	PCNA	proliferating cell nuclear antigen	5053	0.06054471433162689	-0.062190324	No	
row_45	RAD51	RAD51	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	5204	0.049354299902915955	-0.07184469	No	
row_46	SNAPC5	SNAPC5	SNAPC5	small nuclear RNA activating complex, polypeptide 5, 19kDa	5257	0.04545408859848976	-0.07451122	No	
row_47	POLD4	POLD4	POLD4	polymerase (DNA-directed), delta 4	5294	0.04239639639854431	-0.076095	No	
row_48	RFC4	RFC4	RFC4	replication factor C (activator 1) 4, 37kDa	5332	0.039324209094047546	-0.07782477	No	
row_49	DGUOK	DGUOK	DGUOK	deoxyguanosine kinase	5365	0.03653340041637421	-0.07926022	No	
row_50	XPC	XPC	XPC	xeroderma pigmentosum, complementation group C	5524	0.02514614351093769	-0.09007369	No	
row_51	SURF1	SURF1	SURF1	surfeit 1	5647	0.016603456810116768	-0.09849085	No	
row_52	ERCC8	ERCC8	ERCC8	excision repair cross-complementing rodent repair deficiency, complementation group 8	5687	0.013753433711826801	-0.10097887	No	
row_53	DGCR8	DGCR8	DGCR8	DiGeorge syndrome critical region gene 8	5706	0.011988535523414612	-0.1019918	No	
row_54	RBX1	RBX1	RBX1	ring-box 1	5943	-0.005470701027661562	-0.118913755	No	
row_55	RFC2	RFC2	RFC2	replication factor C (activator 1) 2, 40kDa	6137	-0.02076692506670952	-0.13236141	No	
row_56	TARBP2	TARBP2	TARBP2	Tar (HIV-1) RNA binding protein 2	6201	-0.02542613446712494	-0.1363035	No	
row_57	TAF12	TAF12	TAF12	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	6266	-0.02949615940451622	-0.14022017	No	
row_58	ADRM1	ADRM1	ADRM1	adhesion regulating molecule 1	6639	-0.058439698070287704	-0.1656981	No	
row_59	CLP1	CLP1	null	null	6722	-0.06366921216249466	-0.17009524	No	
row_60	TAF6	TAF6	TAF6	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	7081	-0.09062643349170685	-0.19378899	No	
