NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MARCKS	MARCKS	MARCKS	myristoylated alanine-rich protein kinase C substrate	50	1.1852121353149414	0.014196994	No	
row_1	SHROOM1	SHROOM1	SHROOM1	shroom family member 1	98	1.022994041442871	0.026171934	No	
row_2	MID1IP1	MID1IP1	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	224	0.8315457701683044	0.029606687	No	
row_3	STK38L	STK38L	STK38L	serine/threonine kinase 38 like	237	0.8222554922103882	0.0411026	No	
row_4	NIN	NIN	NIN	ninein (GSK3B interacting protein)	286	0.7720203399658203	0.049230296	No	
row_5	PALLD	PALLD	PALLD	palladin, cytoskeletal associated protein	404	0.7055273652076721	0.051350314	No	
row_6	PKD2	PKD2	PKD2	polycystic kidney disease 2 (autosomal dominant)	507	0.6598795652389526	0.053872395	No	
row_7	YWHAE	YWHAE	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	518	0.6546345353126526	0.06299242	No	
row_8	LATS1	LATS1	LATS1	LATS, large tumor suppressor, homolog 1 (Drosophila)	530	0.6466146111488342	0.07191925	No	
row_9	WASL	WASL	WASL	Wiskott-Aldrich syndrome-like	587	0.6250312924385071	0.07725562	No	
row_10	EZR	EZR	null	null	641	0.6046895384788513	0.08250378	No	
row_11	TUBA4A	TUBA4A	null	null	678	0.5938946604728699	0.08882334	No	
row_12	ARHGEF12	ARHGEF12	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	717	0.5830247402191162	0.09483427	No	
row_13	PLK1	PLK1	PLK1	polo-like kinase 1 (Drosophila)	742	0.576090395450592	0.101756945	No	
row_14	UXT	UXT	UXT	ubiquitously-expressed transcript	786	0.5656014680862427	0.107142955	No	
row_15	ALS2	ALS2	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	812	0.5565899014472961	0.113699764	No	
row_16	BCAR1	BCAR1	BCAR1	breast cancer anti-estrogen resistance 1	823	0.5534220933914185	0.121297546	No	
row_17	ATG4B	ATG4B	ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	943	0.5242319107055664	0.120545715	No	
row_18	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	1035	0.5035597681999207	0.12151505	No	
row_19	CEP192	CEP192	CEP192	centrosomal protein 192kDa	1082	0.49642106890678406	0.12564285	No	
row_20	MYH10	MYH10	MYH10	myosin, heavy chain 10, non-muscle	1156	0.4809495806694031	0.12757847	No	
row_21	KATNA1	KATNA1	KATNA1	katanin p60 (ATPase-containing) subunit A 1	1341	0.44748398661613464	0.12095501	No	
row_22	ABR	ABR	ABR	active BCR-related gene	1446	0.4306621849536896	0.1198845	No	
row_23	CDC42EP2	CDC42EP2	CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2	1482	0.42471322417259216	0.12373213	No	
row_24	NET1	NET1	NET1	neuroepithelial cell transforming gene 1	1506	0.42170074582099915	0.12840533	No	
row_25	RAB3GAP1	RAB3GAP1	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	1567	0.41326436400413513	0.13026643	No	
row_26	FBXO5	FBXO5	FBXO5	F-box protein 5	1613	0.4075847864151001	0.1331307	No	
row_27	ARFIP2	ARFIP2	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	1926	0.36606791615486145	0.11599324	No	
row_28	RHOF	RHOF	RHOF	ras homolog gene family, member F (in filopodia)	2004	0.355914443731308	0.11575802	No	
