NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOS	FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	27	1.3238413333892822	0.020389397	Yes	
row_1	MARCKS	MARCKS	MARCKS	myristoylated alanine-rich protein kinase C substrate	50	1.1852121353149414	0.038801108	Yes	
row_2	JUN	JUN	JUN	jun oncogene	121	0.9534769654273987	0.04982296	Yes	
row_3	EDN1	EDN1	EDN1	endothelin 1	135	0.9307317733764648	0.06459132	Yes	
row_4	BTG1	BTG1	BTG1	B-cell translocation gene 1, anti-proliferative	161	0.8936455249786377	0.0778641	Yes	
row_5	FOSL1	FOSL1	FOSL1	FOS-like antigen 1	163	0.8916998505592346	0.09284318	Yes	
row_6	BCL6	BCL6	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	164	0.8909993767738342	0.1078829	Yes	
row_7	PNRC1	PNRC1	PNRC1	proline-rich nuclear receptor coactivator 1	202	0.8536401987075806	0.11961085	Yes	
row_8	DUSP1	DUSP1	DUSP1	dual specificity phosphatase 1	204	0.8495733737945557	0.13387886	Yes	
row_9	CYR61	CYR61	CYR61	cysteine-rich, angiogenic inducer, 61	283	0.7801486849784851	0.14139529	Yes	
row_10	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	315	0.7537187337875366	0.15187138	Yes	
row_11	ETS2	ETS2	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	353	0.7368846535682678	0.16162854	Yes	
row_12	KLF4	KLF4	KLF4	Kruppel-like factor 4 (gut)	357	0.7355571985244751	0.17382707	Yes	
row_13	TANK	TANK	TANK	TRAF family member-associated NFKB activator	358	0.7354145050048828	0.18624057	Yes	
row_14	MSC	MSC	MSC	musculin (activated B-cell factor-1)	392	0.7137726545333862	0.19589746	Yes	
row_15	ZFP36	ZFP36	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	412	0.7020484805107117	0.20637095	Yes	
row_16	FOSB	FOSB	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	435	0.6923704147338867	0.2164637	Yes	
row_17	EGR1	EGR1	EGR1	early growth response 1	484	0.6689565777778625	0.22427715	Yes	
row_18	PMEPA1	PMEPA1	null	null	515	0.6557907462120056	0.23317273	Yes	
row_19	ATF3	ATF3	ATF3	activating transcription factor 3	642	0.6044877767562866	0.2342458	Yes	
row_20	F3	F3	F3	coagulation factor III (thromboplastin, tissue factor)	713	0.5840544700622559	0.23903196	Yes	
row_21	NAMPT	NAMPT	null	null	793	0.5637814998626709	0.24282373	Yes	
row_22	BMP2	BMP2	BMP2	bone morphogenetic protein 2	822	0.5534345507621765	0.2501365	Yes	
row_23	CXCL2	CXCL2	CXCL2	chemokine (C-X-C motif) ligand 2	880	0.5379077792167664	0.25508574	Yes	
row_24	BCL2A1	BCL2A1	BCL2A1	BCL2-related protein A1	914	0.5295480489730835	0.261633	Yes	
row_25	JUNB	JUNB	JUNB	jun B proto-oncogene	950	0.5211568474769592	0.26789367	Yes	
row_26	BTG2	BTG2	BTG2	BTG family, member 2	951	0.5211232304573059	0.27669004	Yes	
row_27	RHOB	RHOB	RHOB	ras homolog gene family, member B	1012	0.5092521905899048	0.28093818	Yes	
row_28	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	1035	0.5035597681999207	0.28784388	Yes	
row_29	MXD1	MXD1	MXD1	MAX dimerization protein 1	1061	0.4998380243778229	0.29446936	Yes	
row_30	NFE2L2	NFE2L2	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	1073	0.49727368354797363	0.30206603	Yes	
