NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOS	FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	27	1.3238413333892822	0.025277639	No	
row_1	BTG1	BTG1	BTG1	B-cell translocation gene 1, anti-proliferative	161	0.8936455249786377	0.034053527	No	
row_2	RAB27A	RAB27A	RAB27A	RAB27A, member RAS oncogene family	186	0.8696579933166504	0.05020667	No	
row_3	MMP14	MMP14	MMP14	matrix metallopeptidase 14 (membrane-inserted)	375	0.7254078388214111	0.05155103	No	
row_4	FOSB	FOSB	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	435	0.6923704147338867	0.06153067	No	
row_5	CDKN1C	CDKN1C	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	514	0.655860185623169	0.069387466	No	
row_6	CA2	CA2	CA2	carbonic anhydrase II	549	0.6381016969680786	0.08005615	No	
row_7	ATF3	ATF3	ATF3	activating transcription factor 3	642	0.6044877767562866	0.08584548	No	
row_8	TUBA4A	TUBA4A	null	null	678	0.5938946604728699	0.09553276	No	
row_9	PLCL1	PLCL1	PLCL1	phospholipase C-like 1	731	0.5807394981384277	0.103721954	No	
row_10	MAOA	MAOA	MAOA	monoamine oxidase A	734	0.5798590183258057	0.11550341	No	
row_11	BMP2	BMP2	BMP2	bone morphogenetic protein 2	822	0.5534345507621765	0.12060377	No	
row_12	CXCL2	CXCL2	CXCL2	chemokine (C-X-C motif) ligand 2	880	0.5379077792167664	0.12755102	No	
row_13	TGFBRAP1	TGFBRAP1	TGFBRAP1	transforming growth factor, beta receptor associated protein 1	922	0.527805745601654	0.1354458	No	
row_14	JUNB	JUNB	JUNB	jun B proto-oncogene	950	0.5211568474769592	0.14421476	No	
row_15	BTG2	BTG2	BTG2	BTG family, member 2	951	0.5211232304573059	0.15493262	No	
row_16	AQP3	AQP3	AQP3	aquaporin 3 (Gill blood group)	979	0.5154213905334473	0.1635836	No	
row_17	TST	TST	TST	thiosulfate sulfurtransferase (rhodanese)	998	0.5110387802124023	0.17279433	No	
row_18	RHOB	RHOB	RHOB	ras homolog gene family, member B	1012	0.5092521905899048	0.18232934	No	
row_19	MSX1	MSX1	MSX1	msh homeobox homolog 1 (Drosophila)	1103	0.4919680058956146	0.18594891	No	
row_20	CLTB	CLTB	CLTB	clathrin, light chain (Lcb)	1266	0.461006760597229	0.18373278	No	
row_21	PPIF	PPIF	PPIF	peptidylprolyl isomerase F (cyclophilin F)	1420	0.4345208704471588	0.18162176	No	
row_22	EIF5	EIF5	EIF5	eukaryotic translation initiation factor 5	1489	0.42407694458961487	0.18543358	No	
row_23	NFKBIA	NFKBIA	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	1660	0.40133634209632874	0.18141255	No	
row_24	HSPA13	HSPA13	null	null	1796	0.38411229848861694	0.17956454	No	
row_25	MRPL23	MRPL23	MRPL23	mitochondrial ribosomal protein L23	1827	0.37907400727272034	0.18519467	No	
row_26	SLC6A8	SLC6A8	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	2099	0.34299933910369873	0.17268088	No	
row_27	GLS	GLS	GLS	glutaminase	2249	0.3216701149940491	0.16853772	No	
row_28	HMOX1	HMOX1	HMOX1	heme oxygenase (decycling) 1	2458	0.2974766194820404	0.15963674	No	
row_29	CHKA	CHKA	CHKA	choline kinase alpha	2490	0.2941935658454895	0.16344894	No	
row_30	CEBPG	CEBPG	CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	2491	0.2941935658454895	0.16949958	No	
row_31	PPP1R2	PPP1R2	PPP1R2	protein phosphatase 1, regulatory (inhibitor) subunit 2	2640	0.27904996275901794	0.16455206	No	
row_32	ASNS	ASNS	ASNS	asparagine synthetase	2642	0.2786244750022888	0.17021029	No	
row_33	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	2659	0.2765932083129883	0.17474361	No	
row_34	BTG3	BTG3	BTG3	BTG family, member 3	2693	0.27253028750419617	0.17796585	No	
row_35	POLE3	POLE3	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	2696	0.27212390303611755	0.18341817	No	
row_36	APOM	APOM	APOM	apolipoprotein M	2821	0.2579033672809601	0.17976871	No	
row_37	H2AFX	H2AFX	H2AFX	H2A histone family, member X	3135	0.22501429915428162	0.16179563	No	
row_38	NUPL1	NUPL1	NUPL1	nucleoporin like 1	3435	0.19900454580783844	0.14429852	No	
row_39	DGAT1	DGAT1	DGAT1	diacylglycerol O-acyltransferase homolog 1 (mouse)	3569	0.1878856122493744	0.13855916	No	
row_40	NR4A1	NR4A1	NR4A1	nuclear receptor subfamily 4, group A, member 1	3778	0.16722123324871063	0.12697923	No	
row_41	PSMC3	PSMC3	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	3807	0.16424007713794708	0.12833533	No	
row_42	STIP1	STIP1	STIP1	stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	4209	0.13048841059207916	0.1020639	No	
row_43	PDAP1	PDAP1	PDAP1	PDGFA associated protein 1	4297	0.12324228137731552	0.098316565	No	
row_44	SPR	SPR	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	4793	0.08341115713119507	0.06428941	No	
row_45	EPHX1	EPHX1	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	4845	0.0789673775434494	0.06223095	No	
row_46	SIGMAR1	SIGMAR1	null	null	4877	0.07650984823703766	0.061566085	No	
row_47	RFC4	RFC4	RFC4	replication factor C (activator 1) 4, 37kDa	5332	0.039324209094047546	0.02959271	No	
row_48	PARP2	PARP2	PARP2	poly (ADP-ribose) polymerase family, member 2	5351	0.037721481174230576	0.029068789	No	
row_49	ATP6V1C1	ATP6V1C1	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	5438	0.030268395319581032	0.023481479	No	
row_50	NXF1	NXF1	NXF1	nuclear RNA export factor 1	5682	0.0142864640802145	0.006228913	No	
