NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPARG	PPARG	PPARG	peroxisome proliferative activated receptor, gamma	72	0.8807033896446228	0.011313126	No	
row_1	ALDH2	ALDH2	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	125	0.7819508910179138	0.0222221	No	
row_2	UCP2	UCP2	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	140	0.7664034962654114	0.035593264	No	
row_3	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	143	0.7609222531318665	0.049731232	No	
row_4	FZD4	FZD4	FZD4	frizzled homolog 4 (Drosophila)	266	0.6746605038642883	0.05355311	No	
row_5	ECH1	ECH1	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	695	0.5510245561599731	0.032877147	No	
row_6	ARAF	ARAF	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	709	0.5477631092071533	0.04221679	No	
row_7	IFNGR1	IFNGR1	IFNGR1	interferon gamma receptor 1	784	0.5259280800819397	0.046725646	No	
row_8	COL15A1	COL15A1	COL15A1	collagen, type XV, alpha 1	790	0.524960458278656	0.056217063	No	
row_9	C3	C3	C3	complement component 3	837	0.5111444592475891	0.0624777	No	
row_10	ELMOD3	ELMOD3	null	null	913	0.49662473797798157	0.06636404	No	
row_11	APOE	APOE	APOE	apolipoprotein E	919	0.4952469766139984	0.07529772	No	
row_12	SPARCL1	SPARCL1	SPARCL1	SPARC-like 1 (mast9, hevin)	943	0.4894425570964813	0.08281791	No	
row_13	CD302	CD302	CD302	CD302 molecule	959	0.48683416843414307	0.090868935	No	
row_14	BCKDHA	BCKDHA	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	995	0.4805310070514679	0.09735216	No	
row_15	LPL	LPL	LPL	lipoprotein lipase	1195	0.4395126402378082	0.09117967	No	
row_16	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	1221	0.4352854788303375	0.09753835	No	
row_17	SQRDL	SQRDL	SQRDL	sulfide quinone reductase-like (yeast)	1309	0.41674861311912537	0.099055685	No	
row_18	ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	1391	0.3981475830078125	0.100658715	No	
row_19	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	1420	0.3935874104499817	0.10601728	No	
row_20	SLC27A1	SLC27A1	SLC27A1	solute carrier family 27 (fatty acid transporter), member 1	1509	0.376331627368927	0.10670349	No	
row_21	ME1	ME1	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	1559	0.3691709041595459	0.110081784	No	
row_22	SSPN	SSPN	SSPN	sarcospan (Kras oncogene-associated gene)	1732	0.3423825204372406	0.10404292	No	
row_23	DHRS7B	DHRS7B	DHRS7B	dehydrogenase/reductase (SDR family) member 7B	1756	0.339206725358963	0.108743094	No	
row_24	UQCR11	UQCR11	null	null	1894	0.32105717062950134	0.10484054	No	
row_25	LPCAT3	LPCAT3	null	null	2010	0.30628252029418945	0.10225508	No	
row_26	DRAM2	DRAM2	null	null	2158	0.2883588671684265	0.09701402	No	
row_27	SDPR	SDPR	SDPR	serum deprivation response (phosphatidylserine binding protein)	2221	0.27929919958114624	0.0977632	No	
row_28	SNCG	SNCG	SNCG	synuclein, gamma (breast cancer-specific protein 1)	2228	0.2782938778400421	0.102552086	No	
row_29	PPM1B	PPM1B	PPM1B	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	2520	0.24684765934944153	0.086095534	No	
row_30	DGAT1	DGAT1	DGAT1	diacylglycerol O-acyltransferase homolog 1 (mouse)	2532	0.2456231713294983	0.08990879	No	
row_31	SULT1A1	SULT1A1	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	2570	0.2412443608045578	0.09175553	No	
row_32	PREB	PREB	PREB	prolactin regulatory element binding	2591	0.23827508091926575	0.0947786	No	
row_33	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	2617	0.23516929149627686	0.097380996	No	
row_34	BCL6	BCL6	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	2641	0.23310153186321259	0.10008953	No	
row_35	PFKL	PFKL	PFKL	phosphofructokinase, liver	2649	0.2322291135787964	0.10394128	No	
row_36	STOM	STOM	STOM	stomatin	2655	0.23183037340641022	0.10793048	No	
row_37	FAM73B	FAM73B	FAM73B	family with sequence similarity 73, member B	2658	0.23145568370819092	0.11213008	No	
row_38	CHCHD10	CHCHD10	null	null	2697	0.22802014648914337	0.11365612	No	
