NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CROCC	CROCC	CROCC	ciliary rootlet coiled-coil, rootletin	174	0.7326038479804993	0.056858175	Yes	
row_1	CX3CL1	CX3CL1	CX3CL1	chemokine (C-X3-C motif) ligand 1	313	0.6588898301124573	0.10932132	Yes	
row_2	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	393	0.6352033615112305	0.16377334	Yes	
row_3	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	524	0.5954256057739258	0.21080376	Yes	
row_4	THY1	THY1	THY1	Thy-1 cell surface antigen	755	0.5346164107322693	0.24490857	Yes	
row_5	FLOT2	FLOT2	FLOT2	flotillin 2	759	0.533918023109436	0.29522437	Yes	
row_6	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	953	0.4874223470687866	0.32751575	Yes	
row_7	SULF2	SULF2	SULF2	sulfatase 2	1570	0.3675858676433563	0.31813434	Yes	
row_8	LYPD3	LYPD3	LYPD3	LY6/PLAUR domain containing 3	1616	0.35920074582099915	0.34890297	Yes	
row_9	ATP8B1	ATP8B1	ATP8B1	ATPase, Class I, type 8B, member 1	3205	0.1742091029882431	0.25152263	No	
row_10	AFAP1L2	AFAP1L2	null	null	3830	0.11989408731460571	0.2181256	No	
row_11	AIM1	AIM1	AIM1	absent in melanoma 1	4444	0.07044751197099686	0.18083762	No	
row_12	B4GALT1	B4GALT1	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	4470	0.06781643629074097	0.18546325	No	
row_13	TMEM8B	TMEM8B	null	null	4851	0.03866494819521904	0.1618746	No	
row_14	MAL	MAL	MAL	mal, T-cell differentiation protein	5938	-0.04042823985219002	0.08782901	No	
row_15	GAS1	GAS1	GAS1	growth arrest-specific 1	6692	-0.09103851020336151	0.042451072	No	
row_16	SHROOM2	SHROOM2	SHROOM2	shroom family member 2	7580	-0.1464294046163559	-0.0072930697	No	
row_17	ADIPOR2	ADIPOR2	ADIPOR2	adiponectin receptor 2	8051	-0.17405736446380615	-0.024521407	No	
row_18	AKAP7	AKAP7	AKAP7	A kinase (PRKA) anchor protein 7	8172	-0.18182188272476196	-0.015918093	No	
row_19	EFNA5	EFNA5	EFNA5	ephrin-A5	8365	-0.1947852373123169	-0.011250677	No	
row_20	GSTM3	GSTM3	GSTM3	glutathione S-transferase M3 (brain)	9615	-0.27116623520851135	-0.07514678	No	
row_21	PLAUR	PLAUR	PLAUR	plasminogen activator, urokinase receptor	10365	-0.3180886507034302	-0.09874949	No	
row_22	BRCA1	BRCA1	BRCA1	breast cancer 1, early onset	10932	-0.3587740659713745	-0.10537961	No	
row_23	DCBLD2	DCBLD2	DCBLD2	discoidin, CUB and LCCL domain containing 2	12095	-0.45132166147232056	-0.14598715	No	
row_24	EPHB4	EPHB4	EPHB4	EPH receptor B4	12475	-0.4927293658256531	-0.12653066	No	
row_25	NCOA6	NCOA6	NCOA6	nuclear receptor coactivator 6	12649	-0.5142837166786194	-0.09026296	No	
row_26	HSPB1	HSPB1	HSPB1	heat shock 27kDa protein 1	12841	-0.5401027202606201	-0.052842405	No	
row_27	ADAM10	ADAM10	ADAM10	ADAM metallopeptidase domain 10	13092	-0.5789624452590942	-0.0159747	No	
row_28	SRPX	SRPX	SRPX	sushi-repeat-containing protein, X-linked	13833	-0.8362808227539062	0.010110527	No	
