NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPARG	PPARG	PPARG	peroxisome proliferative activated receptor, gamma	72	0.8807033896446228	0.03549294	No	
row_1	FABP5	FABP5	FABP5	fatty acid binding protein 5 (psoriasis-associated)	83	0.8464370369911194	0.07386137	No	
row_2	FBXO6	FBXO6	FBXO6	F-box protein 6	670	0.5565522313117981	0.057428256	No	
row_3	ECH1	ECH1	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	695	0.5510245561599731	0.08114828	No	
row_4	LGMN	LGMN	LGMN	legumain	735	0.5400558114051819	0.103283264	No	
row_5	LPL	LPL	LPL	lipoprotein lipase	1195	0.4395126402378082	0.090576835	No	
row_6	JAG1	JAG1	JAG1	jagged 1 (Alagille syndrome)	1237	0.431207537651062	0.10754154	No	
row_7	GSTM2	GSTM2	GSTM2	glutathione S-transferase M2 (muscle)	1536	0.37316206097602844	0.10334719	No	
row_8	CLU	CLU	CLU	clusterin	1610	0.36080068349838257	0.11475976	No	
row_9	CXCL16	CXCL16	CXCL16	chemokine (C-X-C motif) ligand 16	2379	0.2613981068134308	0.071610786	No	
row_10	ABCA2	ABCA2	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	2772	0.21868686378002167	0.053524263	No	
row_11	PNRC1	PNRC1	PNRC1	proline-rich nuclear receptor coactivator 1	3046	0.18993718922138214	0.042666342	No	
row_12	TP53INP1	TP53INP1	TP53INP1	tumor protein p53 inducible nuclear protein 1	3382	0.15761905908584595	0.025858145	No	
row_13	MVD	MVD	MVD	mevalonate (diphospho) decarboxylase	4067	0.10133125633001328	-0.018642828	No	
row_14	CHKA	CHKA	CHKA	choline kinase alpha	4180	0.09189911186695099	-0.022451958	No	
row_15	PDK3	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	4599	0.0575091578066349	-0.0498509	No	
row_16	ATF5	ATF5	ATF5	activating transcription factor 5	4754	0.04604469612240791	-0.058797374	No	
row_17	STX5	STX5	STX5	syntaxin 5	4880	0.03710286691784859	-0.066071644	No	
row_18	GUSB	GUSB	GUSB	glucuronidase, beta	5121	0.018829284235835075	-0.082458384	No	
row_19	ALDOC	ALDOC	ALDOC	aldolase C, fructose-bisphosphate	5431	-0.003471429692581296	-0.10451551	No	
row_20	CD9	CD9	CD9	CD9 molecule	5492	-0.007300889119505882	-0.10849243	No	
row_21	ATF3	ATF3	ATF3	activating transcription factor 3	5723	-0.025230124592781067	-0.12386457	No	
row_22	ANXA5	ANXA5	ANXA5	annexin A5	6102	-0.05155350640416145	-0.1486625	No	
row_23	PLSCR1	PLSCR1	PLSCR1	phospholipid scramblase 1	6422	-0.07316824793815613	-0.16822012	No	
row_24	CPEB2	CPEB2	CPEB2	cytoplasmic polyadenylation element binding protein 2	6752	-0.09557424485683441	-0.18746206	No	
row_25	STARD4	STARD4	STARD4	START domain containing 4, sterol regulated	7089	-0.11590198427438736	-0.20626861	No	
row_26	ATXN2	ATXN2	ATXN2	ataxin 2	7221	-0.1240273118019104	-0.2099602	No	
row_27	ANTXR2	ANTXR2	ANTXR2	anthrax toxin receptor 2	7345	-0.13133464753627777	-0.21273917	No	
row_28	SQLE	SQLE	SQLE	squalene epoxidase	7356	-0.1323518604040146	-0.20734634	No	
row_29	FADS2	FADS2	FADS2	fatty acid desaturase 2	7391	-0.1347319483757019	-0.2035692	No	
row_30	FAM129A	FAM129A	null	null	7758	-0.15649382770061493	-0.2226583	No	
row_31	ACAT2	ACAT2	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	8131	-0.17948684096336365	-0.24111702	No	
row_32	CTNNB1	CTNNB1	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	8283	-0.1890900433063507	-0.24324213	No	
row_33	S100A11	S100A11	S100A11	S100 calcium binding protein A11	8308	-0.19055186212062836	-0.2361683	No	
row_34	SREBF2	SREBF2	SREBF2	sterol regulatory element binding transcription factor 2	8552	-0.20567186176776886	-0.24414258	No	
row_35	FASN	FASN	FASN	fatty acid synthase	8624	-0.21002978086471558	-0.23954862	No	
row_36	PMVK	PMVK	PMVK	phosphomevalonate kinase	8729	-0.2162134200334549	-0.23704186	No	
