NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAPGEF3	RAPGEF3	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3	24	1.0404998064041138	0.03777313	Yes	
row_1	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	71	0.881489098072052	0.067925915	Yes	
row_2	CFD	CFD	CFD	complement factor D (adipsin)	94	0.8331959247589111	0.09797307	Yes	
row_3	VWF	VWF	VWF	von Willebrand factor	145	0.7587382793426514	0.12317787	Yes	
row_4	APOC1	APOC1	APOC1	apolipoprotein C-I	236	0.6870232820510864	0.14278057	Yes	
row_5	CTSO	CTSO	CTSO	cathepsin O	710	0.5476189255714417	0.1295192	Yes	
row_6	MMP9	MMP9	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	713	0.5458205938339233	0.1500964	Yes	
row_7	LGMN	LGMN	LGMN	legumain	735	0.5400558114051819	0.16908696	Yes	
row_8	C3	C3	C3	complement component 3	837	0.5111444592475891	0.18122083	Yes	
row_9	PLEK	PLEK	PLEK	pleckstrin	914	0.4959542155265808	0.19457774	Yes	
row_10	LRP1	LRP1	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	973	0.4839113652706146	0.20877327	Yes	
row_11	SERPING1	SERPING1	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	1094	0.45885956287384033	0.21755444	Yes	
row_12	FBN1	FBN1	FBN1	fibrillin 1	1111	0.45683354139328003	0.23374555	Yes	
row_13	A2M	A2M	A2M	alpha-2-macroglobulin	1225	0.4339333176612854	0.24208435	Yes	
row_14	SPARC	SPARC	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1305	0.4172447919845581	0.25223723	Yes	
row_15	F8	F8	F8	coagulation factor VIII, procoagulant component (hemophilia A)	1327	0.4128049612045288	0.2663969	Yes	
row_16	CLU	CLU	CLU	clusterin	1610	0.36080068349838257	0.2597932	Yes	
row_17	C1S	C1S	C1S	complement component 1, s subcomponent	1681	0.34937217831611633	0.26801732	Yes	
row_18	CAPN5	CAPN5	CAPN5	calpain 5	1759	0.33898577094078064	0.27534318	Yes	
row_19	PLAU	PLAU	PLAU	plasminogen activator, urokinase	1814	0.3318803906440735	0.28405508	Yes	
row_20	THBD	THBD	THBD	thrombomodulin	1880	0.3232348561286926	0.29164687	Yes	
row_21	MMP15	MMP15	MMP15	matrix metallopeptidase 15 (membrane-inserted)	1991	0.3081754744052887	0.29542744	Yes	
row_22	CFH	CFH	CFH	complement factor H	1995	0.3077937364578247	0.30689636	Yes	
row_23	MSRB2	MSRB2	MSRB2	methionine sulfoxide reductase B2	2031	0.3033650517463684	0.3158935	Yes	
