NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCK	DCK	DCK	deoxycytidine kinase	616	0.5724514126777649	-0.03421994	No	
row_1	SHMT1	SHMT1	SHMT1	serine hydroxymethyltransferase 1 (soluble)	1568	0.36840540170669556	-0.096481055	No	
row_2	PAN2	PAN2	null	null	1783	0.33619818091392517	-0.10585602	No	
row_3	LBR	LBR	LBR	lamin B receptor	2181	0.2846828103065491	-0.12945192	No	
row_4	POLD3	POLD3	POLD3	polymerase (DNA-directed), delta 3, accessory subunit	2542	0.24433648586273193	-0.15110151	No	
row_5	DDX39A	DDX39A	null	null	2690	0.22892698645591736	-0.15757817	No	
row_6	TACC3	TACC3	TACC3	transforming, acidic coiled-coil containing protein 3	2712	0.22643817961215973	-0.154958	No	
row_7	CDKN1B	CDKN1B	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	2901	0.20357145369052887	-0.16487356	No	
row_8	MXD3	MXD3	MXD3	MAX dimerization protein 3	3157	0.1784144639968872	-0.18011092	No	
row_9	NCAPD2	NCAPD2	NCAPD2	non-SMC condensin I complex, subunit D2	3233	0.1713949590921402	-0.18241622	No	
row_10	PLK4	PLK4	PLK4	polo-like kinase 4 (Drosophila)	3393	0.1566697061061859	-0.19108589	No	
row_11	CENPE	CENPE	CENPE	centromere protein E, 312kDa	3512	0.14482617378234863	-0.19699742	No	
row_12	GINS4	GINS4	GINS4	GINS complex subunit 4 (Sld5 homolog)	3711	0.12886375188827515	-0.20900574	No	
row_13	MYBL2	MYBL2	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	3811	0.12112122774124146	-0.21397246	No	
row_14	PRDX4	PRDX4	PRDX4	peroxiredoxin 4	3827	0.11993955075740814	-0.2128659	No	
row_15	HMGB2	HMGB2	HMGB2	high-mobility group box 2	3914	0.11334693431854248	-0.21703164	No	
row_16	SSRP1	SSRP1	SSRP1	structure specific recognition protein 1	4115	0.09702079743146896	-0.22976781	No	
row_17	CENPM	CENPM	CENPM	centromere protein M	4128	0.09630940854549408	-0.22887602	No	
row_18	BRCA2	BRCA2	BRCA2	breast cancer 2, early onset	4361	0.07743025571107864	-0.24429259	No	
row_19	SUV39H1	SUV39H1	SUV39H1	suppressor of variegation 3-9 homolog 1 (Drosophila)	4482	0.06691155582666397	-0.2517751	No	
row_20	CTCF	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	4540	0.061649225652217865	-0.2547827	No	
row_21	DNMT1	DNMT1	DNMT1	DNA (cytosine-5-)-methyltransferase 1	4613	0.056610699743032455	-0.25897092	No	
row_22	ESPL1	ESPL1	ESPL1	extra spindle poles like 1 (S. cerevisiae)	4744	0.04659048467874527	-0.26755092	No	
row_23	CDCA3	CDCA3	CDCA3	cell division cycle associated 3	4979	0.02884000912308693	-0.2840018	No	
row_24	TIMELESS	TIMELESS	TIMELESS	timeless homolog (Drosophila)	5043	0.024233931675553322	-0.28812948	No	
row_25	TMPO	TMPO	TMPO	thymopoietin	5155	0.016456564888358116	-0.2958823	No	
row_26	MAD2L1	MAD2L1	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	5156	0.016357745975255966	-0.29558295	No	
row_27	POLE	POLE	POLE	polymerase (DNA directed), epsilon	5218	0.011779850348830223	-0.29979345	No	
row_28	SRSF2	SRSF2	null	null	5296	0.005771454423666	-0.3052748	No	
row_29	HNRNPD	HNRNPD	null	null	5318	0.004305500537157059	-0.30671975	No	
row_30	POLD1	POLD1	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	5340	0.0027872463688254356	-0.30819246	No	
row_31	RAD51AP1	RAD51AP1	RAD51AP1	RAD51 associated protein 1	5425	-0.0031837141141295433	-0.3142291	No	
row_32	RFC1	RFC1	RFC1	replication factor C (activator 1) 1, 145kDa	5455	-0.005329957697540522	-0.31623578	No	
row_33	TK1	TK1	TK1	thymidine kinase 1, soluble	5479	-0.006676951888948679	-0.31778243	No	
row_34	ORC2	ORC2	null	null	5584	-0.016255592927336693	-0.325031	No	
row_35	RPA3	RPA3	RPA3	replication protein A3, 14kDa	5613	-0.017664819955825806	-0.32673937	No	
row_36	TBRG4	TBRG4	TBRG4	transforming growth factor beta regulator 4	5795	-0.030353067442774773	-0.33931696	No	
row_37	NBN	NBN	NBN	nibrin	5803	-0.03097538650035858	-0.33925802	No	
row_38	NUP107	NUP107	NUP107	nucleoporin 107kDa	5830	-0.032883550971746445	-0.34054276	No	
row_39	RPA2	RPA2	RPA2	replication protein A2, 32kDa	5915	-0.03872905671596527	-0.3459289	No	
row_40	LIG1	LIG1	LIG1	ligase I, DNA, ATP-dependent	5950	-0.040878280997276306	-0.34764782	No	
row_41	PTTG1	PTTG1	PTTG1	pituitary tumor-transforming 1	6290	-0.06465884298086166	-0.37106183	No	
row_42	SPAG5	SPAG5	SPAG5	sperm associated antigen 5	6344	-0.06748700886964798	-0.3736724	No	
row_43	H2AFZ	H2AFZ	H2AFZ	H2A histone family, member Z	6442	-0.074089914560318	-0.37935472	No	
row_44	RQCD1	RQCD1	RQCD1	RCD1 required for cell differentiation1 homolog (S. pombe)	6575	-0.08257430046796799	-0.38742128	No	
row_45	DCLRE1B	DCLRE1B	DCLRE1B	DNA cross-link repair 1B (PSO2 homolog, S. cerevisiae)	6721	-0.09260635823011398	-0.39624754	No	
row_46	ASF1A	ASF1A	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	6846	-0.10120124369859695	-0.40339276	No	
row_47	AURKA	AURKA	AURKA	aurora kinase A	6890	-0.10398202389478683	-0.40460986	No	
