NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SFRP4	SFRP4	SFRP4	secreted frizzled-related protein 4	57	0.9198423624038696	0.0143046975	Yes	
row_1	ACTA2	ACTA2	ACTA2	actin, alpha 2, smooth muscle, aorta	87	0.8423115611076355	0.02908247	Yes	
row_2	PCOLCE2	PCOLCE2	PCOLCE2	procollagen C-endopeptidase enhancer 2	91	0.8385621309280396	0.04566686	Yes	
row_3	COL8A2	COL8A2	COL8A2	collagen, type VIII, alpha 2	131	0.7742077112197876	0.05835635	Yes	
row_4	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	263	0.6749404668807983	0.06239845	Yes	
row_5	FMOD	FMOD	FMOD	fibromodulin	306	0.6616548895835876	0.0726157	Yes	
row_6	SLIT3	SLIT3	SLIT3	slit homolog 3 (Drosophila)	309	0.6607147455215454	0.085709095	Yes	
row_7	PDGFRB	PDGFRB	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	386	0.6371862292289734	0.09297535	Yes	
row_8	CXCL12	CXCL12	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	424	0.6264317631721497	0.10284873	Yes	
row_9	TAGLN	TAGLN	TAGLN	transgelin	433	0.6229563355445862	0.114751354	Yes	
row_10	DCN	DCN	DCN	decorin	478	0.6069093942642212	0.123726964	Yes	
row_11	IL32	IL32	IL32	interleukin 32	504	0.6008564829826355	0.13395642	Yes	
row_12	BASP1	BASP1	BASP1	brain abundant, membrane attached signal protein 1	589	0.5792708396911621	0.13948327	Yes	
row_13	IGFBP4	IGFBP4	IGFBP4	insulin-like growth factor binding protein 4	662	0.5591883063316345	0.14547625	Yes	
row_14	THY1	THY1	THY1	Thy-1 cell surface antigen	755	0.5346164107322693	0.14952941	Yes	
row_15	ECM2	ECM2	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	792	0.5238181948661804	0.1574192	Yes	
row_16	LUM	LUM	LUM	lumican	794	0.5231615900993347	0.16782895	Yes	
row_17	FBLN2	FBLN2	FBLN2	fibulin 2	816	0.5164369344711304	0.17665645	Yes	
row_18	JUN	JUN	JUN	jun oncogene	832	0.5125520825386047	0.18584038	Yes	
row_19	LOXL1	LOXL1	LOXL1	lysyl oxidase-like 1	971	0.4845679998397827	0.18556154	Yes	
row_20	LRP1	LRP1	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	973	0.4839113652706146	0.19518486	Yes	
row_21	FBN1	FBN1	FBN1	fibrillin 1	1111	0.45683354139328003	0.19442269	Yes	
row_22	WIPF1	WIPF1	WIPF1	WAS/WASL interacting protein family, member 1	1135	0.4523671865463257	0.20182176	Yes	
row_23	COL3A1	COL3A1	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	1145	0.4504706561565399	0.21019606	Yes	
