NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCIRG1	TCIRG1	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	377	0.6403725147247314	-0.014927368	No	
row_1	NDUFA3	NDUFA3	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	656	0.5606400966644287	-0.024217928	No	
row_2	ECH1	ECH1	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	695	0.5510245561599731	-0.01627737	No	
row_3	COX6B1	COX6B1	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	825	0.5138547420501709	-0.01566273	No	
row_4	COX4I1	COX4I1	COX4I1	cytochrome c oxidase subunit IV isoform 1	911	0.49691542983055115	-0.012183712	No	
row_5	BCKDHA	BCKDHA	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	995	0.4805310070514679	-0.008877654	No	
row_6	NDUFB8	NDUFB8	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	1224	0.43440505862236023	-0.016990412	No	
row_7	TIMM10	TIMM10	TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	1244	0.4306899905204773	-0.01000729	No	
row_8	ACAA1	ACAA1	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	1356	0.40525588393211365	-0.010194809	No	
row_9	ACADVL	ACADVL	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	1650	0.35394319891929626	-0.024587093	No	
row_10	ATP5D	ATP5D	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	1667	0.3518754243850708	-0.018916467	No	
row_11	NDUFC2	NDUFC2	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	1803	0.3333941102027893	-0.022240994	No	
row_12	SURF1	SURF1	SURF1	surfeit 1	1862	0.32538214325904846	-0.020132864	No	
row_13	NDUFS7	NDUFS7	NDUFS7	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	1882	0.3230591118335724	-0.015239442	No	
row_14	UQCR11	UQCR11	null	null	1894	0.32105717062950134	-0.009804295	No	
row_15	MRPL34	MRPL34	MRPL34	mitochondrial ribosomal protein L34	1945	0.31512799859046936	-0.007314659	No	
row_16	NDUFB1	NDUFB1	NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	1961	0.31268978118896484	-0.0023322655	No	
row_17	MRPS12	MRPS12	MRPS12	mitochondrial ribosomal protein S12	2032	0.3033016622066498	-0.0015237273	No	
row_18	ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	2135	0.2913160026073456	-0.0032702705	No	
row_19	NDUFV1	NDUFV1	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	2226	0.2787439525127411	-0.0043900153	No	
row_20	CPT1A	CPT1A	CPT1A	carnitine palmitoyltransferase 1A (liver)	2479	0.2529173791408539	-0.017768215	No	
row_21	ATP5E	ATP5E	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	2493	0.2506442964076996	-0.013845313	No	
row_22	RHOT2	RHOT2	RHOT2	ras homolog gene family, member T2	2504	0.24900054931640625	-0.009736602	No	
row_23	ATP1B1	ATP1B1	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	2525	0.24637357890605927	-0.0064046374	No	
row_24	TIMM50	TIMM50	TIMM50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	2592	0.23821553587913513	-0.0065694773	No	
row_25	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	2617	0.23516929149627686	-0.0037453452	No	
row_26	PDK4	PDK4	PDK4	pyruvate dehydrogenase kinase, isozyme 4	2698	0.22799676656723022	-0.005124626	No	
row_27	IDH2	IDH2	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	2719	0.22545398771762848	-0.002198824	No	
row_28	CYB5A	CYB5A	CYB5A	cytochrome b5 type A (microsomal)	2874	0.2061164826154709	-0.009373412	No	
row_29	ETFB	ETFB	ETFB	electron-transfer-flavoprotein, beta polypeptide	2891	0.20444536209106445	-0.006565204	No	
row_30	SLC25A20	SLC25A20	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	2983	0.19600416719913483	-0.009363951	No	
row_31	NDUFA9	NDUFA9	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa	3116	0.18194302916526794	-0.015411245	No	
row_32	ISCU	ISCU	null	null	3185	0.17617420852184296	-0.016925793	No	
row_33	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	3544	0.1420331448316574	-0.040149722	No	
row_34	MRPL11	MRPL11	MRPL11	mitochondrial ribosomal protein L11	3587	0.13791897892951965	-0.040520083	No	
row_35	NDUFB7	NDUFB7	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	3707	0.12900610268115997	-0.046651706	No	
row_36	NDUFA2	NDUFA2	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa	3757	0.12544336915016174	-0.047772303	No	
row_37	DECR1	DECR1	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	3776	0.1235804334282875	-0.046679273	No	
row_38	ATP5L	ATP5L	ATP5L	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	3824	0.12006786465644836	-0.04775909	No	
row_39	NDUFC1	NDUFC1	NDUFC1	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa	3850	0.11758968234062195	-0.047290392	No	
row_40	ACO2	ACO2	ACO2	aconitase 2, mitochondrial	3968	0.10934408754110336	-0.053658612	No	
row_41	MFN2	MFN2	MFN2	mitofusin 2	4061	0.10204125940799713	-0.058354262	No	
row_42	COX6C	COX6C	COX6C	cytochrome c oxidase subunit VIc	4087	0.10004453361034393	-0.058226213	No	
row_43	NDUFS8	NDUFS8	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	4211	0.0900694876909256	-0.0654041	No	
row_44	BDH2	BDH2	BDH2	3-hydroxybutyrate dehydrogenase, type 2	4249	0.08754842728376389	-0.06638955	No	
row_45	NDUFA1	NDUFA1	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa	4293	0.08386620879173279	-0.06788195	No	
