NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	137	0.5549522	2.97121	0.0	0.0	0.0	2460	tags=55%, list=18%, signal=67%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	171	0.5433691	2.944691	0.0	0.0	0.0	2896	tags=56%, list=21%, signal=69%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	86	0.54830337	2.7179527	0.0	0.0	0.0	3806	tags=66%, list=27%, signal=91%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	65	0.52184635	2.4573586	0.0	0.0	0.0	2427	tags=43%, list=17%, signal=52%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	141	0.40376094	2.1455579	0.0	0.0	0.0	2346	tags=40%, list=17%, signal=47%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	141	0.37475842	1.9854217	0.0	7.2131405E-4	0.003	2563	tags=42%, list=18%, signal=51%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.36206326	1.9130119	0.0	0.0015784964	0.006	2596	tags=38%, list=19%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	175	0.3297763	1.806801	0.0	0.0032592341	0.014	3046	tags=42%, list=22%, signal=53%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	158	0.30710807	1.6431668	0.0	0.011495049	0.058	2561	tags=34%, list=18%, signal=41%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	118	0.31450757	1.6379604	0.0	0.010520545	0.059	1909	tags=28%, list=14%, signal=32%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	84	0.3284713	1.6108496	0.0040816325	0.011573454	0.073	2555	tags=35%, list=18%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	158	0.3008098	1.6104846	0.0	0.010609	0.073	1865	tags=25%, list=13%, signal=29%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	0.44984522	1.59937	0.023323616	0.010547719	0.078	1880	tags=36%, list=13%, signal=42%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	54	0.35690337	1.5859066	0.0	0.01048806	0.084	2861	tags=41%, list=20%, signal=51%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	142	0.26680052	1.3960587	0.005586592	0.043935183	0.323	2980	tags=35%, list=21%, signal=44%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	136	0.2633504	1.3858278	0.00896861	0.044008214	0.343	2941	tags=35%, list=21%, signal=43%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	0.34890297	1.3544246	0.07575758	0.052925397	0.423	1616	tags=31%, list=12%, signal=35%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	170	0.21825168	1.1910201	0.103658535	0.16988125	0.836	2781	tags=28%, list=20%, signal=34%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	0.30239496	1.1716677	0.18624642	0.18229704	0.872	1519	tags=24%, list=11%, signal=27%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	133	0.20867237	1.1021363	0.2263158	0.268499	0.96	2042	tags=21%, list=15%, signal=24%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	35	0.16379416	0.6517679	0.95527154	0.9775071	1.0	2138	tags=20%, list=15%, signal=24%	
