NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPARG	PPARG	PPARG	peroxisome proliferative activated receptor, gamma	45	0.6637307405471802	0.014664063	No	
row_1	ALDH2	ALDH2	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	58	0.6357713341712952	0.030964678	No	
row_2	ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	185	0.5098015069961548	0.035601154	No	
row_3	IFNGR1	IFNGR1	IFNGR1	interferon gamma receptor 1	198	0.5042166113853455	0.048348863	No	
row_4	SPARCL1	SPARCL1	SPARCL1	SPARC-like 1 (mast9, hevin)	205	0.5010610818862915	0.061446197	No	
row_5	BCL6	BCL6	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	292	0.4623054563999176	0.06769891	No	
row_6	ARL4A	ARL4A	ARL4A	ADP-ribosylation factor-like 4A	464	0.4157516658306122	0.066534035	No	
row_7	ELMOD3	ELMOD3	null	null	539	0.39911261200904846	0.071949795	No	
row_8	UCP2	UCP2	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	664	0.37436017394065857	0.07307335	No	
row_9	FZD4	FZD4	FZD4	frizzled homolog 4 (Drosophila)	712	0.36438924074172974	0.07950813	No	
row_10	ECH1	ECH1	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	792	0.35039907693862915	0.08324591	No	
row_11	DNAJC15	DNAJC15	DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	1134	0.2946052551269531	0.0664886	No	
row_12	C3	C3	C3	complement component 3	1147	0.29326584935188293	0.07353915	No	
row_13	HADH	HADH	HADH	hydroxyacyl-Coenzyme A dehydrogenase	1250	0.28074130415916443	0.07372877	No	
row_14	CD302	CD302	CD302	CD302 molecule	1271	0.27821171283721924	0.07979296	No	
row_15	COL15A1	COL15A1	COL15A1	collagen, type XV, alpha 1	1297	0.27433738112449646	0.08539015	No	
row_16	ARAF	ARAF	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	1327	0.2693353593349457	0.09056235	No	
