NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTM1	GSTM1	GSTM1	glutathione S-transferase M1	4	0.9211304783821106	0.028950283	Yes	
row_1	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	140	0.5418136715888977	0.036389805	Yes	
row_2	CFLAR	CFLAR	CFLAR	CASP8 and FADD-like apoptosis regulator	150	0.536913275718689	0.052782428	Yes	
row_3	IFNGR1	IFNGR1	IFNGR1	interferon gamma receptor 1	198	0.5042166113853455	0.0653901	Yes	
row_4	DCN	DCN	DCN	decorin	264	0.47439032793045044	0.07574977	Yes	
row_5	TXNIP	TXNIP	TXNIP	thioredoxin interacting protein	309	0.4561704695224762	0.08704919	Yes	
row_6	PLCB2	PLCB2	PLCB2	phospholipase C, beta 2	377	0.4383438527584076	0.09612005	Yes	
row_7	ISG20	ISG20	ISG20	interferon stimulated exonuclease gene 20kDa	398	0.43121978640556335	0.108362444	Yes	
row_8	JUN	JUN	JUN	jun oncogene	408	0.4288994371891022	0.12132638	Yes	
row_9	PDGFRB	PDGFRB	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	439	0.42163461446762085	0.1325416	Yes	
row_10	CASP8	CASP8	CASP8	caspase 8, apoptosis-related cysteine peptidase	444	0.4199017584323883	0.14558138	Yes	
row_11	BIRC3	BIRC3	BIRC3	baculoviral IAP repeat-containing 3	462	0.4162429869174957	0.15756524	Yes	
row_12	CASP4	CASP4	CASP4	caspase 4, apoptosis-related cysteine peptidase	550	0.3962523639202118	0.16385417	Yes	
row_13	CCND2	CCND2	CCND2	cyclin D2	570	0.39068323373794556	0.1748821	Yes	
row_14	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	584	0.3874148726463318	0.18624003	Yes	
row_15	IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	587	0.3871709406375885	0.19838542	Yes	
row_16	LUM	LUM	LUM	lumican	644	0.3775149881839752	0.20632058	Yes	
row_17	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	796	0.3500591218471527	0.2065166	Yes	
row_18	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	807	0.34726041555404663	0.21681677	Yes	
row_19	ADD1	ADD1	ADD1	adducin 1 (alpha)	851	0.3382710814476013	0.224446	Yes	
row_20	TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	896	0.33259013295173645	0.23182261	Yes	
row_21	GADD45B	GADD45B	GADD45B	growth arrest and DNA-damage-inducible, beta	963	0.32282865047454834	0.23729897	Yes	
row_22	LPPR4	LPPR4	LPPR4	-	1085	0.30250653624534607	0.23815423	Yes	
row_23	CYLD	CYLD	CYLD	cylindromatosis (turban tumor syndrome)	1172	0.2899460196495056	0.24114098	Yes	
row_24	BTG2	BTG2	BTG2	BTG family, member 2	1300	0.27375972270965576	0.24064998	Yes	
row_25	IGFBP6	IGFBP6	IGFBP6	insulin-like growth factor binding protein 6	1323	0.27002254128456116	0.24763091	Yes	
row_26	CD2	CD2	CD2	CD2 molecule	1509	0.24860425293445587	0.24214853	Yes	
row_27	EGR3	EGR3	EGR3	early growth response 3	1557	0.2425885647535324	0.24645135	Yes	
row_28	RNASEL	RNASEL	RNASEL	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)	1605	0.23640106618404388	0.25055775	Yes	
row_29	LEF1	LEF1	LEF1	lymphoid enhancer-binding factor 1	1635	0.2338302880525589	0.2558838	Yes	
row_30	CLU	CLU	CLU	clusterin	1644	0.2322199046611786	0.26267684	Yes	
row_31	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	1745	0.2229333370923996	0.2625243	Yes	
row_32	GNA15	GNA15	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	1842	0.21381065249443054	0.2623714	Yes	
row_33	CREBBP	CREBBP	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	1891	0.2099909633398056	0.26556715	Yes	
row_34	KRT18	KRT18	KRT18	keratin 18	2012	0.1992325335741043	0.2632165	Yes	
row_35	IFITM3	IFITM3	IFITM3	interferon induced transmembrane protein 3 (1-8U)	2054	0.19610781967639923	0.2664776	Yes	
row_36	CD44	CD44	CD44	CD44 molecule (Indian blood group)	2113	0.19171684980392456	0.26837042	Yes	
row_37	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	2169	0.1853743940591812	0.27027875	Yes	
row_38	AIFM3	AIFM3	null	null	2258	0.17659147083759308	0.2695227	Yes	
row_39	MGMT	MGMT	MGMT	O-6-methylguanine-DNA methyltransferase	2420	0.16316823661327362	0.2630633	Yes	
row_40	MMP2	MMP2	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	2444	0.16064505279064178	0.2665	Yes	
row_41	CCND1	CCND1	CCND1	cyclin D1	2448	0.1603301763534546	0.27137247	Yes	
row_42	BAX	BAX	BAX	BCL2-associated X protein	2540	0.15320053696632385	0.26965705	No	
row_43	CDKN1B	CDKN1B	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	2594	0.1487024426460266	0.2705459	No	
row_44	RHOT2	RHOT2	RHOT2	ras homolog gene family, member T2	2801	0.13414238393306732	0.25991204	No	
row_45	BGN	BGN	BGN	biglycan	3165	0.10831703245639801	0.23710875	No	
row_46	ATF3	ATF3	ATF3	activating transcription factor 3	3349	0.09699804335832596	0.22695853	No	
row_47	SMAD7	SMAD7	SMAD7	SMAD, mothers against DPP homolog 7 (Drosophila)	3350	0.09680958092212677	0.23003156	No	
row_48	PAK1	PAK1	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	3446	0.09075143188238144	0.22604465	No	
row_49	HMOX1	HMOX1	HMOX1	heme oxygenase (decycling) 1	3553	0.08297749608755112	0.22101577	No	
row_50	HGF	HGF	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	3663	0.07679704576730728	0.21557383	No	
row_51	BID	BID	BID	BH3 interacting domain death agonist	3687	0.07512704282999039	0.2162959	No	
row_52	MCL1	MCL1	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)	3836	0.06540738046169281	0.20767307	No	
row_53	BCL2L11	BCL2L11	BCL2L11	BCL2-like 11 (apoptosis facilitator)	3841	0.06529947370290756	0.20945671	No	
row_54	DNAJC3	DNAJC3	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	3971	0.05681365728378296	0.20193462	No	
row_55	CASP6	CASP6	CASP6	caspase 6, apoptosis-related cysteine peptidase	4105	0.04916752874851227	0.19388066	No	
row_56	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	4114	0.048671744763851166	0.19484732	No	
row_57	HMGB2	HMGB2	HMGB2	high-mobility group box 2	4174	0.045344408601522446	0.19202152	No	
row_58	XIAP	XIAP	null	null	4180	0.04519479349255562	0.19309469	No	
row_59	CD38	CD38	CD38	CD38 molecule	4264	0.04007083922624588	0.1883665	No	
row_60	IRF1	IRF1	IRF1	interferon regulatory factor 1	4295	0.03835882619023323	0.1874154	No	
row_61	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	4473	0.028727853670716286	0.17553183	No	
row_62	PDCD4	PDCD4	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	4477	0.02856418304145336	0.17622167	No	
row_63	BCL10	BCL10	BCL10	B-cell CLL/lymphoma 10	4600	0.021790191531181335	0.16809386	No	
row_64	BMF	BMF	BMF	Bcl2 modifying factor	4631	0.020402085036039352	0.16657276	No	
row_65	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	4784	0.012316182255744934	0.15597549	No	
row_66	TIMP1	TIMP1	TIMP1	TIMP metallopeptidase inhibitor 1	4867	0.007634858600795269	0.15029	No	
row_67	RHOB	RHOB	RHOB	ras homolog gene family, member B	4907	0.006020719651132822	0.14766178	No	
row_68	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	5074	-0.0029020525980740786	0.1357536	No	
row_69	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	5088	-0.003600388765335083	0.1349281	No	
row_70	ERBB2	ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	5341	-0.016649724915623665	0.11723931	No	
row_71	SPTAN1	SPTAN1	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	5526	-0.024940285831689835	0.104729466	No	
row_72	DNM1L	DNM1L	DNM1L	dynamin 1-like	5555	-0.026706637814641	0.10355307	No	
row_73	BMP2	BMP2	BMP2	bone morphogenetic protein 2	5562	-0.027008377015590668	0.10397665	No	
row_74	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	5591	-0.02799922786653042	0.10284129	No	
row_75	PSEN1	PSEN1	PSEN1	presenilin 1 (Alzheimer disease 3)	5900	-0.04247504845261574	0.08192398	No	
row_76	PMAIP1	PMAIP1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	6098	-0.051494453102350235	0.06931726	No	
row_77	TSPO	TSPO	TSPO	translocator protein (18kDa)	6155	-0.054802242666482925	0.067008555	No	
row_78	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	6184	-0.05600189045071602	0.06676208	No	
row_79	GPX1	GPX1	GPX1	glutathione peroxidase 1	6228	-0.057644568383693695	0.065483384	No	
