NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASP10	CASP10	CASP10	caspase 10, apoptosis-related cysteine peptidase	153	0.5341092348098755	0.0066607087	Yes	
row_1	CTSO	CTSO	CTSO	cathepsin O	186	0.5091860294342041	0.021241093	Yes	
row_2	PIK3R5	PIK3R5	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5, p101	337	0.4476222097873688	0.025249235	Yes	
row_3	GCA	GCA	GCA	grancalcin, EF-hand calcium binding protein	378	0.4378162622451782	0.036883462	Yes	
row_4	F8	F8	F8	coagulation factor VIII, procoagulant component (hemophilia A)	387	0.4350230097770691	0.05073816	Yes	
row_5	CDK5R1	CDK5R1	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	454	0.41766178607940674	0.059824288	Yes	
row_6	CASP4	CASP4	CASP4	caspase 4, apoptosis-related cysteine peptidase	550	0.3962523639202118	0.066103816	Yes	
row_7	CPM	CPM	CPM	carboxypeptidase M	610	0.38375547528266907	0.07457101	Yes	
row_8	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	796	0.3500591218471527	0.07281226	Yes	
row_9	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	807	0.34726041555404663	0.08361064	Yes	
row_10	USP15	USP15	USP15	ubiquitin specific peptidase 15	809	0.3470209240913391	0.095051646	Yes	
row_11	WAS	WAS	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	833	0.342022567987442	0.10473653	Yes	
row_12	IRF7	IRF7	IRF7	interferon regulatory factor 7	935	0.32634851336479187	0.10826311	Yes	
row_13	DOCK9	DOCK9	DOCK9	dedicator of cytokinesis 9	941	0.32574188709259033	0.11870899	Yes	
row_14	CA2	CA2	CA2	carbonic anhydrase II	998	0.317076176404953	0.1251808	Yes	
row_15	F3	F3	F3	coagulation factor III (thromboplastin, tissue factor)	1016	0.31404590606689453	0.13437119	Yes	
row_16	IRF2	IRF2	IRF2	interferon regulatory factor 2	1034	0.3106115460395813	0.14344767	Yes	
row_17	S100A9	S100A9	S100A9	S100 calcium binding protein A9	1129	0.2958773374557495	0.14646928	Yes	
row_18	CFH	CFH	CFH	complement factor H	1130	0.29551419615745544	0.15627371	Yes	
row_19	TNFAIP3	TNFAIP3	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	1133	0.2947102189064026	0.16590689	Yes	
row_20	C3	C3	C3	complement component 3	1147	0.29326584935188293	0.17469701	Yes	
row_21	PLEK	PLEK	PLEK	pleckstrin	1164	0.2906612157821655	0.18318385	Yes	
row_22	PIM1	PIM1	PIM1	pim-1 oncogene	1167	0.29036712646484375	0.19267294	Yes	
row_23	DOCK10	DOCK10	DOCK10	dedicator of cytokinesis 10	1185	0.28875213861465454	0.20102416	Yes	
row_24	CFB	CFB	CFB	complement factor B	1392	0.2627086043357849	0.19484933	Yes	
row_25	LRP1	LRP1	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	1410	0.26047512888908386	0.2022624	Yes	
row_26	LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	1430	0.2579759657382965	0.20944797	Yes	
row_27	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	1472	0.252536803483963	0.2148628	Yes	
row_28	GNGT2	GNGT2	GNGT2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	1489	0.2504923641681671	0.22201695	Yes	
row_29	CLU	CLU	CLU	clusterin	1644	0.2322199046611786	0.21858943	Yes	
row_30	SPOCK2	SPOCK2	SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	1668	0.22998255491256714	0.2245571	Yes	
row_31	AKAP10	AKAP10	AKAP10	A kinase (PRKA) anchor protein 10	1689	0.22808754444122314	0.23067877	Yes	
row_32	RHOG	RHOG	RHOG	ras homolog gene family, member G (rho G)	1755	0.22186370193958282	0.23334108	Yes	
row_33	ANG	ANG	ANG	angiogenin, ribonuclease, RNase A family, 5	1763	0.22151333093643188	0.24018435	Yes	
row_34	C1S	C1S	C1S	complement component 1, s subcomponent	1859	0.2125103771686554	0.24036779	Yes	
row_35	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	1907	0.20795363187789917	0.24386974	Yes	
row_36	JAK2	JAK2	JAK2	Janus kinase 2 (a protein tyrosine kinase)	1933	0.2062266767024994	0.24890469	Yes	
row_37	KYNU	KYNU	KYNU	kynureninase (L-kynurenine hydrolase)	1946	0.20508360862731934	0.25484142	Yes	
row_38	VCPIP1	VCPIP1	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	1968	0.20253850519657135	0.26004314	Yes	
