NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLD4	POLD4	POLD4	polymerase (DNA-directed), delta 4	247	0.47993019223213196	-0.0029083071	No	
row_1	HCLS1	HCLS1	HCLS1	hematopoietic cell-specific Lyn substrate 1	525	0.40222081542015076	-0.010403425	No	
row_2	ERCC5	ERCC5	ERCC5	me))	553	0.39534682035446167	-4.7635534E-5	No	
row_3	APRT	APRT	APRT	adenine phosphoribosyltransferase	1022	0.3129192292690277	-0.024124209	No	
row_4	BCAM	BCAM	BCAM	basal cell adhesion molecule (Lutheran blood group)	1449	0.2559705972671509	-0.046938643	No	
row_5	RRM2B	RRM2B	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)	1637	0.2335435003042221	-0.053181175	No	
row_6	ELL	ELL	ELL	elongation factor RNA polymerase II	1707	0.22634078562259674	-0.0511213	No	
row_7	SURF1	SURF1	SURF1	surfeit 1	1806	0.21787095069885254	-0.051420603	No	
row_8	CLP1	CLP1	null	null	1815	0.2168015092611313	-0.04524984	No	
row_9	RAD52	RAD52	RAD52	RAD52 homolog (S. cerevisiae)	1821	0.2161925584077835	-0.038881253	No	
row_10	NME3	NME3	NME3	non-metastatic cells 3, protein expressed in	1991	0.20057342946529388	-0.044849444	No	
row_11	SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	2011	0.19945859909057617	-0.040013406	No	
row_12	DDB2	DDB2	DDB2	damage-specific DNA binding protein 2, 48kDa	2014	0.1989472359418869	-0.033964872	No	
row_13	ADA	ADA	ADA	adenosine deaminase	2044	0.1968797892332077	-0.029931705	No	
row_14	TAF1C	TAF1C	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	2078	0.19406473636627197	-0.026275208	No	
row_15	SUPT5H	SUPT5H	SUPT5H	suppressor of Ty 5 homolog (S. cerevisiae)	2320	0.1710343062877655	-0.038365614	No	
row_16	ITPA	ITPA	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	2406	0.16391412913799286	-0.039405175	No	
row_17	SRSF6	SRSF6	null	null	2486	0.15702232718467712	-0.040225714	No	
row_18	VPS28	VPS28	VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)	2512	0.15519794821739197	-0.037201025	No	
