NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLVAP	PLVAP	PLVAP	plasmalemma vesicle associated protein	35	0.6819250583648682	0.01947218	Yes	
row_1	HDAC9	HDAC9	HDAC9	histone deacetylase 9	106	0.5732823610305786	0.03290903	Yes	
row_2	FLT4	FLT4	FLT4	fms-related tyrosine kinase 4	128	0.5487378239631653	0.049095947	Yes	
row_3	LY96	LY96	LY96	lymphocyte antigen 96	160	0.5299297571182251	0.063953176	Yes	
row_4	SPARCL1	SPARCL1	SPARCL1	SPARC-like 1 (mast9, hevin)	205	0.5010610818862915	0.07693924	Yes	
row_5	KLF4	KLF4	KLF4	Kruppel-like factor 4 (gut)	219	0.49522095918655396	0.09197774	Yes	
row_6	GUCY1A3	GUCY1A3	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	289	0.4649748206138611	0.10199235	Yes	
row_7	JUP	JUP	JUP	junction plakoglobin	364	0.44112321734428406	0.110875964	Yes	
row_8	MALL	MALL	MALL	mal, T-cell differentiation protein-like	371	0.43920716643333435	0.12461318	Yes	
row_9	FBXO4	FBXO4	FBXO4	F-box protein 4	431	0.42356249690055847	0.13401449	Yes	
row_10	BIRC3	BIRC3	BIRC3	baculoviral IAP repeat-containing 3	462	0.4162429869174957	0.14527592	Yes	
row_11	CD37	CD37	CD37	CD37 molecule	477	0.4132341742515564	0.15759684	Yes	
row_12	IRF8	IRF8	IRF8	interferon regulatory factor 8	511	0.40519779920578003	0.16828504	Yes	
row_13	PRDM1	PRDM1	PRDM1	PR domain containing 1, with ZNF domain	512	0.40499061346054077	0.18135199	Yes	
row_14	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	528	0.40134429931640625	0.193217	Yes	
row_15	CXCR4	CXCR4	CXCR4	chemokine (C-X-C motif) receptor 4	555	0.39404329657554626	0.2040513	Yes	
row_16	CCND2	CCND2	CCND2	cyclin D2	570	0.39068323373794556	0.21564461	Yes	
row_17	LAT2	LAT2	LAT2	linker for activation of T cells family, member 2	654	0.3767138123512268	0.22179951	Yes	
row_18	MPZL2	MPZL2	null	null	700	0.3663686513900757	0.23036747	Yes	
row_19	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	737	0.3596290349960327	0.23936854	Yes	
row_20	MAP7	MAP7	MAP7	microtubule-associated protein 7	797	0.34908604621887207	0.24636687	Yes	
row_21	PRRX1	PRRX1	PRRX1	paired related homeobox 1	812	0.34676894545555115	0.2565433	Yes	
row_22	TSPAN13	TSPAN13	TSPAN13	tetraspanin 13	961	0.3229251503944397	0.25626415	Yes	
row_23	CA2	CA2	CA2	carbonic anhydrase II	998	0.317076176404953	0.26389226	Yes	
row_24	DOCK2	DOCK2	DOCK2	dedicator of cytokinesis 2	1065	0.30495816469192505	0.26896083	Yes	
row_25	LCP1	LCP1	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	1068	0.30486810207366943	0.27865276	Yes	
row_26	CFH	CFH	CFH	complement factor H	1130	0.29551419615745544	0.28377804	Yes	
row_27	TNFAIP3	TNFAIP3	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	1133	0.2947102189064026	0.29314226	Yes	
row_28	ITGBL1	ITGBL1	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	1179	0.28950145840644836	0.2992301	Yes	
row_29	ETS1	ETS1	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1191	0.2878294587135315	0.30772173	Yes	
row_30	ID2	ID2	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	1220	0.28495779633522034	0.31489182	Yes	
row_31	CPE	CPE	CPE	carboxypeptidase E	1346	0.26742255687713623	0.31448445	Yes	
row_32	GLRX	GLRX	GLRX	glutaredoxin (thioltransferase)	1353	0.26638951897621155	0.32264575	Yes	
row_33	SCN1B	SCN1B	SCN1B	sodium channel, voltage-gated, type I, beta	1354	0.26623860001564026	0.3312359	Yes	
row_34	CFB	CFB	CFB	complement factor B	1392	0.2627086043357849	0.33703756	Yes	
row_35	ENG	ENG	ENG	endoglin (Osler-Rendu-Weber syndrome 1)	1394	0.26236963272094727	0.34543058	Yes	
row_36	RABGAP1L	RABGAP1L	RABGAP1L	RAB GTPase activating protein 1-like	1419	0.2594553530216217	0.352067	Yes	
row_37	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	1423	0.25892701745033264	0.36020437	Yes	
row_38	TNFRSF1B	TNFRSF1B	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	1461	0.25431326031684875	0.36573517	Yes	
row_39	MAFB	MAFB	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	1543	0.24446719884872437	0.36776772	Yes	
row_40	TRAF1	TRAF1	TRAF1	TNF receptor-associated factor 1	1548	0.24397270381450653	0.3753503	Yes	
row_41	CLEC4A	CLEC4A	CLEC4A	C-type lectin domain family 4, member A	1710	0.22581209242343903	0.37099808	Yes	
