NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHOF	RHOF	RHOF	ras homolog gene family, member F (in filopodia)	133	0.5466875433921814	0.003894007	No	
row_1	CRIPAK	CRIPAK	CRIPAK	cysteine-rich PAK1 inhibitor	162	0.5284632444381714	0.014956726	No	
row_2	TUBA4A	TUBA4A	null	null	179	0.5137709975242615	0.026526276	No	
row_3	ARHGAP27	ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	199	0.5032764673233032	0.03761806	No	
row_4	ARHGAP4	ARHGAP4	ARHGAP4	Rho GTPase activating protein 4	441	0.42056596279144287	0.030548885	No	
row_5	PALLD	PALLD	PALLD	palladin, cytoskeletal associated protein	544	0.39756476879119873	0.03299758	No	
row_6	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	584	0.3874148726463318	0.03976694	No	
row_7	CNTRL	CNTRL	null	null	759	0.3561606705188751	0.03596434	No	
row_8	AKAP13	AKAP13	AKAP13	A kinase (PRKA) anchor protein 13	923	0.32867419719696045	0.032278962	No	
row_9	DOCK2	DOCK2	DOCK2	dedicator of cytokinesis 2	1065	0.30495816469192505	0.029602563	No	
row_10	SOS1	SOS1	SOS1	son of sevenless homolog 1 (Drosophila)	1249	0.28093141317367554	0.023282686	No	
row_11	EPB41L2	EPB41L2	EPB41L2	erythrocyte membrane protein band 4.1-like 2	1259	0.2792443335056305	0.029548917	No	
row_12	PLEKHG2	PLEKHG2	PLEKHG2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	1375	0.2643333971500397	0.027752804	No	
row_13	EPB41	EPB41	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	1538	0.24504631757736206	0.022067787	No	
row_14	ARHGAP10	ARHGAP10	ARHGAP10	Rho GTPase activating protein 10	1568	0.24124260246753693	0.025940888	No	
row_15	CAPZB	CAPZB	CAPZB	capping protein (actin filament) muscle Z-line, beta	1702	0.22673660516738892	0.021906827	No	
row_16	EZR	EZR	null	null	1734	0.22398526966571808	0.02520716	No	
row_17	MYO9B	MYO9B	MYO9B	myosin IXB	1805	0.21798504889011383	0.02552842	No	
row_18	FGD6	FGD6	FGD6	FYVE, RhoGEF and PH domain containing 6	1844	0.2134617567062378	0.02805997	No	
row_19	SUN2	SUN2	null	null	1865	0.21201092004776	0.03186191	No	
row_20	RASA2	RASA2	RASA2	RAS p21 protein activator 2	1889	0.21013924479484558	0.035399746	No	
row_21	PCGF5	PCGF5	PCGF5	polycomb group ring finger 5	1904	0.2083466649055481	0.03954633	No	
row_22	SHROOM1	SHROOM1	SHROOM1	shroom family member 1	2047	0.19642432034015656	0.034107994	No	
row_23	PDLIM5	PDLIM5	PDLIM5	PDZ and LIM domain 5	2090	0.19348959624767303	0.03585436	No	
row_24	MAP3K11	MAP3K11	MAP3K11	mitogen-activated protein kinase kinase kinase 11	2155	0.18653598427772522	0.035831783	No	
row_25	SYNPO	SYNPO	SYNPO	synaptopodin	2156	0.18647833168506622	0.040452532	No	
row_26	CDC42	CDC42	CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	2183	0.18388788402080536	0.043122165	No	
row_27	PIF1	PIF1	null	null	2324	0.17062032222747803	0.037189577	No	
row_28	UXT	UXT	UXT	ubiquitously-expressed transcript	2356	0.16777417063713074	0.039097056	No	
row_29	CTTN	CTTN	CTTN	cortactin	2365	0.1671816110610962	0.042659055	No	
row_30	MID1IP1	MID1IP1	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	2457	0.15963591635227203	0.040010426	No	
row_31	PKD2	PKD2	PKD2	polycystic kidney disease 2 (autosomal dominant)	2578	0.14997631311416626	0.035017785	No	
row_32	ARF6	ARF6	ARF6	ADP-ribosylation factor 6	2608	0.14782030880451202	0.036575973	No	
row_33	LLGL1	LLGL1	LLGL1	lethal giant larvae homolog 1 (Drosophila)	2610	0.14762896299362183	0.040161498	No	
row_34	TUBGCP2	TUBGCP2	TUBGCP2	tubulin, gamma complex associated protein 2	2612	0.1472586691379547	0.04373785	No	
row_35	NUMA1	NUMA1	NUMA1	nuclear mitotic apparatus protein 1	2634	0.1460837572813034	0.045833603	No	
row_36	TUBGCP6	TUBGCP6	TUBGCP6	tubulin, gamma complex associated protein 6	2648	0.14529871940612793	0.048490494	No	
row_37	ARFGEF1	ARFGEF1	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	2800	0.1341664046049118	0.0408563	No	
row_38	RHOT2	RHOT2	RHOT2	ras homolog gene family, member T2	2801	0.13414238393306732	0.044180218	No	
row_39	BIN1	BIN1	BIN1	bridging integrator 1	3050	0.11593936383724213	0.029054677	No	
row_40	CEP192	CEP192	CEP192	centrosomal protein 192kDa	3275	0.10139917582273483	0.0153106265	No	
row_41	NET1	NET1	NET1	neuroepithelial cell transforming gene 1	3333	0.09758860617876053	0.013592046	No	
row_42	ARHGEF7	ARHGEF7	ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	3428	0.09189238399267197	0.009047072	No	
row_43	RAPGEF5	RAPGEF5	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	3458	0.08994939923286438	0.009171278	No	
row_44	CCDC88A	CCDC88A	null	null	3487	0.08767840266227722	0.009311784	No	
row_45	CENPE	CENPE	CENPE	centromere protein E, 312kDa	3489	0.08758275210857391	0.011409424	No	
row_46	BCR	BCR	BCR	breakpoint cluster region	3608	0.0800936222076416	0.0048303083	No	
row_47	PCNT	PCNT	PCNT	pericentrin (kendrin)	3764	0.07008272409439087	-0.004682113	No	
row_48	BCL2L11	BCL2L11	BCL2L11	BCL2-like 11 (apoptosis facilitator)	3841	0.06529947370290756	-0.0085796965	No	
row_49	MYO1E	MYO1E	MYO1E	myosin IE	3872	0.06322970241308212	-0.009190153	No	
row_50	NIN	NIN	NIN	ninein (GSK3B interacting protein)	3881	0.06289899349212646	-0.0082121715	No	
row_51	BCAR1	BCAR1	BCAR1	breast cancer anti-estrogen resistance 1	3924	0.06042161583900452	-0.0097631	No	
row_52	SPTBN1	SPTBN1	SPTBN1	spectrin, beta, non-erythrocytic 1	4041	0.053107358515262604	-0.01686576	No	
row_53	ALS2	ALS2	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	4062	0.05175840109586716	-0.017034722	No	
row_54	MARCKS	MARCKS	MARCKS	myristoylated alanine-rich protein kinase C substrate	4104	0.04921874776482582	-0.018790673	No	
row_55	ARHGEF3	ARHGEF3	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3	4393	0.03357575088739395	-0.03886007	No	
row_56	HDAC6	HDAC6	HDAC6	histone deacetylase 6	4506	0.02682938240468502	-0.046323575	No	
row_57	CDC42EP2	CDC42EP2	CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2	4522	0.025889704003930092	-0.04677067	No	
row_58	RAB3GAP1	RAB3GAP1	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	4523	0.02586241438984871	-0.046129823	No	
row_59	BUB1	BUB1	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	4750	0.014004740864038467	-0.06218457	No	
row_60	ATG4B	ATG4B	ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	4960	0.0023380534257739782	-0.07729465	No	
row_61	PREX1	PREX1	PREX1	-	4975	0.001634238171391189	-0.07827019	No	
row_62	TBCD	TBCD	TBCD	tubulin-specific chaperone d	5032	-0.0010656035738065839	-0.08230794	No	
row_63	FARP1	FARP1	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	5079	-0.0031025721691548824	-0.08556947	No	
row_64	TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	5196	-0.010551173239946365	-0.093726635	No	
row_65	KPTN	KPTN	KPTN	kaptin (actin binding protein)	5225	-0.01188566442579031	-0.0954642	No	
row_66	KIF20B	KIF20B	null	null	5374	-0.018189363181591034	-0.105754465	No	
row_67	RICTOR	RICTOR	RICTOR	-	5388	-0.01890985108911991	-0.106229365	No	
row_68	MAP1S	MAP1S	MAP1S	microtubule-associated protein 1S	5402	-0.019479183480143547	-0.10669015	No	
row_69	FLNA	FLNA	FLNA	filamin A, alpha (actin binding protein 280)	5447	-0.0214252807199955	-0.10935252	No	
row_70	CEP250	CEP250	CEP250	centrosomal protein 250kDa	5506	-0.02409108728170395	-0.11296487	No	
row_71	STK38L	STK38L	STK38L	serine/threonine kinase 38 like	5510	-0.02423670142889023	-0.112582035	No	
row_72	SPTAN1	SPTAN1	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	5526	-0.024940285831689835	-0.11305265	No	
row_73	CDK1	CDK1	null	null	5712	-0.03323065862059593	-0.12565546	No	
row_74	ITSN1	ITSN1	ITSN1	intersectin 1 (SH3 domain protein)	5795	-0.037375450134277344	-0.13068041	No	
row_75	MYH9	MYH9	MYH9	myosin, heavy chain 9, non-muscle	5893	-0.042040202766656876	-0.1366784	No	
row_76	APC	APC	APC	adenomatosis polyposis coli	5914	-0.04306633397936821	-0.13706274	No	
row_77	NF1	NF1	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	5964	-0.0453670471906662	-0.13949473	No	
row_78	CD2AP	CD2AP	CD2AP	CD2-associated protein	5979	-0.04600334167480469	-0.13937084	No	
row_79	CNTROB	CNTROB	CNTROB	centrobin, centrosomal BRCA2 interacting protein	6213	-0.057038892060518265	-0.15486728	No	
row_80	INCENP	INCENP	INCENP	inner centromere protein antigens 135/155kDa	6262	-0.05917297676205635	-0.15688458	No	
row_81	NEDD9	NEDD9	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	6270	-0.059490304440259933	-0.1559185	No	
row_82	TLK1	TLK1	TLK1	tousled-like kinase 1	6322	-0.06138034537434578	-0.15809883	No	
row_83	ARHGAP29	ARHGAP29	ARHGAP29	Rho GTPase activating protein 29	6334	-0.06195306405425072	-0.15736201	No	
row_84	WASL	WASL	WASL	Wiskott-Aldrich syndrome-like	6428	-0.06662946194410324	-0.1624604	No	
row_85	ABI1	ABI1	ABI1	abl-interactor 1	6489	-0.06943231076002121	-0.16509439	No	
row_86	KNTC1	KNTC1	KNTC1	kinetochore associated 1	6492	-0.06969290226697922	-0.16351262	No	
row_87	FLNB	FLNB	FLNB	filamin B, beta (actin binding protein 278)	6500	-0.06991538405418396	-0.1622882	No	
row_88	TUBD1	TUBD1	TUBD1	tubulin, delta 1	6560	-0.07299607992172241	-0.1647613	No	
row_89	TUBGCP5	TUBGCP5	TUBGCP5	tubulin, gamma complex associated protein 5	6647	-0.07665280997753143	-0.16910331	No	
row_90	KATNB1	KATNB1	KATNB1	katanin p80 (WD repeat containing) subunit B 1	6718	-0.08004980534315109	-0.17219995	No	
row_91	PLK1	PLK1	PLK1	polo-like kinase 1 (Drosophila)	6832	-0.08510813862085342	-0.17829195	No	
row_92	ARFIP2	ARFIP2	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	6888	-0.08712681382894516	-0.18012461	No	
row_93	LATS1	LATS1	LATS1	LATS, large tumor suppressor, homolog 1 (Drosophila)	6892	-0.0872674509882927	-0.17817993	No	
