NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL23	MRPL23	MRPL23	mitochondrial ribosomal protein L23	1711	0.22571972012519836	-0.11997847	No	
row_1	RPS3	RPS3	RPS3	ribosomal protein S3	2735	0.13906049728393555	-0.19163668	No	
row_2	RPL34	RPL34	RPL34	ribosomal protein L34	3387	0.09475083649158478	-0.23712076	No	
row_3	SRSF7	SRSF7	null	null	3463	0.08933183550834656	-0.24090004	No	
row_4	PCBP1	PCBP1	PCBP1	poly(rC) binding protein 1	3499	0.08717473596334457	-0.24181631	No	
row_5	COPS5	COPS5	COPS5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)	3654	0.07719101756811142	-0.25155553	No	
row_6	CLNS1A	CLNS1A	CLNS1A	chloride channel, nucleotide-sensitive, 1A	3680	0.07576145976781845	-0.25195864	No	
row_7	ORC2	ORC2	null	null	3864	0.06352207064628601	-0.2640573	No	
row_8	H2AFZ	H2AFZ	H2AFZ	H2A histone family, member Z	3933	0.05985848605632782	-0.26787758	No	
row_9	MAD2L1	MAD2L1	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	4013	0.05436180904507637	-0.27259865	No	
row_10	STARD7	STARD7	STARD7	START domain containing 7	4019	0.05392158776521683	-0.271957	No	
row_11	PABPC1	PABPC1	PABPC1	poly(A) binding protein, cytoplasmic 1	4156	0.0460846982896328	-0.2809693	No	
row_12	CCNA2	CCNA2	CCNA2	cyclin A2	4300	0.0382067933678627	-0.2906364	No	
row_13	CAD	CAD	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	4648	0.019621338695287704	-0.31545594	No	
row_14	DUT	DUT	DUT	dUTP pyrophosphatase	4649	0.019610770046710968	-0.3150906	No	
row_15	LSM7	LSM7	LSM7	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	5228	-0.01196697261184454	-0.35681862	No	
row_16	PSMD1	PSMD1	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	5530	-0.025197651237249374	-0.3781956	No	
row_17	NDUFAB1	NDUFAB1	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	5610	-0.02928199991583824	-0.3833839	No	
row_18	EIF4E	EIF4E	EIF4E	eukaryotic translation initiation factor 4E	5720	-0.03365810588002205	-0.39066803	No	
row_19	RPLP0	RPLP0	RPLP0	ribosomal protein, large, P0	5812	-0.03792794421315193	-0.39656618	No	
row_20	PSMD8	PSMD8	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	5924	-0.04361506924033165	-0.40381	No	
row_21	RPL18	RPL18	RPL18	ribosomal protein L18	5925	-0.04370255768299103	-0.40299585	No	
row_22	HNRNPD	HNRNPD	null	null	6210	-0.05696947127580643	-0.4225471	No	
row_23	SNRPA	SNRPA	SNRPA	small nuclear ribonucleoprotein polypeptide A	6292	-0.06035763397812843	-0.42730162	No	
row_24	HDDC2	HDDC2	HDDC2	HD domain containing 2	6308	-0.06089400127530098	-0.4272559	No	
row_25	RPS5	RPS5	RPS5	ribosomal protein S5	6319	-0.06121722236275673	-0.42684126	No	
row_26	SNRPA1	SNRPA1	SNRPA1	small nuclear ribonucleoprotein polypeptide A'	6368	-0.06371945142745972	-0.42913803	No	
row_27	CUL1	CUL1	CUL1	cullin 1	6452	-0.06755925714969635	-0.43390355	No	
row_28	RPL22	RPL22	RPL22	ribosomal protein L22	6590	-0.07391484081745148	-0.44246995	No	
row_29	CYC1	CYC1	CYC1	cytochrome c-1	6653	-0.0768171176314354	-0.44553882	No	
row_30	U2AF1	U2AF1	U2AF1	U2 small nuclear RNA auxiliary factor 1	6665	-0.07720213383436203	-0.44489896	No	
row_31	SRSF2	SRSF2	null	null	6723	-0.0802127793431282	-0.44754168	No	
row_32	PSMA7	PSMA7	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	7169	-0.10002101212739944	-0.47797623	No	
row_33	TARDBP	TARDBP	TARDBP	TAR DNA binding protein	7229	-0.10255534201860428	-0.4803479	No	
row_34	PSMA6	PSMA6	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	7278	-0.10493995249271393	-0.48187673	No	
row_35	SNRPG	SNRPG	SNRPG	small nuclear ribonucleoprotein polypeptide G	7280	-0.10499701648950577	-0.4799933	No	
row_36	CDC45	CDC45	null	null	7334	-0.10823748260736465	-0.48182362	No	
row_37	PSMA1	PSMA1	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	7356	-0.10962110757827759	-0.48130563	No	
row_38	RPS6	RPS6	RPS6	ribosomal protein S6	7359	-0.10993867367506027	-0.4794027	No	
row_39	TFDP1	TFDP1	TFDP1	transcription factor Dp-1	7409	-0.11239969730377197	-0.48086515	No	
row_40	SRSF1	SRSF1	null	null	7485	-0.11553137004375458	-0.48415634	No	
row_41	EIF3B	EIF3B	null	null	7769	-0.12879249453544617	-0.50229704	No	
row_42	TRIM28	TRIM28	TRIM28	tripartite motif-containing 28	7788	-0.12992402911186218	-0.50118303	No	
row_43	CNBP	CNBP	CNBP	CCHC-type zinc finger, nucleic acid binding protein	7844	-0.13284684717655182	-0.5027001	No	
row_44	NOP56	NOP56	null	null	7913	-0.13639229536056519	-0.5050946	No	
