NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBXW7	FBXW7	FBXW7	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)	1	0.9915704727172852	0.029422356	Yes	
row_1	FOS	FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	9	0.8691727519035339	0.054769304	Yes	
row_2	MXD4	MXD4	MXD4	MAX dimerization protein 4	73	0.615943431854248	0.0685273	Yes	
row_3	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	140	0.5418136715888977	0.07986297	Yes	
row_4	KLF4	KLF4	KLF4	Kruppel-like factor 4 (gut)	219	0.49522095918655396	0.08894345	Yes	
row_5	DGKA	DGKA	DGKA	diacylglycerol kinase, alpha 80kDa	220	0.4950468838214874	0.10366888	Yes	
row_6	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	240	0.48285210132598877	0.11665527	Yes	
row_7	DEF6	DEF6	DEF6	differentially expressed in FDCP 6 homolog (mouse)	267	0.47365331649780273	0.12886097	Yes	
row_8	TXNIP	TXNIP	TXNIP	thioredoxin interacting protein	309	0.4561704695224762	0.13946006	Yes	
row_9	CDKN2AIP	CDKN2AIP	null	null	354	0.44251176714897156	0.14943555	Yes	
row_10	JUN	JUN	JUN	jun oncogene	408	0.4288994371891022	0.15835421	Yes	
row_11	CDK5R1	CDK5R1	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	454	0.41766178607940674	0.1675181	Yes	
row_12	MDM2	MDM2	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	459	0.41695636510849	0.17963094	Yes	
row_13	BTG1	BTG1	BTG1	B-cell translocation gene 1, anti-proliferative	466	0.4153220057487488	0.19155028	Yes	
row_14	SESN1	SESN1	SESN1	sestrin 1	506	0.40577852725982666	0.20079532	Yes	
row_15	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	528	0.40134429931640625	0.21121234	Yes	
row_16	ERCC5	ERCC5	ERCC5	me))	553	0.39534682035446167	0.22123364	Yes	
row_17	CCND2	CCND2	CCND2	cyclin D2	570	0.39068323373794556	0.23169571	Yes	
row_18	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	807	0.34726041555404663	0.2249299	Yes	
row_19	WWP1	WWP1	WWP1	WW domain containing E3 ubiquitin protein ligase 1	834	0.34199750423431396	0.23321943	Yes	
row_20	MXD1	MXD1	MXD1	MAX dimerization protein 1	1024	0.31251952052116394	0.2288248	Yes	
row_21	PERP	PERP	PERP	PERP, TP53 apoptosis effector	1150	0.29232552647590637	0.22846548	Yes	
row_22	BTG2	BTG2	BTG2	BTG family, member 2	1300	0.27375972270965576	0.22581543	Yes	
row_23	ITGB4	ITGB4	ITGB4	integrin, beta 4	1335	0.2683703303337097	0.23133537	Yes	
row_24	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	1423	0.25892701745033264	0.23273522	Yes	
row_25	CYFIP2	CYFIP2	CYFIP2	cytoplasmic FMR1 interacting protein 2	1456	0.25551000237464905	0.2380175	Yes	
row_26	RXRA	RXRA	RXRA	retinoid X receptor, alpha	1607	0.23624920845031738	0.23417923	Yes	
row_27	VAMP8	VAMP8	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	1656	0.23103412985801697	0.23757447	Yes	
row_28	TRAFD1	TRAFD1	TRAFD1	TRAF-type zinc finger domain containing 1	1704	0.22653156518936157	0.2409082	Yes	
row_29	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	1745	0.2229333370923996	0.24464197	Yes	
row_30	SOCS1	SOCS1	SOCS1	suppressor of cytokine signaling 1	1766	0.22134576737880707	0.24977727	Yes	
row_31	PROCR	PROCR	PROCR	protein C receptor, endothelial (EPCR)	1824	0.21548007428646088	0.2520579	Yes	
row_32	JAG2	JAG2	JAG2	jagged 2	1964	0.2031673938035965	0.2480324	Yes	
row_33	ZFP36L1	ZFP36L1	ZFP36L1	zinc finger protein 36, C3H type-like 1	1971	0.20222654938697815	0.2536131	Yes	
row_34	RAD9A	RAD9A	RAD9A	RAD9 homolog A (S. pombe)	1995	0.20030519366264343	0.25790524	Yes	
row_35	DDB2	DDB2	DDB2	damage-specific DNA binding protein 2, 48kDa	2014	0.1989472359418869	0.26251915	Yes	
row_36	NUPR1	NUPR1	NUPR1	-	2033	0.19771833717823029	0.26709652	Yes	
row_37	ADA	ADA	ADA	adenosine deaminase	2044	0.1968797892332077	0.27222845	Yes	
row_38	PIDD	PIDD	null	null	2109	0.19218787550926208	0.27330917	Yes	
row_39	APAF1	APAF1	APAF1	apoptotic peptidase activating factor	2141	0.18854111433029175	0.27667186	Yes	
row_40	IER5	IER5	IER5	immediate early response 5	2295	0.1724737137556076	0.27071926	No	
