NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.48471114	-1.7683113	0.0018903592	0.2235028	0.137	4470	tags=55%, list=32%, signal=80%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	-0.44381547	-1.5732914	0.032945737	0.61055166	0.439	4122	tags=52%, list=29%, signal=72%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	-0.5151624	-1.4678403	0.108986616	0.7788814	0.629	4772	tags=63%, list=34%, signal=95%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.4475667	-1.4631038	0.09881423	0.59831214	0.635	3207	tags=39%, list=23%, signal=50%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	86	-0.37521896	-1.4427276	0.0729783	0.537967	0.665	2655	tags=31%, list=19%, signal=39%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	136	-0.38810694	-1.3965063	0.10018553	0.5626025	0.737	3544	tags=39%, list=25%, signal=52%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	67	-0.36977375	-1.2853748	0.18470149	0.80422443	0.871	2885	tags=37%, list=21%, signal=47%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.44124562	-1.1877917	0.32633588	1.0	0.939	5753	tags=72%, list=41%, signal=123%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	193	-0.4498129	-1.1785518	0.35873607	0.9274297	0.943	6145	tags=69%, list=44%, signal=122%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	194	-0.41838652	-1.1772951	0.34758365	0.8391636	0.943	5056	tags=52%, list=36%, signal=80%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	166	-0.32336852	-1.1750273	0.2623853	0.7684855	0.943	4855	tags=45%, list=35%, signal=67%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	24	-0.3423503	-1.158393	0.23992674	0.7397218	0.949	1440	tags=21%, list=10%, signal=23%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	10	-0.42960277	-1.1536431	0.28248587	0.6952417	0.953	4046	tags=60%, list=29%, signal=84%	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	Details ...	44	-0.3651358	-1.1380739	0.28761905	0.6767321	0.959	2626	tags=32%, list=19%, signal=39%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	126	-0.28392103	-1.1049453	0.3082569	0.70169294	0.968	3159	tags=32%, list=23%, signal=41%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	64	-0.3437854	-1.0641199	0.4034417	0.73970336	0.979	5665	tags=56%, list=41%, signal=94%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	153	-0.23597136	-0.9940936	0.44801512	0.841022	0.991	3113	tags=27%, list=22%, signal=34%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	-0.2719654	-0.9799127	0.50384617	0.82385904	0.994	6548	tags=57%, list=47%, signal=106%	
