NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPB1	HSPB1	HSPB1	heat shock 27kDa protein 1	208	0.7585298418998718	0.058646392	No	
row_1	ADAM10	ADAM10	ADAM10	ADAM metallopeptidase domain 10	492	0.6246129870414734	0.09892785	No	
row_2	LYPD3	LYPD3	LYPD3	LY6/PLAUR domain containing 3	1088	0.4816899299621582	0.10297683	No	
row_3	ATP8B1	ATP8B1	ATP8B1	ATPase, Class I, type 8B, member 1	1198	0.46421265602111816	0.1401796	No	
row_4	DCBLD2	DCBLD2	DCBLD2	discoidin, CUB and LCCL domain containing 2	1314	0.44543901085853577	0.1751315	No	
row_5	PLAUR	PLAUR	PLAUR	plasminogen activator, urokinase receptor	2473	0.3050006628036499	0.12167543	No	
row_6	GSTM3	GSTM3	GSTM3	glutathione S-transferase M3 (brain)	3119	0.24644994735717773	0.09932595	No	
row_7	MAL	MAL	MAL	mal, T-cell differentiation protein	3592	0.20550763607025146	0.08541093	No	
row_8	EFNA5	EFNA5	EFNA5	ephrin-A5	3802	0.18511752784252167	0.08837697	No	
row_9	EPHB4	EPHB4	EPHB4	EPH receptor B4	3887	0.1786154806613922	0.09967559	No	
row_10	NCOA6	NCOA6	NCOA6	nuclear receptor coactivator 6	4732	0.11668118834495544	0.050472006	No	
row_11	AIM1	AIM1	AIM1	absent in melanoma 1	5666	0.047796085476875305	-0.011793709	No	
row_12	SRPX	SRPX	SRPX	sushi-repeat-containing protein, X-linked	7115	-0.05837626755237579	-0.10996153	No	
row_13	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	7232	-0.06761962175369263	-0.11172168	No	
row_14	AKAP7	AKAP7	AKAP7	A kinase (PRKA) anchor protein 7	7268	-0.07017210870981216	-0.107426174	No	
row_15	AFAP1L2	AFAP1L2	null	null	8670	-0.17614033818244934	-0.19080327	No	
row_16	ADIPOR2	ADIPOR2	ADIPOR2	adiponectin receptor 2	8744	-0.18153095245361328	-0.17843315	No	
row_17	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	8894	-0.19360344111919403	-0.17034186	No	
row_18	B4GALT1	B4GALT1	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	9826	-0.264108806848526	-0.21148649	Yes	
row_19	BRCA1	BRCA1	BRCA1	breast cancer 1, early onset	10052	-0.2820398807525635	-0.20026836	Yes	
row_20	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	10420	-0.3134913742542267	-0.19618224	Yes	
row_21	CX3CL1	CX3CL1	CX3CL1	chemokine (C-X3-C motif) ligand 1	11089	-0.3715302050113678	-0.20805085	Yes	
row_22	CROCC	CROCC	CROCC	ciliary rootlet coiled-coil, rootletin	11181	-0.37895360589027405	-0.17782567	Yes	
row_23	SHROOM2	SHROOM2	SHROOM2	shroom family member 2	11733	-0.43499502539634705	-0.17515005	Yes	
row_24	TMEM8B	TMEM8B	null	null	12276	-0.4961334466934204	-0.16589999	Yes	
row_25	FLOT2	FLOT2	FLOT2	flotillin 2	13022	-0.6227853894233704	-0.15892355	Yes	
row_26	THY1	THY1	THY1	Thy-1 cell surface antigen	13383	-0.712983250617981	-0.11559338	Yes	
row_27	SULF2	SULF2	SULF2	sulfatase 2	13618	-0.8037038445472717	-0.05443042	Yes	
row_28	GAS1	GAS1	GAS1	growth arrest-specific 1	13665	-0.8237453103065491	0.0221567	Yes	
