NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	187	0.7757065296173096	0.0065765786	Yes	
row_1	DFNA5	DFNA5	DFNA5	deafness, autosomal dominant 5	206	0.762687087059021	0.025027847	Yes	
row_2	GTF2H1	GTF2H1	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	255	0.7273582220077515	0.04039639	Yes	
row_3	RALA	RALA	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	264	0.7189681529998779	0.058438025	Yes	
row_4	TMED2	TMED2	TMED2	transmembrane emp24 domain trafficking protein 2	266	0.7165284752845764	0.0769223	Yes	
row_5	TSG101	TSG101	TSG101	tumor susceptibility gene 101	332	0.6877079010009766	0.09003557	Yes	
row_6	TAF13	TAF13	TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	387	0.6649038791656494	0.10335312	Yes	
row_7	CDA	CDA	CDA	cytidine deaminase	494	0.6236210465431213	0.11184404	Yes	
row_8	DDB2	DDB2	DDB2	damage-specific DNA binding protein 2, 48kDa	654	0.5730635523796082	0.11519587	Yes	
row_9	GTF2B	GTF2B	GTF2B	general transcription factor IIB	750	0.5488070845603943	0.122544125	Yes	
row_10	STX3	STX3	STX3	syntaxin 3	752	0.5481681823730469	0.13666824	Yes	
row_11	NCBP2	NCBP2	NCBP2	nuclear cap binding protein subunit 2, 20kDa	1117	0.47625526785850525	0.12269973	Yes	
row_12	CSTF3	CSTF3	CSTF3	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa	1139	0.47357410192489624	0.13344683	Yes	
row_13	ERCC4	ERCC4	ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4	1197	0.4644071161746979	0.14135517	Yes	
row_14	POLR2D	POLR2D	POLR2D	polymerase (RNA) II (DNA directed) polypeptide D	1340	0.4423465132713318	0.14255013	Yes	
row_15	DCTN4	DCTN4	DCTN4	dynactin 4 (p62)	1407	0.4342435598373413	0.14902696	Yes	
row_16	ARL6IP1	ARL6IP1	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	1543	0.4162769615650177	0.15005259	Yes	
row_17	RAD51	RAD51	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	1585	0.40900060534477234	0.15768218	Yes	
row_18	IMPDH2	IMPDH2	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	1670	0.3960266709327698	0.1618686	Yes	
row_19	POLR1C	POLR1C	POLR1C	polymerase (RNA) I polypeptide C, 30kDa	1673	0.39561620354652405	0.17196968	Yes	
row_20	VPS37D	VPS37D	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	1802	0.37955719232559204	0.17255017	Yes	
row_21	PCNA	PCNA	PCNA	proliferating cell nuclear antigen	1874	0.37088173627853394	0.17702477	Yes	
row_22	SF3A3	SF3A3	SF3A3	splicing factor 3a, subunit 3, 60kDa	2095	0.3476104736328125	0.17013003	Yes	
row_23	RFC2	RFC2	RFC2	replication factor C (activator 1) 2, 40kDa	2110	0.3455674648284912	0.17806783	Yes	
row_24	NUDT21	NUDT21	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	2240	0.33090120553970337	0.17731598	Yes	
row_25	POLR1D	POLR1D	POLR1D	polymerase (RNA) I polypeptide D, 16kDa	2306	0.3235454857349396	0.18099824	Yes	
row_26	POLB	POLB	POLB	polymerase (DNA directed), beta	2456	0.3066349923610687	0.17817274	Yes	
row_27	TAF9	TAF9	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	2481	0.3042486011981964	0.18431789	Yes	
row_28	HPRT1	HPRT1	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	2648	0.28693994879722595	0.17975393	No	
row_29	GTF2A2	GTF2A2	GTF2A2	general transcription factor IIA, 2, 12kDa	2911	0.2636990249156952	0.16765116	No	
