NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPZL2	MPZL2	null	null	25	1.1036118268966675	0.01996319	No	
row_1	CROT	CROT	CROT	carnitine O-octanoyltransferase	57	0.9641810655593872	0.03674219	No	
row_2	PLEK2	PLEK2	PLEK2	pleckstrin 2	177	0.7821009755134583	0.043568265	No	
row_3	SEMA3B	SEMA3B	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	205	0.764961838722229	0.056706525	No	
row_4	GPNMB	GPNMB	GPNMB	glycoprotein (transmembrane) nmb	325	0.6914753317832947	0.061744876	No	
row_5	CA2	CA2	CA2	carbonic anhydrase II	370	0.6727817058563232	0.0718359	No	
row_6	MTMR10	MTMR10	MTMR10	myotubularin related protein 10	441	0.6438304781913757	0.07947638	No	
row_7	BPGM	BPGM	BPGM	2,3-bisphosphoglycerate mutase	546	0.6054030060768127	0.083901115	No	
row_8	JUP	JUP	JUP	junction plakoglobin	613	0.5831758975982666	0.09063425	No	
row_9	TMEM158	TMEM158	TMEM158	transmembrane protein 158	712	0.558747410774231	0.09457235	No	
row_10	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	753	0.5481017827987671	0.10249302	No	
row_11	CBX8	CBX8	CBX8	chromobox homolog 8 (Pc class homolog, Drosophila)	763	0.545583963394165	0.11260487	No	
row_12	ZNF277	ZNF277	ZNF277	zinc finger protein 277	787	0.5407872200012207	0.12161011	No	
row_13	ITGA2	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	817	0.5314275622367859	0.129997	No	
row_14	MAP7	MAP7	MAP7	microtubule-associated protein 7	1023	0.49260810017585754	0.12489584	No	
row_15	MALL	MALL	MALL	mal, T-cell differentiation protein-like	1147	0.47262051701545715	0.12532783	No	
row_16	BMP2	BMP2	BMP2	bone morphogenetic protein 2	1233	0.45779815316200256	0.12821427	No	
row_17	ERO1L	ERO1L	ERO1L	ERO1-like (S. cerevisiae)	1277	0.4502910375595093	0.13398862	No	
row_18	DCBLD2	DCBLD2	DCBLD2	discoidin, CUB and LCCL domain containing 2	1314	0.44543901085853577	0.14017327	No	
row_19	PRDM1	PRDM1	PRDM1	PR domain containing 1, with ZNF domain	1372	0.4386279582977295	0.14470555	No	
row_20	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	1502	0.42145222425460815	0.14369445	No	
row_21	CBR4	CBR4	CBR4	carbonyl reductase 4	1787	0.3812161087989807	0.13068536	No	
