NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NINJ1	NINJ1	NINJ1	ninjurin 1	6	1.4457017183303833	0.02540139	Yes	
row_1	RPS27L	RPS27L	RPS27L	ribosomal protein S27-like	10	1.3011682033538818	0.04843715	Yes	
row_2	OSGIN1	OSGIN1	OSGIN1	oxidative stress induced growth inhibitor 1	50	0.9885232448577881	0.0632779	Yes	
row_3	EI24	EI24	EI24	etoposide induced 2.4 mRNA	84	0.9047641754150391	0.07705643	Yes	
row_4	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	90	0.9005080461502075	0.09278715	Yes	
row_5	SDC1	SDC1	SDC1	syndecan 1	129	0.838162362575531	0.10501325	Yes	
row_6	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	150	0.8074777126312256	0.11799487	Yes	
row_7	GADD45A	GADD45A	GADD45A	growth arrest and DNA-damage-inducible, alpha	295	0.7036406993865967	0.12013856	Yes	
row_8	ZMAT3	ZMAT3	ZMAT3	zinc finger, matrin type 3	306	0.699499249458313	0.13191488	Yes	
row_9	TOB1	TOB1	TOB1	transducer of ERBB2, 1	363	0.674784779548645	0.1399174	Yes	
row_10	EPHA2	EPHA2	EPHA2	EPH receptor A2	366	0.6745948791503906	0.15182815	Yes	
row_11	RAP2B	RAP2B	RAP2B	RAP2B, member of RAS oncogene family	371	0.6727767586708069	0.16356155	Yes	
row_12	CCNG1	CCNG1	CCNG1	cyclin G1	450	0.6380382180213928	0.16931374	Yes	
row_13	TM4SF1	TM4SF1	TM4SF1	transmembrane 4 L six family member 1	558	0.6027477979660034	0.1723346	Yes	
row_14	PERP	PERP	PERP	PERP, TP53 apoptosis effector	644	0.575249433517456	0.17645764	Yes	
row_15	DDB2	DDB2	DDB2	damage-specific DNA binding protein 2, 48kDa	654	0.5730635523796082	0.18604687	Yes	
row_16	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	753	0.5481017827987671	0.18874307	Yes	
row_17	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	768	0.5452328324317932	0.19747277	Yes	
row_18	PLK2	PLK2	PLK2	polo-like kinase 2 (Drosophila)	823	0.5309504866600037	0.2030497	Yes	
row_19	HIST3H2A	HIST3H2A	HIST3H2A	histone cluster 3, H2a	832	0.5293814539909363	0.21193074	Yes	
row_20	STEAP3	STEAP3	STEAP3	STEAP family member 3	927	0.5122755765914917	0.21427645	Yes	
row_21	RCHY1	RCHY1	RCHY1	ring finger and CHY zinc finger domain containing 1	938	0.5100268721580505	0.22266673	Yes	
row_22	ABCC5	ABCC5	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	967	0.505382776260376	0.22967012	Yes	
row_23	KIF13B	KIF13B	KIF13B	kinesin family member 13B	973	0.5044544339179993	0.238323	Yes	
row_24	MXD1	MXD1	MXD1	MAX dimerization protein 1	1046	0.48885589838027954	0.2418438	Yes	
row_25	HRAS	HRAS	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	1065	0.4855552017688751	0.24921724	Yes	
row_26	TRIB3	TRIB3	TRIB3	tribbles homolog 3 (Drosophila)	1182	0.46650055050849915	0.24915129	Yes	
row_27	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	1212	0.46168267726898193	0.2553013	Yes	
row_28	BMP2	BMP2	BMP2	bone morphogenetic protein 2	1233	0.45779815316200256	0.26203382	Yes	
row_29	HEXIM1	HEXIM1	HEXIM1	hexamethylene bis-acetamide inducible 1	1252	0.45427247881889343	0.2688482	Yes	
row_30	TAX1BP3	TAX1BP3	TAX1BP3	Tax1 (human T-cell leukemia virus type I) binding protein 3	1321	0.44466015696525574	0.27186894	Yes	
row_31	ITGB4	ITGB4	ITGB4	integrin, beta 4	1384	0.43677225708961487	0.27518332	Yes	
row_32	TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	1404	0.43462204933166504	0.2815741	Yes	
row_33	CGRRF1	CGRRF1	CGRRF1	cell growth regulator with ring finger domain 1	1431	0.4312005639076233	0.28739667	Yes	
row_34	PTPN14	PTPN14	PTPN14	protein tyrosine phosphatase, non-receptor type 14	1582	0.4094001352787018	0.28384742	Yes	
row_35	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	1658	0.39839404821395874	0.28553426	Yes	
row_36	HSPA4L	HSPA4L	HSPA4L	heat shock 70kDa protein 4-like	1679	0.39450347423553467	0.29113567	Yes	
row_37	S100A10	S100A10	S100A10	S100 calcium binding protein A10	1733	0.3867069184780121	0.29420727	Yes	
row_38	PLXNB2	PLXNB2	PLXNB2	plexin B2	1852	0.3732130825519562	0.2923293	Yes	
row_39	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1857	0.37272557616233826	0.2987005	Yes	
row_40	PCNA	PCNA	PCNA	proliferating cell nuclear antigen	1874	0.37088173627853394	0.3041695	Yes	
row_41	TM7SF3	TM7SF3	TM7SF3	transmembrane 7 superfamily member 3	1875	0.37087732553482056	0.31079742	Yes	
row_42	RNF19B	RNF19B	null	null	2030	0.35389819741249084	0.30596653	No	
row_43	RXRA	RXRA	RXRA	retinoid X receptor, alpha	2124	0.34382474422454834	0.3053743	No	
row_44	TRIAP1	TRIAP1	TRIAP1	TP53 regulated inhibitor of apoptosis 1	2155	0.3404588997364044	0.3092855	No	
row_45	PDGFA	PDGFA	PDGFA	platelet-derived growth factor alpha polypeptide	2302	0.3238951563835144	0.3044979	No	
row_46	TPRKB	TPRKB	TPRKB	TP53RK binding protein	2318	0.32234567403793335	0.30917197	No	
row_47	HINT1	HINT1	HINT1	histidine triad nucleotide binding protein 1	2384	0.31486737728118896	0.31009048	No	
row_48	VWA5A	VWA5A	null	null	2781	0.2749299108982086	0.28631848	No	
row_49	PPM1D	PPM1D	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	2794	0.27357250452041626	0.29033822	No	
row_50	NUDT15	NUDT15	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	2803	0.2727733552455902	0.29463345	No	
row_51	MDM2	MDM2	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	2929	0.2616575062274933	0.2902548	No	
row_52	AK1	AK1	AK1	adenylate kinase 1	3043	0.2523525655269623	0.28657913	No	
row_53	FAM162A	FAM162A	null	null	3050	0.251825213432312	0.29064485	No	
row_54	POLH	POLH	POLH	polymerase (DNA directed), eta	3107	0.24714039266109467	0.291005	No	
row_55	RPS12	RPS12	RPS12	ribosomal protein S12	3226	0.23552162945270538	0.28666633	No	
row_56	BAX	BAX	BAX	BCL2-associated X protein	3267	0.23219332098960876	0.28791836	No	
row_57	EPHX1	EPHX1	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	3453	0.21672311425209045	0.27839044	No	
row_58	ATF3	ATF3	ATF3	activating transcription factor 3	3816	0.18418994545936584	0.25545973	No	
row_59	SLC35D1	SLC35D1	SLC35D1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1	3835	0.18309219181537628	0.25742787	No	
row_60	AEN	AEN	null	null	3855	0.18115413188934326	0.25928894	No	
row_61	HMOX1	HMOX1	HMOX1	heme oxygenase (decycling) 1	3958	0.17296914756298065	0.25499144	No	
row_62	IP6K2	IP6K2	null	null	3996	0.16992013156414032	0.25534788	No	
row_63	SESN1	SESN1	SESN1	sestrin 1	4028	0.16747315227985382	0.2560952	No	
row_64	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	4064	0.16515512764453888	0.25651136	No	
row_65	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	4072	0.1648268699645996	0.2589499	No	
